,shot_taker_name,is_orange,time,xg,shot,goal
0,Wrax Walking,1,0,0.0029948186,False,False
1,enpitsu,0,0,0.010393085,False,False
2,Bidoux,1,1,0.0018199951,False,False
3,enpitsu,0,6,0.0020215327,False,False
4,games5425898691,0,8,0.020465886,False,False
5,Bidoux,1,8,0.00046751517,False,False
6,Wrax Walking,1,12,0.04044347,False,False
7,games5425898691,0,16,0.015846662,False,False
8,Bidoux,1,17,0.0047498997,False,False
9,enpitsu,0,20,0.0006327897,False,False
10,Bidoux,1,21,0.0066699227,False,False
11,games5425898691,0,26,0.0009130599,False,False
12,Bidoux,1,29,0.00464323,False,False
13,Bidoux,1,31,0.03789998,False,False
14,enpitsu,0,33,0.00034741237,False,False
15,Bidoux,1,35,0.0018948673,False,False
16,Bidoux,1,37,0.0048686094,False,False
17,Wrax Walking,1,39,0.3663858,False,False
18,Bidoux,1,41,0.048664052,False,False
19,Bidoux,1,44,0.0037214665,False,False
20,Wrax Walking,1,48,0.3840337,False,False
21,Bidoux,1,52,0.05633722,False,False
22,Wrax Walking,1,54,0.00737822,False,False
23,Bidoux,1,56,0.035626844,False,False
24,Bidoux,1,59,0.002005345,False,False
25,Bidoux,1,61,0.0019409059,False,False
26,games5425898691,0,61,0.000801789,False,False
27,Bidoux,1,63,0.0004043088,False,False
28,Wrax Walking,1,64,0.26401684,False,False
29,enpitsu,0,64,0.050271966,False,False
30,Bidoux,1,69,0.0004360471,False,False
31,Wrax Walking,1,71,0.222023,True,True
32,Wrax Walking,1,74,0.00069217215,False,False
33,Bidoux,1,75,0.00076496165,False,False
34,Bidoux,1,76,8.482026e-05,False,False
35,Bidoux,1,77,6.414393e-05,False,False
36,Bidoux,1,77,3.7004025e-05,False,False
37,Bidoux,1,78,2.2638562e-05,False,False
38,Bidoux,1,78,5.438352e-05,False,False
39,Bidoux,1,78,0.00044965654,False,False
40,Bidoux,1,80,0.0006865871,False,False
41,games5425898691,0,82,0.012089868,False,False
42,Wrax Walking,1,84,0.0001510879,False,False
43,games5425898691,0,86,0.0006001127,False,False
44,Bidoux,1,89,0.00032792866,False,False
45,Bidoux,1,91,0.0044646417,False,False
46,Bidoux,1,92,0.029234434,False,False
47,games5425898691,0,94,0.0027207653,False,False
48,Wrax Walking,1,98,0.005708275,False,False
49,enpitsu,0,101,8.0525126e-05,False,False
50,enpitsu,0,102,0.009585014,False,False
51,Wrax Walking,1,103,0.0074533345,False,False
52,Bidoux,1,106,0.16395709,True,True
53,Wrax Walking,1,107,0.0049101287,False,False
54,enpitsu,0,107,0.0038789655,False,False
55,Wrax Walking,1,107,0.004282167,False,False
56,games5425898691,0,110,0.00030513678,False,False
57,games5425898691,0,112,0.0004495453,False,True
58,Bidoux,1,116,0.00086311175,False,False
59,Bidoux,1,117,0.0042409305,False,False
60,Bidoux,1,117,0.009510279,False,False
61,Bidoux,1,119,0.021566931,True,False
62,enpitsu,0,120,0.0007500234,False,False
63,Wrax Walking,1,122,0.036286913,False,False
64,enpitsu,0,123,0.0008707307,False,False
65,Wrax Walking,1,125,0.00044274106,False,False
66,Wrax Walking,1,126,0.0010464869,False,False
67,Bidoux,1,131,0.001157939,False,False
68,Bidoux,1,132,0.0005519721,False,False
69,Wrax Walking,1,132,0.006266258,False,False
70,games5425898691,0,133,0.015064199,False,False
71,enpitsu,0,138,0.0008215968,False,False
72,Bidoux,1,140,0.06359648,False,False
73,games5425898691,0,141,0.00048131123,False,False
74,Bidoux,1,144,0.058516663,False,False
75,Wrax Walking,1,146,0.6207168,True,True
76,Bidoux,1,147,0.0007928983,False,False
77,games5425898691,0,147,0.0010738642,False,False
78,Bidoux,1,147,0.0004971886,False,False
79,enpitsu,0,150,0.052746642,False,False
80,Wrax Walking,1,150,0.0050067487,False,False
81,games5425898691,0,154,0.013212641,False,False
82,games5425898691,0,156,0.0068167974,False,False
83,enpitsu,0,158,0.01170194,False,False
84,Bidoux,1,159,0.0021821265,False,False
85,Bidoux,1,160,0.005406113,False,False
86,enpitsu,0,160,0.0005775066,False,False
87,games5425898691,0,161,0.0017427863,False,False
88,enpitsu,0,163,0.001242754,False,False
89,enpitsu,0,165,0.0009850885,False,False
90,Bidoux,1,165,0.019943729,False,False
91,Bidoux,1,167,0.0006543622,False,False
92,Bidoux,1,168,0.0011571915,False,False
93,enpitsu,0,171,0.00039432803,False,False
94,Bidoux,1,173,0.0032006982,False,False
95,enpitsu,0,173,0.037690658,False,False
96,games5425898691,0,180,0.04022639,False,False
97,Bidoux,1,183,0.004713752,False,False
98,enpitsu,0,184,0.017339895,False,False
99,enpitsu,0,187,0.1268385,False,False
100,Wrax Walking,1,188,0.0015780479,False,False
101,Bidoux,1,190,0.095928244,False,False
102,Bidoux,1,194,0.022370433,False,False
103,Bidoux,1,196,0.0003835643,False,False
104,Bidoux,1,196,0.008548303,False,False
105,Bidoux,1,197,7.455964e-05,False,False
106,enpitsu,0,198,0.010563947,False,False
107,Bidoux,1,198,0.00010626438,False,False
108,Bidoux,1,199,0.000117517455,False,False
109,games5425898691,0,203,0.4304419,False,False
110,Wrax Walking,1,205,0.00041581612,False,False
111,games5425898691,0,207,0.012071697,False,False
112,enpitsu,0,209,0.054100685,False,False
113,enpitsu,0,210,0.12344068,True,False
114,Bidoux,1,210,0.01829415,False,False
115,Wrax Walking,1,213,0.0029488842,False,False
