,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,11,0.20316558,False
1,7orraN,0,27,0.7675554,False
2,Big,0,31,0.42196065,False
3,enpitsu,1,44,0.3850022,True
4,enpitsu,1,89,0.39370692,False
5,7orraN,0,123,0.7469198,True
6,enpitsu,1,153,0.9336457,True
7,enpitsu,1,196,0.15500031,True
8,Big,0,199,0.004223925,False
9,games5425898691,1,205,0.11090977,False
10,enpitsu,1,240,0.08573042,False
11,7orraN,0,254,0.577071,True
12,enpitsu,1,297,0.47514543,False
13,games5425898691,1,299,0.8872268,False
14,Big,0,301,0.0017479438,False
15,games5425898691,1,338,0.3597032,True
