,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,7,0.19044591,False
1,HeroCharras,0,19,0.06371935,False
2,enpitsu,1,32,0.14669938,False
3,enpitsu,1,50,0.48049298,False
4,games5425898691,1,76,0.561094,True
5,CesarMocinha,0,79,0.064080976,False
6,CesarMocinha,0,83,0.10870522,False
7,CesarMocinha,0,157,0.06179998,False
8,CesarMocinha,0,158,0.27661595,False
9,CesarMocinha,0,159,0.61337525,True
10,HeroCharras,0,220,0.25143534,True
11,CesarMocinha,0,244,0.8142868,True
12,enpitsu,1,254,0.4338283,True
13,enpitsu,1,282,0.053380612,False
14,CesarMocinha,0,300,0.49138376,False
