,shot_taker_name,is_orange,time,xg,shot,goal
0,games5425898691,0,0.0,0.00040959325,False,False
1,games5425898691,0,0.0,0.00090169755,False,False
2,Hem-Ger,1,1.0,0.029931534,True,False
3,enpitsu,0,1.0,0.0011442892,False,False
4,Hem-Ger,1,1.0,0.0015914381,False,False
5,Hem-Ger,1,5.0,0.23614651,False,False
6,enpitsu,0,9.0,0.00074750814,False,False
7,enpitsu,0,12.0,0.12033463,True,True
8,Hem-Ger,1,14.0,0.0009974925,False,False
9,games5425898691,0,14.0,0.001384552,False,False
10,games5425898691,0,18.0,0.011009972,False,False
11,Hem-Ger,1,23.0,0.00013071744,False,False
12,Hem-Ger,1,25.0,5.4973403e-05,False,False
13,Hem-Ger,1,25.0,3.0583844e-05,False,False
14,Hem-Ger,1,25.0,0.000107851505,False,False
15,Hem-Ger,1,26.0,0.0004163573,False,False
16,Hem-Ger,1,26.0,0.000680517,False,False
17,Hem-Ger,1,27.0,0.00048752845,False,False
18,Hem-Ger,1,27.0,0.0016377128,False,False
19,Hem-Ger,1,28.0,0.0016133348,False,False
20,Hem-Ger,1,28.0,0.00089757115,False,False
21,Hem-Ger,1,29.0,0.011346079,False,False
22,Hem-Ger,1,29.0,0.01296172,False,False
23,Hem-Ger,1,30.0,0.001678185,False,False
24,Hem-Ger,1,31.0,0.033317775,False,False
25,KawaNoKami_,1,32.0,0.28305212,True,False
26,games5425898691,0,36.0,0.0039046046,False,False
27,Hem-Ger,1,39.0,7.432046e-06,False,False
28,Hem-Ger,1,40.0,0.00011421199,False,False
29,games5425898691,0,42.0,0.03633557,False,False
30,games5425898691,0,42.0,0.009666108,False,False
31,games5425898691,0,43.0,0.008763716,False,False
32,games5425898691,0,43.0,0.00067005027,False,False
33,games5425898691,0,44.0,0.001059376,False,False
34,games5425898691,0,45.0,0.009525765,False,False
35,games5425898691,0,45.0,0.020149974,False,False
36,games5425898691,0,47.0,0.009297188,True,False
37,KawaNoKami_,1,47.0,2.7775848e-05,False,False
38,games5425898691,0,51.0,0.022964384,False,False
39,KawaNoKami_,1,51.0,0.000519866,False,False
40,Hem-Ger,1,53.0,6.996998e-05,False,False
41,enpitsu,0,54.0,0.13887833,True,False
42,KawaNoKami_,1,59.0,0.00040890818,False,False
43,games5425898691,0,60.0,0.029021101,False,False
44,KawaNoKami_,1,62.0,0.00027583056,False,False
45,games5425898691,0,64.0,0.022133792,False,False
46,games5425898691,0,69.0,0.00892565,False,False
47,Hem-Ger,1,69.0,0.00045155248,False,False
48,games5425898691,0,69.0,0.006102046,False,False
49,KawaNoKami_,1,71.0,0.0006897088,False,False
50,KawaNoKami_,1,75.0,0.0005422108,False,False
51,KawaNoKami_,1,78.0,0.0009463744,False,False
52,KawaNoKami_,1,79.0,0.00037215825,False,False
53,KawaNoKami_,1,80.0,0.0008569599,False,False
54,KawaNoKami_,1,81.0,0.0045594,True,True
55,Hem-Ger,1,84.0,0.0008692324,False,False
56,enpitsu,0,84.0,6.357552e-05,False,False
57,enpitsu,0,87.0,0.0009309771,False,False
58,enpitsu,0,87.0,0.0009246331,False,False
59,enpitsu,0,87.0,0.002948106,False,False
60,enpitsu,0,87.0,0.0019215267,False,False
61,enpitsu,0,88.0,0.0020523171,False,False
62,enpitsu,0,89.0,0.008218212,False,False
63,enpitsu,0,89.0,0.014210617,False,False
64,Hem-Ger,1,89.0,0.0032246462,False,False
65,Hem-Ger,1,95.0,0.00036514574,False,False
66,games5425898691,0,96.0,0.00032031935,False,False
67,Hem-Ger,1,96.0,0.0030668892,False,False
68,KawaNoKami_,1,100.0,0.00052934047,False,False
69,KawaNoKami_,1,100.0,0.00049660983,False,False
