,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,40,0.63464594,True
1,enpitsu,1,47,0.69338703,True
2,games5425898691,1,104,0.78929615,True
3,Skadoosh,0,149,0.17441383,False
4,Skadoosh,0,150,0.16995655,False
5,Skadoosh,0,151,0.75700045,True
6,AlpHalXst,0,182,0.6620696,True
7,enpitsu,1,196,0.7492345,False
8,games5425898691,1,196,0.30351546,False
9,enpitsu,1,196,0.8401408,True
10,games5425898691,1,239,0.21815728,True
11,Skadoosh,0,259,0.19464953,False
12,games5425898691,1,264,0.107094124,True
13,Skadoosh,0,266,0.0026940473,False
14,games5425898691,1,277,0.040691484,False
