,shot_taker_name,is_orange,time,xg,shot,goal
0,ZnOx_ArK7,1,0,0.0038284112,False,False
1,games5425898691,0,0,0.0033157398,False,False
2,obey-Supremee_,1,3,0.00012162687,False,False
3,enpitsu,0,8,0.0009685719,False,False
4,ZnOx_ArK7,1,11,0.0006419796,False,False
5,enpitsu,0,14,0.010387172,False,False
6,obey-Supremee_,1,16,0.0097638285,False,False
7,obey-Supremee_,1,17,0.0011789646,False,False
8,obey-Supremee_,1,20,0.0027321647,False,False
9,games5425898691,0,25,0.0003668507,False,False
10,enpitsu,0,26,0.0010593755,False,False
11,enpitsu,0,28,0.028517632,False,False
12,enpitsu,0,34,0.7306721,True,True
13,ZnOx_ArK7,1,34,0.0036895475,True,False
14,games5425898691,0,34,0.0033725936,False,False
15,obey-Supremee_,1,40,0.000986973,False,False
16,obey-Supremee_,1,41,0.0049246997,False,False
17,games5425898691,0,42,0.016732281,False,False
18,obey-Supremee_,1,42,0.005354454,False,False
19,games5425898691,0,42,0.018093642,False,False
20,ZnOx_ArK7,1,46,0.016315445,False,False
21,enpitsu,0,49,0.0033422522,False,False
22,obey-Supremee_,1,51,0.0007648552,False,False
23,obey-Supremee_,1,53,0.00048894185,False,False
24,obey-Supremee_,1,54,0.0008556507,False,False
25,obey-Supremee_,1,56,0.002460953,False,False
26,obey-Supremee_,1,57,0.009593016,False,False
27,obey-Supremee_,1,57,0.0029091586,False,False
28,obey-Supremee_,1,58,0.012179758,False,False
29,enpitsu,0,59,0.00081528444,False,False
30,games5425898691,0,62,0.15230994,False,False
31,ZnOx_ArK7,1,66,0.0018526113,False,False
32,enpitsu,0,68,0.006251438,False,False
33,obey-Supremee_,1,70,0.021955773,False,False
34,enpitsu,0,73,0.0067263143,False,False
35,ZnOx_ArK7,1,76,0.007886845,True,False
36,ZnOx_ArK7,1,80,0.30314952,False,False
37,obey-Supremee_,1,82,0.7144361,True,True
38,enpitsu,0,83,0.0049232603,False,False
39,obey-Supremee_,1,83,0.004068325,False,False
40,ZnOx_ArK7,1,84,0.0006080229,False,False
41,ZnOx_ArK7,1,86,0.002204775,False,False
42,ZnOx_ArK7,1,87,0.006066578,False,False
43,ZnOx_ArK7,1,88,0.01234401,False,False
44,ZnOx_ArK7,1,88,0.01233893,False,False
45,games5425898691,0,91,0.00052255316,False,False
46,games5425898691,0,94,0.0031634339,False,False
47,obey-Supremee_,1,97,0.00012499474,False,False
48,games5425898691,0,99,0.01484995,False,False
49,games5425898691,0,102,0.5837016,True,False
50,ZnOx_ArK7,1,102,0.026210945,False,False
51,enpitsu,0,106,0.07146032,False,False
52,enpitsu,0,110,0.44791645,False,False
53,obey-Supremee_,1,113,0.00028589275,False,False
54,games5425898691,0,115,0.010396828,False,False
55,games5425898691,0,122,0.019167144,False,False
56,games5425898691,0,125,0.029966109,False,False
57,ZnOx_ArK7,1,126,0.00046711092,False,False
58,ZnOx_ArK7,1,130,0.003178352,False,False
59,games5425898691,0,133,0.009082677,False,False
60,enpitsu,0,135,0.047664717,True,False
61,obey-Supremee_,1,135,0.100043185,False,False
62,ZnOx_ArK7,1,140,0.038619738,False,False
63,obey-Supremee_,1,143,0.38412118,False,False
64,enpitsu,0,146,0.010584751,False,False
65,ZnOx_ArK7,1,148,0.008375228,False,False
66,ZnOx_ArK7,1,154,0.025763502,True,False
67,enpitsu,0,155,0.0039166985,False,False
68,enpitsu,0,159,0.00967843,False,False
69,enpitsu,0,161,0.15123749,True,True
70,ZnOx_ArK7,1,162,0.0023329996,False,False
71,games5425898691,0,162,0.0129383765,False,False
72,obey-Supremee_,1,168,0.0038555777,False,False
73,enpitsu,0,170,0.0680213,False,False
74,ZnOx_ArK7,1,171,0.00085158105,False,False
75,enpitsu,0,172,0.00923916,False,False
76,ZnOx_ArK7,1,174,0.00035109016,False,False
77,ZnOx_ArK7,1,175,0.0001472772,False,False
78,ZnOx_ArK7,1,175,0.0007100885,False,False
79,obey-Supremee_,1,176,0.0026524477,False,False
80,obey-Supremee_,1,177,0.0013577918,False,False
81,obey-Supremee_,1,177,0.00081827823,False,False
82,obey-Supremee_,1,177,0.000106549196,False,False
83,obey-Supremee_,1,178,0.0001996111,False,False
84,obey-Supremee_,1,178,0.00033628335,False,False
85,obey-Supremee_,1,179,0.0004076876,False,False
86,obey-Supremee_,1,179,0.00053262286,False,False
87,ZnOx_ArK7,1,183,0.0043355757,False,False
88,enpitsu,0,184,0.0004241521,False,False
89,games5425898691,0,188,0.0011050123,False,False
90,ZnOx_ArK7,1,189,0.00075841637,False,False
91,games5425898691,0,190,0.08532431,False,False
92,obey-Supremee_,1,193,3.838254e-05,False,False
93,obey-Supremee_,1,195,0.010926928,False,False
94,obey-Supremee_,1,198,0.07080925,False,False
95,ZnOx_ArK7,1,202,0.035629377,True,True
96,obey-Supremee_,1,203,0.0014119188,False,False
97,ZnOx_ArK7,1,205,0.000729129,False,False
98,ZnOx_ArK7,1,205,0.0005608185,False,False
99,ZnOx_ArK7,1,205,0.0008252284,False,False
100,enpitsu,0,206,0.04389523,False,False
101,games5425898691,0,211,0.0062560523,True,False
102,ZnOx_ArK7,1,213,0.0005315234,False,False
103,ZnOx_ArK7,1,213,3.1938103e-05,False,False
104,ZnOx_ArK7,1,216,0.0004753708,False,False
105,ZnOx_ArK7,1,217,0.00093236286,False,False
106,ZnOx_ArK7,1,218,0.0026687433,False,False
107,games5425898691,0,218,0.25309008,False,False
108,ZnOx_ArK7,1,218,0.0016251118,False,False
109,games5425898691,0,218,0.041283224,False,False
110,games5425898691,0,222,0.0030350478,False,False
111,enpitsu,0,224,0.69505054,True,True
112,games5425898691,0,225,0.0044622184,False,False
113,ZnOx_ArK7,1,225,0.0054597305,False,False
114,games5425898691,0,225,0.05163534,False,False
115,obey-Supremee_,1,231,0.0066497913,False,False
