,shot_taker_name,is_orange,time,xg,shot,goal
0,kesmo_04,1,0,0.0011366789,False,False
1,enpitsu,0,0,0.0016178194,False,False
2,games5425898691,0,4,0.035879984,False,False
3,kesmo_04,1,7,0.002410059,False,False
4,enpitsu,0,9,0.00043671866,False,False
5,AzuliityZT,1,12,0.008140779,False,False
6,enpitsu,0,13,0.00021682482,False,False
7,enpitsu,0,14,0.0011069134,False,False
8,enpitsu,0,16,0.028998965,True,False
9,enpitsu,0,18,0.2379802,True,False
10,AzuliityZT,1,18,0.0001217991,False,False
11,enpitsu,0,18,0.09050623,False,False
12,kesmo_04,1,22,0.0010103759,False,False
13,kesmo_04,1,23,0.0016070344,False,False
14,kesmo_04,1,24,0.0012306542,False,False
15,kesmo_04,1,24,0.0070412625,False,False
16,kesmo_04,1,25,0.1568493,False,False
17,kesmo_04,1,26,0.16983186,True,True
18,kesmo_04,1,27,0.0004371929,False,False
19,enpitsu,0,27,0.0008226387,False,False
20,AzuliityZT,1,29,0.018216895,False,False
21,AzuliityZT,1,33,0.0002564755,False,False
22,AzuliityZT,1,35,0.002210427,False,False
23,AzuliityZT,1,38,0.13918748,True,True
24,AzuliityZT,1,39,0.0013071196,False,False
25,games5425898691,0,41,0.0049360152,False,False
26,kesmo_04,1,46,0.00051892013,False,False
27,kesmo_04,1,48,0.002546334,False,False
28,kesmo_04,1,49,0.02556766,False,False
29,games5425898691,0,49,0.010906884,False,False
30,kesmo_04,1,49,0.030749928,False,False
31,kesmo_04,1,52,0.51614565,False,False
32,enpitsu,0,54,0.00012698877,False,False
33,games5425898691,0,56,0.00015465036,False,False
34,enpitsu,0,57,0.0018554617,False,False
35,enpitsu,0,60,0.003007181,False,False
36,kesmo_04,1,61,0.0034496314,False,False
37,AzuliityZT,1,66,0.0003823641,False,False
38,games5425898691,0,68,0.000919251,False,False
39,games5425898691,0,69,0.003295984,False,False
40,games5425898691,0,70,0.002557914,False,False
41,games5425898691,0,72,0.0026599942,False,False
42,games5425898691,0,75,0.0011216203,False,False
43,kesmo_04,1,75,0.009077095,False,False
44,enpitsu,0,79,0.00017742696,False,False
45,AzuliityZT,1,83,0.0007238676,False,False
46,AzuliityZT,1,84,0.0031466314,False,False
47,enpitsu,0,88,0.5872021,True,True
48,AzuliityZT,1,89,0.0036954663,False,False
49,kesmo_04,1,95,0.009482153,False,False
50,enpitsu,0,96,0.00021672065,False,False
51,games5425898691,0,98,4.1152543e-05,False,False
52,kesmo_04,1,99,0.2290623,False,False
53,enpitsu,0,101,0.005302486,False,False
54,AzuliityZT,1,104,0.0043990896,False,False
55,enpitsu,0,107,0.005657193,False,False
56,kesmo_04,1,109,0.0017532085,False,False
57,enpitsu,0,112,0.0015389067,False,False
58,kesmo_04,1,113,0.00015593864,False,False
59,enpitsu,0,115,0.032995738,False,False
60,AzuliityZT,1,117,0.00019014263,False,False
61,AzuliityZT,1,118,0.000112129266,False,False
62,AzuliityZT,1,121,0.004253652,False,False
63,enpitsu,0,124,0.008850453,False,False
64,kesmo_04,1,126,0.008576516,True,False
65,games5425898691,0,127,0.03325617,False,False
66,kesmo_04,1,131,0.0012009707,False,False
67,AzuliityZT,1,134,0.0007977191,False,False
68,AzuliityZT,1,136,0.0030159086,False,False
69,enpitsu,0,144,0.0039608325,False,False
70,enpitsu,0,148,0.0012313594,False,False
71,enpitsu,0,149,0.0011621043,False,False
72,AzuliityZT,1,150,0.0012291629,False,False
73,kesmo_04,1,152,0.038340762,False,False
74,games5425898691,0,152,0.0010142263,False,False
75,enpitsu,0,157,0.0009263879,False,False
76,kesmo_04,1,159,0.0013472275,False,False
77,kesmo_04,1,160,0.0014470739,False,False
78,kesmo_04,1,161,0.0062568323,False,False
79,kesmo_04,1,161,0.0028307133,False,False
80,kesmo_04,1,162,0.011663692,False,False
81,kesmo_04,1,164,0.0431333,True,False
82,games5425898691,0,164,0.0005708644,False,False
83,AzuliityZT,1,166,0.00015450637,False,False
84,AzuliityZT,1,167,0.00068667973,False,False
85,enpitsu,0,171,0.0038926124,False,False
86,enpitsu,0,173,0.39171976,True,False
87,kesmo_04,1,173,0.009455247,False,False
88,enpitsu,0,173,0.06658439,False,False
89,games5425898691,0,176,0.0035511758,False,False
90,kesmo_04,1,179,0.0037288547,False,False
91,enpitsu,0,181,0.0012002181,False,False
92,kesmo_04,1,183,0.11023694,False,False
93,AzuliityZT,1,186,0.026941951,False,False
94,enpitsu,0,189,0.00027302813,False,False
95,AzuliityZT,1,191,0.0029871657,False,False
96,AzuliityZT,1,193,0.006747731,False,False
97,AzuliityZT,1,196,0.0067027076,False,False
98,AzuliityZT,1,197,0.049811404,False,False
99,AzuliityZT,1,200,0.05612377,False,False
100,AzuliityZT,1,202,0.0024348474,False,False
101,games5425898691,0,204,0.00069525465,False,False
102,games5425898691,0,205,0.00018201239,False,False
103,AzuliityZT,1,207,0.011710203,False,False
104,AzuliityZT,1,210,0.25769517,False,False
105,kesmo_04,1,213,0.00034404392,False,False
106,enpitsu,0,217,0.02681638,False,False
107,enpitsu,0,217,0.03466907,False,False
108,kesmo_04,1,218,0.004651713,False,False
109,kesmo_04,1,221,0.6814905,True,True
110,games5425898691,0,221,0.042653907,False,False
111,games5425898691,0,225,0.001363976,False,False
112,games5425898691,0,225,0.0068665054,False,False
113,games5425898691,0,226,0.00036087752,False,False
114,games5425898691,0,227,0.0002489136,False,False
115,kesmo_04,1,228,0.011467078,False,False
116,enpitsu,0,229,0.0007262888,False,False
117,AzuliityZT,1,231,0.0006270527,False,False
118,AzuliityZT,1,232,0.04770412,True,False
119,games5425898691,0,234,0.005197207,False,False
120,games5425898691,0,236,0.06996176,False,False
121,games5425898691,0,237,0.02217018,False,False
122,games5425898691,0,238,0.0025196008,False,False
123,games5425898691,0,238,0.10176588,False,False
124,kesmo_04,1,240,0.00045728893,False,False
125,AzuliityZT,1,242,0.00020780897,False,False
126,games5425898691,0,246,8.426247e-05,False,False
127,kesmo_04,1,247,0.0075500314,False,False
128,games5425898691,0,250,0.023515949,False,False
129,games5425898691,0,253,0.0029250276,False,False
130,AzuliityZT,1,255,0.0026589532,False,False
131,enpitsu,0,257,0.0028628188,False,False
132,games5425898691,0,262,0.31444922,True,True
133,kesmo_04,1,262,0.00030617975,False,False
134,AzuliityZT,1,264,0.0044367025,False,False
135,games5425898691,0,267,0.01359235,False,False
136,kesmo_04,1,269,0.0009458398,False,False
137,kesmo_04,1,273,0.09255119,False,False
138,enpitsu,0,275,0.0007785889,False,False
139,kesmo_04,1,277,0.0009063494,False,False
140,enpitsu,0,277,0.02805293,False,False
141,kesmo_04,1,280,0.0057130153,False,False
142,kesmo_04,1,283,0.0021090114,False,False
143,enpitsu,0,284,0.0032214108,False,False
144,AzuliityZT,1,286,0.00011288884,False,False
145,AzuliityZT,1,289,0.0008224925,False,False
146,AzuliityZT,1,291,0.004592719,False,False
147,AzuliityZT,1,295,0.00087903644,False,False
148,games5425898691,0,297,0.02204014,False,False
149,enpitsu,0,297,0.00101958,False,False
150,kesmo_04,1,297,0.028931627,False,False
