,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,Bunxxx,1,0,0.0051498273,True,False,170
1,games5425898691,0,0,0.010889091,False,False,173
2,ياو تفاكت,1,5,0.013024664,False,False,320
3,enpitsu,0,5,0.00016672668,False,False,325
4,Bunxxx,1,6,0.8012719,False,False,354
5,games5425898691,0,8,0.00068136625,False,False,407
6,Bunxxx,1,11,0.0038933114,False,False,492
7,games5425898691,0,11,0.022456592,False,False,496
8,Bunxxx,1,17,0.0015375906,False,False,644
9,enpitsu,0,20,0.03156824,False,False,728
10,Bunxxx,1,22,0.00022317749,False,False,796
11,games5425898691,0,24,0.008677056,False,False,855
12,Bunxxx,1,27,0.003421624,False,False,926
13,games5425898691,0,28,0.0009771977,False,False,963
14,games5425898691,0,29,0.011021083,False,False,984
15,games5425898691,0,30,0.16489302,False,False,1017
16,Bunxxx,1,31,0.00020633609,False,False,1023
17,enpitsu,0,33,0.005893253,False,False,1092
18,ياو تفاكت,1,35,0.0065588285,False,False,1155
19,Bunxxx,1,38,0.08125397,False,False,1234
20,enpitsu,0,43,0.00032604265,False,False,1360
21,games5425898691,0,46,0.0016929156,False,False,1453
22,games5425898691,0,48,0.054177605,False,False,1503
23,Bunxxx,1,48,0.0043093036,False,False,1505
24,Bunxxx,1,52,0.013350845,False,False,1615
25,enpitsu,0,52,0.0018584428,False,False,1617
26,games5425898691,0,54,0.0014630313,False,False,1670
27,games5425898691,0,56,0.009324916,False,False,1733
28,Bunxxx,1,59,0.036323275,False,False,1807
29,ياو تفاكت,1,62,0.26241747,False,False,1885
30,games5425898691,0,67,0.07735224,True,True,2012
31,enpitsu,0,70,0.0013929881,False,False,2347
32,Bunxxx,1,72,0.005552955,False,False,2414
33,Bunxxx,1,74,0.024855062,False,False,2454
34,games5425898691,0,77,0.00033411098,False,False,2557
35,ياو تفاكت,1,78,0.010407788,False,False,2587
36,ياو تفاكت,1,81,0.1431458,True,False,2652
37,enpitsu,0,81,0.011957909,False,False,2656
38,Bunxxx,1,85,0.0066276407,False,False,2758
39,games5425898691,0,89,0.0022019658,False,False,2872
40,games5425898691,0,89,0.001082574,False,False,2887
41,ياو تفاكت,1,90,0.012419427,False,False,2913
42,games5425898691,0,91,0.00052933744,False,False,2947
43,enpitsu,0,93,0.013359805,False,False,2975
44,Bunxxx,1,95,0.0001591691,False,False,3056
45,Bunxxx,1,98,0.0023540491,False,False,3121
46,enpitsu,0,101,0.02060132,False,False,3210
47,Bunxxx,1,104,0.0038934224,False,False,3281
48,Bunxxx,1,107,0.11793368,False,False,3364
49,enpitsu,0,109,0.0022090992,False,False,3424
50,enpitsu,0,112,0.027157217,False,False,3512
51,enpitsu,0,114,0.4144886,True,True,3562
52,games5425898691,0,115,0.035995267,True,False,3842
53,ياو تفاكت,1,116,0.0015034705,False,False,3868
54,Bunxxx,1,119,0.065570645,False,False,3951
55,enpitsu,0,120,0.0017537818,False,False,3999
56,enpitsu,0,125,0.028070554,False,False,4124
57,Bunxxx,1,128,0.000495509,False,False,4205
58,enpitsu,0,132,0.024492964,False,False,4310
59,enpitsu,0,133,0.014203318,False,False,4349
60,games5425898691,0,134,0.3950352,True,False,4376
61,Bunxxx,1,134,0.0036383506,False,False,4377
62,Bunxxx,1,138,0.0040497426,False,False,4493
63,Bunxxx,1,139,0.0049382946,False,False,4520
64,Bunxxx,1,140,0.0037339157,False,False,4535
65,enpitsu,0,140,0.028090239,False,False,4545
66,Bunxxx,1,140,0.0059273452,False,False,4547
67,enpitsu,0,140,0.014027956,False,False,4548
68,games5425898691,0,146,0.1581891,False,False,4699
69,Bunxxx,1,148,0.00018615865,False,False,4756
70,games5425898691,0,150,0.0024223803,False,False,4825
71,Bunxxx,1,152,0.059993446,False,False,4880
72,enpitsu,0,155,0.106971964,False,False,4949
73,enpitsu,0,158,0.62635845,False,False,5033
74,games5425898691,0,160,0.38527498,False,False,5088
75,ياو تفاكت,1,165,0.002016856,False,False,5213
76,enpitsu,0,168,0.023934482,False,False,5317
77,ياو تفاكت,1,174,0.0001786644,False,False,5476
78,games5425898691,0,174,0.04045368,False,False,5477
79,enpitsu,0,179,0.02626466,False,False,5616
80,enpitsu,0,180,0.0009607217,False,False,5627
81,ياو تفاكت,1,181,0.0022016063,False,False,5663
82,Bunxxx,1,186,0.009704375,False,False,5793
83,games5425898691,0,187,0.00038461332,False,False,5822
84,enpitsu,0,189,0.00016808539,False,False,5880
85,Bunxxx,1,190,0.19122058,False,False,5906
86,games5425898691,0,190,0.011804656,False,False,5910
87,games5425898691,0,194,0.111581914,False,False,6026
88,games5425898691,0,199,0.36310503,True,False,6152
89,Bunxxx,1,199,0.02493524,False,False,6155
90,enpitsu,0,202,0.00019659329,False,False,6244
91,Bunxxx,1,205,0.0110066645,False,False,6329
92,enpitsu,0,205,0.0094769085,False,False,6334
93,ياو تفاكت,1,208,0.009247209,False,False,6400
94,ياو تفاكت,1,213,0.0015884981,False,False,6538
95,enpitsu,0,214,0.22211379,False,False,6569
96,ياو تفاكت,1,214,0.005044385,False,False,6570
97,enpitsu,0,219,0.0058924905,False,False,6713
98,ياو تفاكت,1,221,0.046173625,False,False,6771
99,games5425898691,0,227,0.0003713672,False,False,6919
100,ياو تفاكت,1,229,0.0058806976,False,False,6986
101,games5425898691,0,232,0.000978261,False,False,7055
102,Bunxxx,1,235,0.0009524,False,False,7150
103,enpitsu,0,238,0.017540969,False,False,7229
104,enpitsu,0,238,0.0048660734,False,False,7240
105,ياو تفاكت,1,240,0.012290826,False,False,7278
106,games5425898691,0,245,0.00069889944,False,False,7410
107,games5425898691,0,247,0.0011098604,False,False,7487
108,Bunxxx,1,248,0.0021103837,False,False,7496
109,ياو تفاكت,1,251,0.8076952,True,True,7582
110,enpitsu,0,251,0.004405284,False,False,7846
111,ياو تفاكت,1,251,0.0057253176,False,False,7847
112,Bunxxx,1,254,0.049758658,False,False,7929
113,games5425898691,0,257,0.00796508,False,False,8017
114,games5425898691,0,258,0.0028913787,False,False,8028
115,Bunxxx,1,258,0.0043282234,False,False,8035
116,Bunxxx,1,260,0.49254397,True,False,8086
117,games5425898691,0,262,0.00034229198,False,False,8138
118,games5425898691,0,266,0.543031,True,True,8242
119,ياو تفاكت,1,268,0.003985214,False,False,8568
120,enpitsu,0,268,0.01631882,False,False,8569
121,ياو تفاكت,1,268,0.014846922,False,False,8570
122,enpitsu,0,273,6.8180576e-05,False,False,8712
123,enpitsu,0,275,0.00017098508,False,False,8763
124,enpitsu,0,276,0.0005671078,False,False,8780
125,Bunxxx,1,278,0.011321453,False,False,8846
126,games5425898691,0,280,0.00017252499,False,False,8893
127,enpitsu,0,284,0.0008141734,False,False,9006
128,ياو تفاكت,1,286,0.11118762,False,False,9062
129,games5425898691,0,288,0.009622176,False,False,9101
130,Bunxxx,1,290,0.0037737621,False,False,9166
131,Bunxxx,1,294,0.043365125,False,False,9273
132,games5425898691,0,295,0.0009341198,False,False,9296
133,Bunxxx,1,297,0.25393623,True,False,9364
134,enpitsu,0,299,0.0011679055,False,False,9408
