,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,road to supersonic bronze,0,0,0.0032493146,False,False,169
1,games5425898691,1,0,0.012671904,False,False,170
2,games5425898691,1,4,0.0023471152,False,False,292
3,games5425898691,1,4,0.0011454887,False,False,296
4,games5425898691,1,5,0.0014565012,False,False,310
5,road to supersonic bronze,0,6,0.03758279,False,False,339
6,enpitsu,1,8,0.0058725914,False,False,391
7,enpitsu,1,10,0.008803396,False,False,463
8,road to supersonic bronze,0,12,0.0003130092,False,False,511
9,games5425898691,1,14,0.073953904,False,False,567
10,road to supersonic bronze,0,15,0.001097123,False,False,599
11,SziCx,0,18,0.00056861143,False,False,664
12,enpitsu,1,20,0.25062543,True,False,737
13,road to supersonic bronze,0,21,0.0031111608,False,False,770
14,SziCx,0,24,0.0010674974,False,False,828
15,SziCx,0,25,0.00072612305,False,False,862
16,enpitsu,1,25,0.0012110353,False,False,870
17,SziCx,0,28,0.00086102576,False,False,956
18,road to supersonic bronze,0,30,0.00056309,False,False,1002
19,road to supersonic bronze,0,31,0.0001533223,False,False,1024
20,road to supersonic bronze,0,32,0.030760944,False,False,1065
21,road to supersonic bronze,0,37,0.16761178,False,False,1195
22,enpitsu,1,37,0.00017712744,False,False,1203
23,SziCx,0,40,0.0009994031,False,False,1294
24,enpitsu,1,43,0.031369686,False,False,1357
25,enpitsu,1,45,0.013643591,False,False,1423
26,enpitsu,1,46,0.022457534,True,False,1436
27,enpitsu,1,46,0.048751656,False,False,1449
28,SziCx,0,47,0.0008667834,False,False,1477
29,SziCx,0,50,0.0014717564,False,False,1543
30,SziCx,0,53,0.044328872,True,False,1645
31,games5425898691,1,53,0.010290972,False,False,1651
32,SziCx,0,61,0.029935312,True,False,1855
33,enpitsu,1,61,0.059984192,False,False,1856
34,enpitsu,1,65,0.0043352754,False,False,1977
35,road to supersonic bronze,0,66,0.0006204667,False,False,2008
36,road to supersonic bronze,0,67,0.0002533307,False,False,2022
37,SziCx,0,69,0.00027126813,False,False,2072
38,games5425898691,1,73,0.0024806196,False,False,2174
39,road to supersonic bronze,0,75,0.00047379243,False,False,2250
40,games5425898691,1,80,0.21359439,False,False,2378
41,enpitsu,1,82,0.00825424,False,False,2442
42,enpitsu,1,84,0.01643734,False,False,2488
43,games5425898691,1,86,0.0004978504,False,False,2549
44,games5425898691,1,88,0.002407116,False,False,2591
45,SziCx,0,90,0.027217727,False,False,2642
46,enpitsu,1,94,0.033462334,False,False,2768
47,road to supersonic bronze,0,97,0.000775941,False,False,2846
