,shot_taker_name,is_orange,time,xg,goal
0,xx_machado23_xx,0,14,0.16478018,False
1,games5425898691,1,22,0.26992086,True
2,xx_diogopinho_xx,0,37,0.49699962,True
3,xx_machado23_xx,0,91,0.49428093,False
4,enpitsu,1,119,0.38786173,False
5,games5425898691,1,186,0.435384,False
6,xx_diogopinho_xx,0,196,0.24679513,True
7,games5425898691,1,204,0.25030982,True
8,xx_machado23_xx,0,230,0.10686365,False
9,xx_diogopinho_xx,0,230,0.12631147,False
10,xx_machado23_xx,0,230,0.08461635,False
11,xx_machado23_xx,0,263,0.2708165,False
