,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,KAPTAINE ZIZI,1,0.0,0.0041987137,False,False,166
1,enpitsu,0,0.0,0.0058223414,False,False,168
2,games5425898691,0,3.0,0.0034635288,False,False,272
3,games5425898691,0,5.0,0.06947584,False,False,319
4,Aeron,1,5.0,0.013252819,False,False,320
5,KAPTAINE ZIZI,1,7.0,0.011851992,False,False,384
6,Aeron,1,11.0,0.002698919,False,False,487
7,enpitsu,0,15.0,0.33497524,True,True,583
8,enpitsu,0,17.0,0.00595452,False,False,894
9,KAPTAINE ZIZI,1,17.0,0.04823179,False,False,895
10,Aeron,1,21.0,0.15394041,False,False,997
11,enpitsu,0,23.0,0.0046165064,False,False,1058
12,KAPTAINE ZIZI,1,26.0,0.008044458,False,False,1148
13,games5425898691,0,28.0,0.12030385,True,True,1210
14,Aeron,1,32.0,0.0064797085,False,False,1551
15,games5425898691,0,32.0,0.021925807,False,False,1552
16,enpitsu,0,35.0,0.23392037,False,False,1641
17,KAPTAINE ZIZI,1,35.0,0.0017493829,False,False,1642
18,Aeron,1,41.0,0.005700929,False,False,1806
19,Aeron,1,43.0,0.037206415,False,False,1856
20,Aeron,1,44.0,0.47867477,True,True,1882
21,Aeron,1,45.0,0.0055783936,False,False,2182
22,enpitsu,0,47.0,0.001962146,False,False,2230
23,enpitsu,0,50.0,0.11142865,True,False,2323
24,KAPTAINE ZIZI,1,50.0,0.044330854,False,False,2325
25,games5425898691,0,55.0,0.099955484,False,False,2446
26,games5425898691,0,58.0,0.0707131,False,False,2530
27,KAPTAINE ZIZI,1,61.0,0.0009268104,False,False,2604
28,KAPTAINE ZIZI,1,62.0,0.0005786292,False,False,2643
29,enpitsu,0,64.0,0.00062228926,False,False,2696
30,enpitsu,0,68.0,0.17214504,True,False,2812
31,enpitsu,0,71.0,0.7629603,True,True,2891
32,Aeron,1,72.0,0.0057333745,True,False,3155
33,games5425898691,0,72.0,0.024124488,False,False,3159
34,KAPTAINE ZIZI,1,77.0,0.0067373943,False,False,3309
35,enpitsu,0,80.0,0.0003779466,False,False,3393
36,KAPTAINE ZIZI,1,82.0,0.003315065,False,False,3442
37,games5425898691,0,84.0,0.0011047239,False,False,3509
38,Aeron,1,86.0,0.013085851,False,False,3558
39,games5425898691,0,88.0,0.0011782702,False,False,3611
40,games5425898691,0,89.0,0.0029626514,False,False,3624
41,games5425898691,0,89.0,0.0018031053,False,False,3635
42,games5425898691,0,89.0,0.00089030305,False,False,3649
43,games5425898691,0,90.0,0.0023311502,False,False,3666
44,games5425898691,0,91.0,0.008595517,False,False,3679
45,games5425898691,0,91.0,0.003546667,False,False,3695
46,games5425898691,0,92.0,0.019020958,False,False,3712
47,KAPTAINE ZIZI,1,92.0,0.013799361,False,False,3715
48,enpitsu,0,94.0,0.00033327463,False,False,3774
49,enpitsu,0,97.0,0.2826818,False,False,3852
50,enpitsu,0,100.0,0.7321454,False,False,3929
51,KAPTAINE ZIZI,1,101.0,0.001202693,False,False,3973
52,KAPTAINE ZIZI,1,106.0,0.013516811,False,False,4103
53,games5425898691,0,108.0,0.0008188137,False,False,4159
54,Aeron,1,111.0,0.008392334,False,False,4228
55,games5425898691,0,113.0,0.0017358235,False,False,4298
56,games5425898691,0,114.0,0.001761411,False,False,4334
57,enpitsu,0,118.0,0.001403002,False,False,4436
58,games5425898691,0,121.0,0.00013750927,False,False,4508
59,enpitsu,0,121.0,0.018787213,False,False,4509
60,Aeron,1,123.0,0.004992992,False,False,4578
61,games5425898691,0,125.0,0.0026834563,False,False,4635
62,games5425898691,0,129.0,0.18669105,False,False,4733
63,enpitsu,0,132.0,0.8596291,True,True,4809
64,Aeron,1,132.0,0.0025962933,False,False,4811
65,KAPTAINE ZIZI,1,134.0,0.014798583,False,False,5130
66,enpitsu,0,134.0,0.000506195,False,False,5132
67,Aeron,1,139.0,0.010205614,False,False,5269
68,Aeron,1,141.0,0.008067778,False,False,5303
69,Aeron,1,141.0,0.012420024,False,False,5324
70,Aeron,1,142.0,0.0025595862,False,False,5344
71,Aeron,1,143.0,0.024060013,False,False,5360
72,Aeron,1,143.0,0.39396533,False,False,5380
73,Aeron,1,145.0,0.28258935,True,False,5418
74,Aeron,1,145.0,0.495696,True,True,5434
75,KAPTAINE ZIZI,1,146.0,0.00059366773,False,False,5701
76,enpitsu,0,146.0,0.055554155,False,False,5702
77,Aeron,1,148.0,0.0008977734,False,False,5764
78,KAPTAINE ZIZI,1,152.0,0.0032440927,False,False,5858
79,KAPTAINE ZIZI,1,154.0,0.022562401,False,False,5907
80,KAPTAINE ZIZI,1,154.0,0.011375519,False,False,5929
81,games5425898691,0,155.0,0.05044885,False,False,5935
82,Aeron,1,156.0,0.017672231,False,False,5972
