,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,0,0.0041343668,False
1,games5425898691,0,0,0.036931936,False
2,Castro,1,7,0.5597416,False
3,enpitsu,0,56,0.5177711,True
4,Kapatranovic,1,58,0.0062273093,False
5,Kapatranovic,1,77,0.45107523,False
6,Kapatranovic,1,79,0.71375394,True
7,games5425898691,0,93,0.7748964,True
8,Castro,1,97,0.016261136,False
9,games5425898691,0,107,0.6287003,False
10,enpitsu,0,113,0.65215266,False
11,Castro,1,124,0.12107194,False
12,Castro,1,188,0.24393333,True
13,enpitsu,0,192,0.14049557,False
14,enpitsu,0,234,0.06405997,False
15,enpitsu,0,255,0.023510655,False
