,shot_taker_name,is_orange,time,xg,shot,goal
0,nex_811,0,0,0.004175987,True,False
1,games5425898691,1,0,0.0038488188,False,False
2,Cum_Kid,0,5,0.0048282417,False,False
3,games5425898691,1,5,0.008472019,False,False
4,enpitsu,1,9,0.23681359,False,False
5,enpitsu,1,12,0.054520737,False,False
6,Cum_Kid,0,12,0.11676114,False,False
7,Cum_Kid,0,18,0.00364812,False,False
8,enpitsu,1,19,0.0034845318,False,False
9,enpitsu,1,22,0.055074446,False,False
10,nex_811,0,24,0.00034038263,False,False
11,Cum_Kid,0,25,0.00015297606,False,False
12,Cum_Kid,0,25,0.00027563891,False,False
13,Cum_Kid,0,28,0.111974955,False,False
14,enpitsu,1,32,0.00014334226,False,False
15,Cum_Kid,0,36,0.020499218,True,True
16,enpitsu,1,38,0.011061186,False,False
17,nex_811,0,39,0.0044100503,False,False
18,games5425898691,1,41,0.1240773,True,False
19,Cum_Kid,0,41,0.055503067,False,False
20,enpitsu,1,46,0.0036577363,False,False
21,Cum_Kid,0,47,0.0006958559,False,False
22,Cum_Kid,0,51,0.00031656394,False,False
23,Cum_Kid,0,52,0.008075598,False,False
24,games5425898691,1,53,0.49051553,False,False
25,enpitsu,1,58,0.0061213826,False,False
26,Cum_Kid,0,60,0.0008484502,False,False
27,games5425898691,1,62,0.020759275,False,False
28,nex_811,0,69,0.0013166335,False,False
29,enpitsu,1,71,0.0029365807,False,False
30,Cum_Kid,0,73,0.22916265,False,False
31,games5425898691,1,76,0.000750363,False,False
32,nex_811,0,79,0.002081038,False,False
33,nex_811,0,80,0.0029165708,False,False
34,enpitsu,1,83,0.0008428109,False,False
35,Cum_Kid,0,85,0.010002345,False,False
36,Cum_Kid,0,87,0.28027058,False,False
37,enpitsu,1,92,0.00024506063,False,False
38,enpitsu,1,93,0.00028703656,False,False
39,enpitsu,1,94,0.0002774566,False,False
40,enpitsu,1,94,0.00032181246,False,False
41,enpitsu,1,94,0.00025395656,False,False
42,nex_811,0,94,0.021277415,False,False
43,enpitsu,1,94,0.0012970825,False,False
44,Cum_Kid,0,98,0.04931572,False,False
45,games5425898691,1,100,0.0024230855,False,False
46,nex_811,0,103,0.011681228,True,True
47,games5425898691,1,106,0.004231451,True,False
48,Cum_Kid,0,107,0.0038964231,False,False
49,games5425898691,1,107,0.4982326,False,False
50,enpitsu,1,113,0.332783,True,False
51,Cum_Kid,0,115,0.0005645305,False,False
52,enpitsu,1,120,0.0020112004,False,False
53,enpitsu,1,122,0.42839876,True,True
54,nex_811,0,124,0.00033674666,False,False
55,nex_811,0,124,0.0012751769,False,False
56,nex_811,0,125,0.0037763983,False,False
57,Cum_Kid,0,125,0.048442267,False,False
58,enpitsu,1,125,0.0012652098,False,False
59,Cum_Kid,0,125,0.01916731,False,False
60,enpitsu,1,132,0.0002369475,False,False
61,enpitsu,1,134,0.017866753,False,False
62,nex_811,0,137,0.0026058597,False,False
63,nex_811,0,141,0.004980162,False,False
64,Cum_Kid,0,144,0.04365359,False,False
65,Cum_Kid,0,145,0.28790963,True,False
66,Cum_Kid,0,147,0.27353433,True,False
67,enpitsu,1,150,0.027489131,False,False
68,games5425898691,1,151,0.00052899495,False,False
69,games5425898691,1,153,0.0013852002,False,False
70,enpitsu,1,154,0.030343726,False,False
71,Cum_Kid,0,157,0.0022863648,False,False
72,Cum_Kid,0,157,0.0010729623,False,False
73,Cum_Kid,0,159,0.00094211946,False,False
74,Cum_Kid,0,161,0.00059422926,False,False
75,Cum_Kid,0,162,0.0007622953,False,False
76,Cum_Kid,0,163,0.001881645,False,False
77,Cum_Kid,0,163,0.0024130887,False,False
78,Cum_Kid,0,164,0.006964257,False,False
79,Cum_Kid,0,164,0.04593645,False,False
80,enpitsu,1,166,0.019145194,False,False
81,nex_811,0,169,0.0016133508,False,False
82,games5425898691,1,174,0.0011070131,False,False
83,games5425898691,1,177,0.022260593,False,False
84,enpitsu,1,179,0.640412,True,False
85,Cum_Kid,0,183,0.0008385417,False,False
86,games5425898691,1,189,9.480843e-05,False,False
87,games5425898691,1,190,0.0050222436,False,False
88,nex_811,0,190,0.0045904787,False,False
89,enpitsu,1,192,0.0059557706,False,False
90,Cum_Kid,0,194,0.0142661,False,False
91,Cum_Kid,0,198,0.0015649758,False,False
92,Cum_Kid,0,200,0.05973281,False,False
93,nex_811,0,202,0.82431585,True,True
94,nex_811,0,203,0.0019611798,False,False
95,Cum_Kid,0,206,0.071699075,False,False
96,Cum_Kid,0,209,0.56387526,False,False
97,Cum_Kid,0,210,0.2467705,False,False
98,Cum_Kid,0,210,0.37610075,True,False
99,games5425898691,1,210,0.0003009777,False,False
100,nex_811,0,213,0.055781525,False,False
101,enpitsu,1,214,0.00012720062,False,False
102,enpitsu,1,216,0.003504494,False,False
103,Cum_Kid,0,221,0.00032022162,False,False
104,Cum_Kid,0,222,0.22308297,False,False
105,Cum_Kid,0,227,0.09859274,False,False
106,Cum_Kid,0,228,0.28407195,True,False
107,Cum_Kid,0,228,0.3126513,True,False
108,games5425898691,1,228,0.022527846,False,False
109,games5425898691,1,232,0.013943275,False,False
110,Cum_Kid,0,234,0.0042288275,False,False
111,Cum_Kid,0,236,0.0029582288,False,False
112,Cum_Kid,0,238,0.012711872,False,False
113,Cum_Kid,0,238,0.018701665,False,False
114,Cum_Kid,0,239,0.017550422,False,True
115,games5425898691,1,239,0.00035165178,False,False
116,enpitsu,1,242,0.001403953,False,False
117,nex_811,0,242,0.004651616,False,False
118,games5425898691,1,242,0.010386491,False,False
119,Cum_Kid,0,244,0.030997574,True,True
120,Cum_Kid,0,247,0.0033734462,False,False
121,enpitsu,1,247,0.012714643,False,False
122,Cum_Kid,0,247,0.0031869886,False,False
123,games5425898691,1,252,0.0005955529,False,False
124,games5425898691,1,254,0.0076857014,False,False
125,Cum_Kid,0,255,0.0012523762,False,False
126,Cum_Kid,0,259,0.005427206,False,False
127,enpitsu,1,261,0.00032647655,False,False
128,nex_811,0,263,0.36207384,True,False
129,enpitsu,1,264,0.0013064768,False,False
130,Cum_Kid,0,272,0.0026277332,False,False
131,Cum_Kid,0,273,0.010566579,False,False
132,enpitsu,1,276,0.0014005863,False,False
133,games5425898691,1,277,0.11389343,False,False
134,games5425898691,1,281,0.5661263,True,True
135,nex_811,0,282,0.0016296866,False,False
136,enpitsu,1,285,0.004615584,False,False
137,enpitsu,1,287,0.1060634,False,False
138,Cum_Kid,0,289,0.06571281,False,False
139,enpitsu,1,293,0.00030078122,False,False
140,nex_811,0,296,0.030622669,False,False
141,enpitsu,1,296,0.019011276,False,False
142,Cum_Kid,0,300,0.0001977067,False,False
