,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,39.0,0.014442591,False
1,♿ DerKrabbo ♿,0,43.0,0.8534509,True
2,El Rasho Macuin,0,54.0,0.16217302,False
3,enpitsu,1,66.0,0.32397613,True
4,games5425898691,1,99.0,0.41257125,True
5,games5425898691,1,101.0,0.0013277163,False
6,El Rasho Macuin,0,134.0,0.27673426,False
7,El Rasho Macuin,0,135.0,0.24413297,False
8,games5425898691,1,142.0,0.08194319,False
9,games5425898691,1,142.0,0.29545885,True
10,enpitsu,1,151.0,0.027752804,True
11,El Rasho Macuin,0,153.0,0.00863394,False
12,♿ DerKrabbo ♿,0,161.0,0.08236068,False
13,♿ DerKrabbo ♿,0,165.0,0.8969266,True
14,♿ DerKrabbo ♿,0,276.0,0.04979437,False
