,shot_taker_name,is_orange,time,xg,shot,goal
0,enpitsu,0,0.0,0.0009783356,True,False
1,TTV_Markinho191,1,1.0,0.00027309373,False,False
2,enpitsu,0,8.0,5.458209e-05,False,False
3,games5425898691,0,9.0,0.0037613572,False,False
4,TTV_Markinho191,1,10.0,0.0034474353,False,False
5,EvO_Fakto-21,1,16.0,0.041744363,True,False
6,enpitsu,0,18.0,0.0007031752,False,False
7,TTV_Markinho191,1,19.0,0.6111375,True,True
8,TTV_Markinho191,1,20.0,0.0010790866,True,False
9,games5425898691,0,20.0,0.008737005,False,False
10,enpitsu,0,26.0,0.0020435543,False,False
11,enpitsu,0,26.0,0.011991025,False,False
12,EvO_Fakto-21,1,30.0,0.0014776482,False,False
13,EvO_Fakto-21,1,32.0,0.010786796,False,False
14,TTV_Markinho191,1,35.0,0.5608679,True,True
15,enpitsu,0,36.0,0.0024762459,True,False
16,EvO_Fakto-21,1,36.0,0.00129436,False,False
17,enpitsu,0,39.0,0.005299421,False,False
18,enpitsu,0,39.0,0.25025642,False,False
19,enpitsu,0,42.0,0.00468061,False,False
20,EvO_Fakto-21,1,45.0,0.00023161089,False,False
21,EvO_Fakto-21,1,47.0,0.027547631,False,False
22,TTV_Markinho191,1,51.0,0.66635877,True,True
23,games5425898691,0,52.0,9.636487e-05,False,False
24,TTV_Markinho191,1,52.0,0.0010382185,False,False
25,TTV_Markinho191,1,53.0,0.00078105455,False,False
26,EvO_Fakto-21,1,53.0,0.047714587,False,False
27,games5425898691,0,53.0,0.00039481022,False,False
28,EvO_Fakto-21,1,53.0,0.014382876,False,False
29,games5425898691,0,57.0,9.029365e-05,False,False
30,TTV_Markinho191,1,59.0,0.0048857788,False,False
31,enpitsu,0,62.0,3.1685668e-05,False,False
32,EvO_Fakto-21,1,64.0,0.5061735,True,True
33,TTV_Markinho191,1,65.0,0.0006114883,True,False
34,games5425898691,0,65.0,0.0017038,True,True
35,enpitsu,0,68.0,0.0052109375,False,False
36,EvO_Fakto-21,1,68.0,0.00040835794,False,False
37,EvO_Fakto-21,1,68.0,9.9866396e-05,False,False
38,EvO_Fakto-21,1,70.0,0.0049665677,False,False
39,games5425898691,0,70.0,0.002948155,False,False
40,TTV_Markinho191,1,74.0,0.00011891388,False,False
41,TTV_Markinho191,1,76.0,0.0013076981,False,False
42,TTV_Markinho191,1,77.0,0.0015683972,False,False
43,TTV_Markinho191,1,78.0,0.017458715,False,False
44,games5425898691,0,81.0,0.00068645854,False,False
45,TTV_Markinho191,1,84.0,5.6368935e-05,False,False
46,TTV_Markinho191,1,85.0,0.00031728245,False,False
47,enpitsu,0,87.0,0.0048905173,False,False
48,EvO_Fakto-21,1,90.0,1.5160446e-05,False,False
49,enpitsu,0,93.0,0.0013062858,False,False
50,games5425898691,0,99.0,0.033529855,False,False
51,EvO_Fakto-21,1,101.0,0.000112711365,False,False
52,EvO_Fakto-21,1,102.0,0.0006602703,False,False
53,EvO_Fakto-21,1,104.0,0.00029547894,False,False
54,enpitsu,0,104.0,0.002209216,False,False
55,EvO_Fakto-21,1,104.0,0.0015710143,False,False
56,TTV_Markinho191,1,107.0,0.00075346883,False,False
57,enpitsu,0,109.0,0.8342311,True,True
58,games5425898691,0,109.0,0.00302593,False,False
59,TTV_Markinho191,1,109.0,0.0030115773,False,False
60,enpitsu,0,112.0,0.032602344,False,False
61,TTV_Markinho191,1,117.0,7.039826e-05,False,False
62,TTV_Markinho191,1,117.0,0.00033450013,False,False
63,TTV_Markinho191,1,119.0,0.0039167562,False,False
64,TTV_Markinho191,1,119.0,0.012288824,False,False
65,TTV_Markinho191,1,119.0,0.069329694,False,False
66,TTV_Markinho191,1,120.0,0.038522996,True,False
67,TTV_Markinho191,1,120.0,0.02416697,True,False
68,games5425898691,0,121.0,5.3893007e-05,False,False
69,games5425898691,0,124.0,0.0004905917,False,False
70,games5425898691,0,126.0,0.049818277,False,False
71,games5425898691,0,129.0,0.3202889,True,True
72,EvO_Fakto-21,1,130.0,0.0004933446,False,False
73,enpitsu,0,132.0,0.036127813,False,False
74,enpitsu,0,135.0,0.16057575,False,False
75,TTV_Markinho191,1,135.0,0.0011704476,False,False
76,EvO_Fakto-21,1,138.0,0.0001506928,False,False
77,enpitsu,0,140.0,0.0019116156,False,False
78,TTV_Markinho191,1,140.0,0.0037482025,False,False
79,EvO_Fakto-21,1,144.0,0.010588228,False,False
80,EvO_Fakto-21,1,148.0,0.0004414496,False,False
81,games5425898691,0,150.0,0.0012359746,False,False
82,TTV_Markinho191,1,153.0,0.00092428824,False,False
83,EvO_Fakto-21,1,157.0,2.9340345e-05,False,False
84,EvO_Fakto-21,1,159.0,0.000267245,False,False
85,EvO_Fakto-21,1,160.0,0.00023418247,False,False
86,EvO_Fakto-21,1,160.0,0.00038168379,False,False
87,EvO_Fakto-21,1,160.0,0.00067856186,False,False
88,EvO_Fakto-21,1,161.0,0.058746032,True,False
89,games5425898691,0,162.0,0.0008114015,False,False
90,games5425898691,0,167.0,0.0023955773,False,False
91,TTV_Markinho191,1,168.0,0.05081511,False,False
92,EvO_Fakto-21,1,175.0,0.0009851721,False,False
93,games5425898691,0,177.0,0.0026068215,False,False
94,games5425898691,0,181.0,0.005628525,False,False
95,TTV_Markinho191,1,183.0,0.0011785862,False,False
96,games5425898691,0,186.0,0.031549715,False,False
97,enpitsu,0,188.0,0.00037025774,False,False
98,TTV_Markinho191,1,194.0,0.0040749167,False,False
99,enpitsu,0,194.0,0.011587653,False,False
100,TTV_Markinho191,1,194.0,0.0011669564,False,False
101,enpitsu,0,194.0,0.0104156295,False,False
102,enpitsu,0,195.0,0.00062999,False,False
103,games5425898691,0,197.0,0.0024767478,False,False
104,games5425898691,0,200.0,0.081272125,False,False
105,TTV_Markinho191,1,202.0,9.9921745e-05,False,False
106,EvO_Fakto-21,1,206.0,6.842398e-05,False,False
107,games5425898691,0,206.0,0.011054792,False,False
108,enpitsu,0,207.0,0.62891805,True,True
109,TTV_Markinho191,1,208.0,0.002020873,False,False
110,games5425898691,0,208.0,0.00019581131,False,False
111,EvO_Fakto-21,1,210.0,0.00017455664,False,False
112,EvO_Fakto-21,1,212.0,0.00060305494,False,False
113,EvO_Fakto-21,1,215.0,0.008453613,False,False
114,games5425898691,0,218.0,0.00016611954,False,False
115,TTV_Markinho191,1,222.0,0.034643333,False,False
116,enpitsu,0,225.0,0.003618715,False,False
117,enpitsu,0,228.0,0.0011688982,False,False
118,TTV_Markinho191,1,228.0,1.6393926e-05,False,False
119,enpitsu,0,230.0,0.00068796,False,False
120,games5425898691,0,234.0,0.56176305,True,False
121,TTV_Markinho191,1,237.0,0.0027376295,False,False
122,TTV_Markinho191,1,239.0,0.020038638,False,False
123,EvO_Fakto-21,1,241.0,0.13478245,True,True
124,TTV_Markinho191,1,242.0,0.0013077684,False,False
125,games5425898691,0,242.0,0.0014574712,False,False
126,TTV_Markinho191,1,242.0,0.0013123832,False,False
127,EvO_Fakto-21,1,246.0,0.28171176,True,False
128,enpitsu,0,246.0,6.740635e-05,False,False
129,enpitsu,0,249.0,0.00029048635,False,False
130,TTV_Markinho191,1,253.0,0.00032086277,False,False
131,enpitsu,0,253.0,0.0030811483,False,False
132,EvO_Fakto-21,1,256.0,0.004582387,False,False
133,games5425898691,0,259.0,5.5542347e-05,False,False
134,TTV_Markinho191,1,261.0,0.24230556,False,False
135,EvO_Fakto-21,1,264.0,0.019477222,True,False
136,enpitsu,0,266.0,9.323639e-05,False,False
137,TTV_Markinho191,1,269.0,0.002725348,False,False
138,EvO_Fakto-21,1,273.0,0.765856,True,True
139,enpitsu,0,273.0,0.0054227654,False,False
140,EvO_Fakto-21,1,273.0,0.0026569143,False,False
141,enpitsu,0,273.0,0.028920718,False,False
142,TTV_Markinho191,1,276.0,0.0013553611,True,False
143,games5425898691,0,278.0,0.000360871,False,False
144,EvO_Fakto-21,1,280.0,0.0218609,False,False
145,TTV_Markinho191,1,282.0,0.00043965178,False,False
146,enpitsu,0,282.0,0.13970116,False,False
147,TTV_Markinho191,1,286.0,1.6600208e-05,False,False
148,enpitsu,0,287.0,0.03773076,False,False
149,EvO_Fakto-21,1,290.0,0.0003838112,False,False
150,enpitsu,0,292.0,0.011688965,False,False
151,EvO_Fakto-21,1,292.0,0.008326938,False,False
152,enpitsu,0,292.0,0.023870356,False,False
153,games5425898691,0,296.0,0.00702982,False,False
154,EvO_Fakto-21,1,298.0,0.00050046394,False,False
155,enpitsu,0,298.0,0.0018703075,False,False
156,EvO_Fakto-21,1,298.0,0.0007289557,False,False
157,enpitsu,0,298.0,0.006110346,False,False
158,TTV_Markinho191,1,300.0,0.0007939617,False,False
159,enpitsu,0,300.0,0.103128485,True,False
160,enpitsu,0,300.0,0.17335345,False,False
