,shot_taker_name,is_orange,time,xg,shot,goal
0,games5425898691,0,0,0.00025646228,False,False
1,Neotos,1,0,0.0020393333,False,False
2,Neotos,1,0,0.00034566782,False,False
3,Neotos,1,0,0.0011287186,False,False
4,Nerfable,1,1,0.005953233,False,False
5,games5425898691,0,1,0.0070705614,False,False
6,games5425898691,0,4,0.26138598,False,False
7,Neotos,1,7,0.0006859753,False,False
8,Nerfable,1,8,0.00041767393,False,False
9,enpitsu,0,8,0.38178784,False,False
10,Nerfable,1,8,0.00016216574,False,False
11,Nerfable,1,14,0.15536293,True,True
12,Nerfable,1,15,0.00042502518,False,False
13,games5425898691,0,15,0.0012834833,False,False
14,games5425898691,0,18,0.004877921,False,False
15,Neotos,1,19,0.064114116,False,False
16,enpitsu,0,23,2.478147e-05,False,False
17,enpitsu,0,25,0.0011700919,False,False
18,Nerfable,1,28,0.0004651727,False,False
19,Nerfable,1,29,4.301405e-05,False,False
20,Nerfable,1,29,0.000113490685,False,False
21,Nerfable,1,30,2.7063415e-05,False,False
22,Nerfable,1,30,0.000106775,False,False
23,enpitsu,0,33,0.2595728,True,False
24,Neotos,1,33,0.0005692911,False,False
25,Neotos,1,35,0.00062493084,False,False
26,Neotos,1,36,0.06701944,False,False
27,Nerfable,1,38,0.019188689,False,False
28,games5425898691,0,44,0.002740581,False,False
29,Neotos,1,45,0.0016263044,False,False
30,enpitsu,0,48,0.0030867602,True,False
31,Nerfable,1,48,0.025050541,False,False
32,Neotos,1,51,0.6412237,False,False
33,Nerfable,1,54,9.156102e-05,False,False
34,games5425898691,0,56,0.016695065,False,False
35,games5425898691,0,60,0.22766222,False,False
36,enpitsu,0,64,0.5814306,True,False
37,Neotos,1,64,0.0006846556,False,False
38,enpitsu,0,64,0.4308762,False,False
39,Nerfable,1,67,0.0629007,True,False
40,games5425898691,0,67,0.0022201862,False,False
41,enpitsu,0,73,0.0033963397,False,False
42,enpitsu,0,79,0.028734153,False,False
43,Nerfable,1,80,7.514065e-05,False,False
44,Nerfable,1,82,0.0006516063,False,False
45,Nerfable,1,83,0.19585982,False,False
46,games5425898691,0,83,0.0010377335,False,False
47,games5425898691,0,86,0.00040582594,False,False
48,Nerfable,1,88,0.008403205,False,False
49,games5425898691,0,90,0.03561982,False,False
50,games5425898691,0,94,0.004229886,False,False
51,games5425898691,0,95,0.0017411677,False,False
52,games5425898691,0,95,0.0018749563,False,False
53,games5425898691,0,96,0.0068141506,False,False
54,enpitsu,0,101,0.0002581575,False,False
55,enpitsu,0,104,0.011335563,False,False
56,enpitsu,0,105,0.0010061495,False,False
57,enpitsu,0,106,0.0011559834,False,False
58,enpitsu,0,107,0.0016437178,False,False
59,enpitsu,0,108,0.01858208,False,False
60,Neotos,1,108,0.00085917034,False,False
61,Neotos,1,111,0.011458865,False,False
62,Nerfable,1,112,0.0017573168,False,False
63,Nerfable,1,117,9.690292e-05,False,False
64,games5425898691,0,117,0.07839351,False,False
65,Neotos,1,120,0.0005604492,False,False
66,enpitsu,0,121,0.10553301,False,False
67,Nerfable,1,123,6.059267e-05,False,False
68,Nerfable,1,124,0.0002736139,False,False
69,games5425898691,0,124,0.0029304803,False,False
70,Neotos,1,126,0.0030209725,False,False
71,enpitsu,0,129,6.65265e-05,False,False
72,Neotos,1,132,0.0033329383,False,False
73,games5425898691,0,135,0.00015175104,False,False
74,Nerfable,1,137,0.0077035534,False,False
75,enpitsu,0,140,0.0006220553,False,False
76,Neotos,1,143,0.00048900826,False,False
77,Neotos,1,146,0.00903913,False,False
78,enpitsu,0,149,0.001137287,False,False
79,enpitsu,0,152,0.011138555,False,False
80,games5425898691,0,154,0.7078857,True,True
81,Neotos,1,154,0.00075312995,False,False
82,Nerfable,1,157,0.0031842056,False,False
83,Neotos,1,163,0.0008785043,False,False
84,Neotos,1,164,0.00027473533,False,False
85,Neotos,1,166,0.0033481505,False,False
86,games5425898691,0,167,0.0019741848,False,False
87,Nerfable,1,170,0.0018385383,False,False
88,Nerfable,1,173,0.010710327,False,False
89,Nerfable,1,173,0.007091555,False,False
90,enpitsu,0,174,0.0009557232,False,False
91,enpitsu,0,178,0.00082951965,False,False
92,games5425898691,0,179,0.0067467536,False,False
93,enpitsu,0,180,0.0039954744,True,False
94,Nerfable,1,182,0.00039452204,False,False
95,Nerfable,1,185,0.0058056354,False,False
96,games5425898691,0,186,0.04036642,False,False
97,Neotos,1,189,0.0002798004,False,False
