,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,0,0.014299856,False
1,Kayet,1,7,0.7975813,True
2,enpitsu,0,7,0.0253166,False
3,Kayet,1,15,0.21617,False
4,Kayet,1,16,0.54902554,False
5,Kayet,1,16,0.55308855,True
6,Blysar,1,17,0.005947107,False
7,enpitsu,0,69,0.47059152,True
8,Kayet,1,98,0.9077368,True
9,Blysar,1,168,0.24740343,False
10,Blysar,1,168,0.6886459,False
11,games5425898691,0,195,0.20882556,False
12,Blysar,1,232,0.8555456,True
13,Kayet,1,292,0.72367513,True
14,Kayet,1,293,0.0025963106,False
