,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,games5425898691,1,0,0.12930778,True,False,178
1,Gatology,0,2,0.00381009,False,False,488
2,games5425898691,1,2,0.0028679618,False,False,489
3,Gatology,0,2,0.00072714133,False,False,493
4,enpitsu,1,4,0.024183298,False,False,554
5,Donovannn,0,6,0.0019372026,False,False,616
6,Donovannn,0,12,0.019477231,False,False,759
7,Donovannn,0,15,0.53867865,True,True,857
8,enpitsu,1,16,0.0020358146,False,False,1138
9,games5425898691,1,19,0.0028237726,False,False,1216
10,games5425898691,1,20,0.00097468577,False,False,1236
11,games5425898691,1,21,0.2820756,False,False,1268
12,Donovannn,0,23,0.002731663,False,False,1325
13,Donovannn,0,26,0.0057460223,False,False,1411
14,games5425898691,1,30,0.59461254,True,True,1506
15,Gatology,0,31,0.0032906954,False,False,1790
16,games5425898691,1,31,0.0041117216,False,False,1792
17,Gatology,0,31,0.009217427,False,False,1794
18,Donovannn,0,34,0.033316784,False,False,1890
19,Donovannn,0,37,0.055747427,False,False,1977
20,Donovannn,0,40,0.0048902277,False,False,2046
21,games5425898691,1,41,0.00025029914,False,False,2062
22,enpitsu,1,42,0.033980925,False,False,2109
23,enpitsu,1,46,0.045800388,True,False,2197
24,enpitsu,1,46,0.5082212,True,False,2204
25,Donovannn,0,46,0.0005542242,False,False,2221
26,Donovannn,0,50,0.11829253,False,False,2319
27,games5425898691,1,54,0.00046102147,False,False,2422
28,Donovannn,0,58,0.0051685744,False,False,2530
29,Donovannn,0,60,0.114225306,False,False,2591
30,games5425898691,1,65,0.0002311564,False,False,2729
31,Donovannn,0,66,0.0017685756,False,False,2770
32,Donovannn,0,67,0.013722397,False,False,2786
33,games5425898691,1,68,0.013101939,False,False,2824
34,games5425898691,1,72,0.0018927635,False,False,2926
35,Donovannn,0,74,0.0011479898,False,False,2986
36,enpitsu,1,78,0.0005651141,False,False,3086
37,enpitsu,1,81,0.012007718,False,False,3167
38,Donovannn,0,83,0.0005412277,False,False,3231
39,Donovannn,0,84,0.00043889153,False,False,3247
40,Donovannn,0,85,0.0013611303,False,False,3281
41,Donovannn,0,86,0.0030433568,False,False,3319
42,enpitsu,1,92,0.016038055,False,False,3478
43,Gatology,0,92,0.030017644,False,False,3479
44,Donovannn,0,96,0.021288961,False,False,3582
45,games5425898691,1,96,0.010755848,False,False,3586
46,Gatology,0,99,0.0003624501,False,False,3661
47,Gatology,0,102,0.0016715267,False,False,3736
48,games5425898691,1,104,0.0024735867,False,False,3806
49,Donovannn,0,107,0.04761721,False,False,3896
50,games5425898691,1,112,0.0007298924,False,False,4026
51,games5425898691,1,114,0.0017848313,False,False,4078
52,games5425898691,1,116,0.009982119,False,False,4133
53,games5425898691,1,120,0.022767631,False,False,4229
54,enpitsu,1,122,0.81148595,True,True,4297
55,Donovannn,0,122,0.0029805566,False,False,4559
56,enpitsu,1,122,0.0032057073,False,False,4560
57,games5425898691,1,130,0.005324088,False,False,4765
58,Donovannn,0,130,0.17267255,False,False,4766
59,Gatology,0,135,0.009326661,False,False,4898
60,games5425898691,1,137,0.07498714,False,False,4954
61,Donovannn,0,140,0.00017115586,False,False,5037
62,Donovannn,0,141,0.017267488,False,False,5080
63,Donovannn,0,144,0.0075685396,False,False,5147
64,Donovannn,0,144,0.005696222,False,False,5159
65,Donovannn,0,145,0.0024572334,False,False,5178
66,Donovannn,0,147,0.0044771107,False,False,5226
67,games5425898691,1,150,0.21754998,False,False,5329
68,Donovannn,0,150,0.0035374775,False,False,5330
69,Donovannn,0,153,0.0001943056,False,False,5392
70,Gatology,0,156,8.9749235e-05,False,False,5486
71,Donovannn,0,158,0.0039021128,False,False,5524
72,Donovannn,0,160,0.004244883,False,False,5585
73,Donovannn,0,160,0.17518365,False,False,5600
74,games5425898691,1,162,0.0008545267,False,False,5640
75,games5425898691,1,165,0.009082758,False,False,5739
76,Donovannn,0,169,0.0016456242,False,False,5847
77,enpitsu,1,172,0.020012412,False,False,5912
78,Donovannn,0,173,0.0002511535,False,False,5939
79,enpitsu,1,173,0.0017052337,False,False,5956
80,Gatology,0,174,0.0033516558,False,False,5990
81,enpitsu,1,175,0.2750624,False,False,5992
82,Gatology,0,175,0.0051150783,False,False,5993
83,Gatology,0,177,0.033510223,False,False,6065
84,enpitsu,1,181,0.0001663827,False,False,6182
85,enpitsu,1,183,0.024689129,False,False,6232
86,Donovannn,0,183,0.034188684,False,False,6234
87,enpitsu,1,183,0.004728044,False,False,6235
88,Gatology,0,187,0.000110906156,False,False,6334
89,games5425898691,1,193,0.15866165,False,False,6493
90,Donovannn,0,193,0.14197926,False,False,6494
91,games5425898691,1,202,0.078066394,True,False,6743
92,Donovannn,0,203,0.0004045328,False,False,6778
93,Donovannn,0,206,0.006380341,False,False,6850
94,enpitsu,1,208,0.0026620303,False,False,6920
95,Donovannn,0,214,0.05601239,False,False,7080
96,Gatology,0,218,0.24355797,False,False,7181
97,games5425898691,1,218,0.00097185845,False,False,7184
98,enpitsu,1,221,0.014236666,False,False,7276
99,games5425898691,1,223,0.09378676,False,False,7324
100,Donovannn,0,223,0.200219,False,False,7328
101,games5425898691,1,227,0.36949003,False,False,7438
102,Donovannn,0,231,0.0669076,False,False,7551
103,games5425898691,1,236,0.0005995639,False,False,7667
104,enpitsu,1,238,0.005558577,False,False,7731
105,games5425898691,1,240,0.15665804,False,False,7787
106,games5425898691,1,243,0.33958194,True,True,7866
