,shot_taker_name,is_orange,time,xg,shot,goal
0,S1lva,1,0,0.0003494876,False,False
1,enpitsu,0,0,0.003970018,False,False
2,games5425898691,0,6,0.0039323936,False,False
3,brunozzzZ_,1,10,0.0002467574,False,False
4,enpitsu,0,14,0.049056854,True,False
5,S1lva,1,16,0.00013381791,False,False
6,games5425898691,0,21,0.0016675799,False,False
7,brunozzzZ_,1,22,0.004093729,False,False
8,brunozzzZ_,1,22,0.00021201429,False,False
9,enpitsu,0,23,0.67111176,False,False
10,S1lva,1,29,0.015954264,True,False
11,games5425898691,0,30,0.00038482348,False,False
12,S1lva,1,30,0.16533898,False,False
13,enpitsu,0,33,0.001632576,False,False
14,enpitsu,0,36,0.0011991685,False,False
15,enpitsu,0,39,0.13948871,False,False
16,brunozzzZ_,1,39,0.00034132824,False,False
17,S1lva,1,43,0.00019473626,False,False
18,games5425898691,0,45,0.0067273113,False,False
19,brunozzzZ_,1,45,0.0002717434,False,False
20,games5425898691,0,45,0.0017541919,False,False
21,S1lva,1,47,0.0004918278,False,False
22,S1lva,1,48,0.00039154652,False,False
23,S1lva,1,49,0.07090864,False,False
24,brunozzzZ_,1,50,0.0067402245,False,False
25,brunozzzZ_,1,54,0.0057986956,False,False
26,games5425898691,0,57,0.0030420434,False,False
27,brunozzzZ_,1,61,0.007053358,False,False
28,enpitsu,0,63,0.003276933,False,False
29,enpitsu,0,65,0.015011504,False,False
30,S1lva,1,66,0.00017841994,False,False
31,brunozzzZ_,1,69,0.0003627555,False,False
32,brunozzzZ_,1,71,0.0036669264,False,False
33,enpitsu,0,72,0.00037597926,False,False
34,brunozzzZ_,1,73,8.8610715e-05,False,False
35,brunozzzZ_,1,76,0.00028920526,False,False
36,brunozzzZ_,1,77,0.00035980728,False,False
37,games5425898691,0,77,0.00070131104,False,False
38,games5425898691,0,82,0.24390565,False,True
39,games5425898691,0,83,0.001523576,True,False
40,S1lva,1,84,0.0019204903,False,False
41,brunozzzZ_,1,87,0.11979624,True,True
42,brunozzzZ_,1,88,0.0008080832,False,False
43,games5425898691,0,88,0.004946061,False,False
44,enpitsu,0,91,0.00014784015,False,False
45,S1lva,1,94,0.0024171188,True,False
46,enpitsu,0,99,4.4764198e-05,False,False
47,enpitsu,0,101,0.00010546909,False,False
48,brunozzzZ_,1,102,0.00732507,False,False
49,brunozzzZ_,1,104,0.016039312,False,False
50,enpitsu,0,104,0.00010485447,False,False
51,games5425898691,0,106,0.00016759457,False,False
52,S1lva,1,109,0.009742736,False,False
53,enpitsu,0,112,0.04661021,False,False
54,brunozzzZ_,1,114,0.00014013815,False,False
55,brunozzzZ_,1,118,0.00051360804,False,False
56,brunozzzZ_,1,119,0.10160677,False,False
57,brunozzzZ_,1,122,0.26525652,True,False
58,games5425898691,0,123,0.0016670901,False,False
59,enpitsu,0,125,0.062195245,False,True
60,S1lva,1,129,0.006529353,False,False
61,brunozzzZ_,1,132,0.000513799,False,False
62,enpitsu,0,132,0.006410445,False,False
63,brunozzzZ_,1,132,0.0002501467,False,False
64,S1lva,1,134,9.750495e-05,False,False
65,S1lva,1,136,0.06333328,False,False
66,games5425898691,0,136,0.0650553,False,False
67,brunozzzZ_,1,140,0.0057486487,False,False
68,brunozzzZ_,1,146,0.0017260219,False,False
69,games5425898691,0,147,4.6451845e-05,False,False
70,games5425898691,0,150,0.10691091,False,False
71,games5425898691,0,154,0.3661114,True,True
72,brunozzzZ_,1,154,0.0006699415,False,False
73,games5425898691,0,154,0.005081049,False,False
74,S1lva,1,156,0.008570935,False,False
75,enpitsu,0,158,0.13442008,False,True
76,S1lva,1,162,0.00034853944,False,False
77,enpitsu,0,162,0.0006406478,False,False
78,enpitsu,0,165,0.00046966525,False,False
79,brunozzzZ_,1,167,0.006877714,False,False
80,brunozzzZ_,1,168,0.00033028022,False,False
81,brunozzzZ_,1,168,0.000317088,False,False
82,brunozzzZ_,1,170,0.0011817551,False,False
83,enpitsu,0,172,0.0044347546,False,False
84,S1lva,1,172,0.087019034,False,False
85,brunozzzZ_,1,178,0.015238077,False,False
86,enpitsu,0,180,0.0002865455,False,False
87,enpitsu,0,182,0.00010619124,False,False
88,S1lva,1,183,0.002980748,False,False
89,S1lva,1,186,0.024318121,False,False
90,brunozzzZ_,1,188,0.0068362853,False,False
91,brunozzzZ_,1,189,0.016431006,False,False
92,enpitsu,0,189,0.00029420952,False,False
93,games5425898691,0,193,0.17099579,False,False
94,brunozzzZ_,1,197,0.008151867,False,False
95,enpitsu,0,198,0.0014325789,False,False
96,enpitsu,0,201,0.00075370754,False,False
97,S1lva,1,204,2.6061458e-05,False,False
98,S1lva,1,205,0.005061098,False,False
99,enpitsu,0,205,0.00046790863,False,False
100,brunozzzZ_,1,207,0.028158272,True,False
101,games5425898691,0,208,5.5084125e-05,False,False
102,S1lva,1,212,0.0035279782,False,False
103,enpitsu,0,214,0.0019447358,False,False
104,S1lva,1,216,0.00031997383,False,False
105,enpitsu,0,216,0.024001876,False,False
106,enpitsu,0,222,0.12072332,False,False
107,S1lva,1,224,0.28396285,False,False
108,games5425898691,0,226,0.0001921925,False,False
109,games5425898691,0,230,0.0001399165,False,False
110,S1lva,1,232,0.16639908,False,False
111,enpitsu,0,233,0.0001967011,False,False
112,brunozzzZ_,1,234,0.003065082,False,False
113,games5425898691,0,234,0.002207502,False,True
114,brunozzzZ_,1,234,0.0005693028,False,False
115,S1lva,1,237,0.0001113713,False,False
116,S1lva,1,244,0.00011421165,False,False
