,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,0,15.0,0.52016085,True
1,enpitsu,0,33.0,0.957583,True
2,games5425898691,0,43.0,0.24229361,True
3,enpitsu,0,60.0,0.7534433,False
4,games5425898691,0,64.0,0.5343714,False
5,iCrazyBad,1,78.0,0.009688006,False
6,enpitsu,0,87.0,0.83343834,False
7,iCrazyBad,1,94.0,0.73049873,True
8,iCrazyBad,1,165.0,0.33012295,True
9,KING_KIA7,1,179.0,0.12512329,False
10,KING_KIA7,1,179.0,0.3768345,False
11,KING_KIA7,1,180.0,0.42085838,False
12,games5425898691,0,186.0,0.14010753,False
13,games5425898691,0,187.0,0.40419337,True
14,games5425898691,0,194.0,0.689206,False
15,KING_KIA7,1,214.0,0.5671203,False
16,iCrazyBad,1,252.0,0.3148171,True
17,enpitsu,0,270.0,0.28367186,False
18,KING_KIA7,1,298.0,0.001289432,False
19,iCrazyBad,1,,0.2815098,False
20,KING_KIA7,1,,0.6602392,False
