,shot_taker_name,is_orange,time,xg,shot,goal
0,Paul_lechtape,0,0,0.0011068617,False,False
1,enpitsu,1,0,0.008910057,False,False
2,ksadm5,0,4,0.0001311218,False,False
3,games5425898691,1,6,0.047495253,False,False
4,Paul_lechtape,0,7,0.0003002091,False,False
5,ksadm5,0,9,0.0004689774,False,False
6,games5425898691,1,11,0.00065493473,False,False
7,games5425898691,1,12,0.00261371,False,False
8,Paul_lechtape,0,14,0.0035540909,False,False
9,Paul_lechtape,0,17,0.209157,True,True
10,games5425898691,1,18,0.00010105648,False,False
11,games5425898691,1,19,0.00022343255,False,False
12,ksadm5,0,19,0.0018778882,True,False
13,games5425898691,1,19,0.0022574498,False,False
14,ksadm5,0,19,0.00050455664,False,False
15,games5425898691,1,19,0.00013771844,False,False
16,games5425898691,1,21,0.0011411998,False,False
17,ksadm5,0,21,0.0036550714,False,False
18,games5425898691,1,21,0.0005989844,False,False
19,enpitsu,1,25,0.31273723,False,False
20,games5425898691,1,28,0.34546942,True,True
21,Paul_lechtape,0,28,0.0013611666,True,False
22,enpitsu,1,28,0.015914917,True,False
23,ksadm5,0,35,0.00032563697,False,False
24,games5425898691,1,36,0.0034339416,False,False
25,Paul_lechtape,0,39,0.0005602498,False,False
26,ksadm5,0,41,0.008000042,False,False
27,Paul_lechtape,0,44,0.11325926,True,False
28,games5425898691,1,45,4.5464676e-05,False,False
29,enpitsu,1,48,0.0061368444,False,False
30,enpitsu,1,50,0.0032478124,False,False
31,games5425898691,1,53,0.04966428,True,False
32,Paul_lechtape,0,53,0.079310164,False,False
33,games5425898691,1,61,0.0049483287,False,False
34,games5425898691,1,62,0.002636858,False,False
35,games5425898691,1,63,0.019646566,False,False
36,ksadm5,0,63,0.00039839742,False,False
37,enpitsu,1,65,0.01578651,False,False
38,Paul_lechtape,0,67,0.048503615,False,False
39,games5425898691,1,70,0.00023902641,False,False
40,ksadm5,0,72,0.0034007647,False,False
41,games5425898691,1,73,0.00053125113,False,False
42,ksadm5,0,74,0.0014372851,False,False
43,games5425898691,1,76,0.00023020824,False,False
44,Paul_lechtape,0,78,0.010056982,False,False
45,enpitsu,1,78,0.002601517,False,False
46,ksadm5,0,85,8.195284e-05,False,False
47,ksadm5,0,86,0.0014475597,False,False
48,games5425898691,1,88,0.004083948,False,False
49,games5425898691,1,93,0.113087155,False,False
50,Paul_lechtape,0,96,0.0008751545,False,False
51,Paul_lechtape,0,98,0.0012024381,False,False
52,Paul_lechtape,0,98,0.0012413865,False,False
53,ksadm5,0,100,0.00020481856,False,False
54,ksadm5,0,104,0.00052870385,False,False
55,games5425898691,1,105,0.0036493626,False,False
56,games5425898691,1,106,0.002288819,False,False
57,games5425898691,1,107,0.002113334,False,False
58,games5425898691,1,107,0.03872654,False,False
59,Paul_lechtape,0,108,0.013850298,False,False
60,enpitsu,1,109,0.00078268815,False,False
61,games5425898691,1,113,0.00016109248,False,False
62,enpitsu,1,114,0.0011046208,False,False
63,Paul_lechtape,0,117,0.010648276,False,False
64,Paul_lechtape,0,122,0.39285016,False,False
65,games5425898691,1,122,0.0076555437,False,False
66,games5425898691,1,129,0.0047111576,False,False
67,games5425898691,1,134,0.06384747,False,False
68,ksadm5,0,140,0.03034653,False,False
69,enpitsu,1,142,0.0040258477,False,False
70,enpitsu,1,145,0.16885307,False,False
71,Paul_lechtape,0,147,0.000393311,False,False
72,games5425898691,1,151,0.13474163,True,True
73,ksadm5,0,153,0.0031738759,False,False
74,games5425898691,1,153,0.0027111794,False,False
75,Paul_lechtape,0,157,0.0011989389,False,False
76,Paul_lechtape,0,159,0.00087457645,False,False
77,Paul_lechtape,0,160,0.0013901262,False,False
78,Paul_lechtape,0,161,0.0011166922,False,False
79,Paul_lechtape,0,161,0.0041682348,False,False
80,Paul_lechtape,0,161,0.0040372894,False,False
81,Paul_lechtape,0,162,0.015816914,False,False
82,Paul_lechtape,0,163,0.2652502,True,False
83,games5425898691,1,164,0.00013531443,False,False
84,Paul_lechtape,0,167,0.0136827845,False,False
85,Paul_lechtape,0,175,0.0005271683,False,False
86,Paul_lechtape,0,175,0.00026665223,False,False
87,Paul_lechtape,0,177,6.72545e-05,False,False
88,Paul_lechtape,0,179,0.0005513114,False,False
89,enpitsu,1,179,0.072981626,False,False
90,games5425898691,1,182,0.0013362329,False,True
91,ksadm5,0,185,0.0022736164,False,False
92,games5425898691,1,185,0.00058175833,False,False
93,Paul_lechtape,0,190,0.0050615156,False,False
94,games5425898691,1,193,0.00030652876,False,False
95,games5425898691,1,197,0.0015305586,False,False
96,games5425898691,1,200,0.00462278,False,False
97,games5425898691,1,200,0.007998948,False,False
98,games5425898691,1,201,0.0007013578,False,False
99,games5425898691,1,201,0.0013352119,False,False
100,games5425898691,1,201,0.0007646392,False,False
101,games5425898691,1,202,0.0019804998,False,False
102,games5425898691,1,203,0.004993861,False,False
103,enpitsu,1,207,0.18039949,False,False
104,enpitsu,1,213,0.23660621,True,True
105,enpitsu,1,215,0.015852755,True,False
106,ksadm5,0,216,0.00384044,False,False
107,games5425898691,1,219,0.010401906,False,False
108,games5425898691,1,222,0.5167432,True,True
109,games5425898691,1,222,0.0034225478,False,False
110,ksadm5,0,222,0.0028341154,False,False
111,enpitsu,1,224,0.025304943,True,True
