,shot_taker_name,is_orange,time,xg,goal
0,enpitsu,1,8,0.39830768,False
1,games5425898691,1,40,0.8594429,False
2,games5425898691,1,41,0.6698596,False
3,PATESVALEURSÛR,0,53,0.534731,True
4,PATESVALEURSÛR,0,75,0.36853343,False
5,games5425898691,1,92,0.48919868,False
6,games5425898691,1,119,0.61452806,True
7,enpitsu,1,166,0.17709894,True
8,mdpro8,0,189,0.14886153,False
9,PATESVALEURSÛR,0,227,0.033495374,False
10,mdpro8,0,240,0.47838527,False
11,PATESVALEURSÛR,0,249,0.127365,False
12,PATESVALEURSÛR,0,261,0.04255247,False
13,PATESVALEURSÛR,0,261,0.060122613,False
14,PATESVALEURSÛR,0,262,0.49765235,True
15,enpitsu,1,262,0.004178768,False
16,mdpro8,0,301,0.0041350443,False
17,enpitsu,1,304,0.25508678,False
18,PATESVALEURSÛR,0,430,0.4954317,True
