,shot_taker_name,is_orange,time,xg,shot,goal
0,fosors,1,0,0.0014684637,False,False
1,games5425898691,0,0,0.014142804,False,False
2,Charles De Gaulle,1,4,0.00027207288,False,False
3,games5425898691,0,7,0.00021457406,False,False
4,Charles De Gaulle,1,7,0.0048708534,False,False
5,enpitsu,0,9,5.1230483e-05,False,False
6,enpitsu,0,13,0.0065978426,False,False
7,fosors,1,15,0.010442351,False,False
8,enpitsu,0,21,0.015315542,False,False
9,games5425898691,0,23,0.045730524,False,False
10,enpitsu,0,25,0.7738117,True,True
11,Charles De Gaulle,1,27,0.001194359,False,False
12,enpitsu,0,27,0.028635457,False,False
13,enpitsu,0,33,0.005276564,False,False
14,games5425898691,0,35,0.008704778,False,False
15,Charles De Gaulle,1,39,5.9639668e-05,False,False
16,Charles De Gaulle,1,40,0.00054764654,False,False
17,Charles De Gaulle,1,42,0.014253078,False,False
18,games5425898691,0,42,0.038948067,False,False
19,fosors,1,51,0.0008071621,False,False
20,fosors,1,51,0.0096579585,False,False
21,enpitsu,0,54,0.75491077,True,False
22,Charles De Gaulle,1,56,0.006073445,False,False
23,games5425898691,0,61,0.021648837,False,False
24,fosors,1,63,0.009524789,False,False
25,fosors,1,67,0.081804946,False,False
26,games5425898691,0,69,0.00075054314,False,False
27,Charles De Gaulle,1,71,0.0031784156,False,False
28,enpitsu,0,75,0.0076784976,False,False
29,fosors,1,78,0.0001111023,False,False
30,fosors,1,80,0.0025651995,False,False
31,Charles De Gaulle,1,83,9.3084745e-05,False,False
32,Charles De Gaulle,1,85,0.013551544,False,False
33,Charles De Gaulle,1,87,0.0056772763,False,False
34,enpitsu,0,87,0.011678234,False,False
35,Charles De Gaulle,1,87,0.0027302708,False,False
36,fosors,1,93,0.00021594384,False,False
37,fosors,1,94,0.00040883335,False,False
38,fosors,1,94,0.00037372383,False,False
39,games5425898691,0,94,0.10139499,False,False
40,enpitsu,0,99,0.09725823,False,False
41,Charles De Gaulle,1,103,0.004526674,False,False
