,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,0,0,0.004056651,False,False,170
1,Sayrox-尺ㄖㄩᎶ乇,1,3,0.00013259272,False,False,278
2,Myxow,1,6,0.00010983696,False,False,348
3,Myxow,1,8,0.0003222896,False,False,414
4,Myxow,1,9,0.00034419302,False,False,433
5,Myxow,1,10,0.0007527045,False,False,446
6,Myxow,1,10,0.00039029156,False,False,453
7,Myxow,1,10,0.003688559,False,False,470
8,Myxow,1,14,0.00070990477,False,False,579
9,games5425898691,0,19,0.0003895764,False,False,713
10,games5425898691,0,20,0.0009933544,False,False,739
11,Sayrox-尺ㄖㄩᎶ乇,1,21,0.023787169,False,False,746
12,Sayrox-尺ㄖㄩᎶ乇,1,23,0.0038363612,False,False,825
13,games5425898691,0,25,0.00038435234,False,False,869
14,Myxow,1,31,0.005547178,False,False,1042
15,enpitsu,0,35,0.0004512461,False,False,1139
16,enpitsu,0,38,0.0010063752,False,False,1222
17,Myxow,1,42,0.0003110473,False,False,1323
18,Myxow,1,45,0.0014189888,False,False,1420
19,Myxow,1,48,0.12839016,True,True,1501
20,Myxow,1,49,0.00029911118,False,False,1790
21,enpitsu,0,49,0.00017483666,False,False,1791
22,Myxow,1,49,0.0006229791,False,False,1792
23,Sayrox-尺ㄖㄩᎶ乇,1,51,0.0024142473,False,False,1824
24,Sayrox-尺ㄖㄩᎶ乇,1,52,0.04048289,True,False,1862
25,Sayrox-尺ㄖㄩᎶ乇,1,53,0.43581522,True,True,1877
26,Myxow,1,53,0.0037795282,False,False,2157
27,Sayrox-尺ㄖㄩᎶ乇,1,56,0.0015863541,False,False,2241
28,games5425898691,0,59,0.00025012714,False,False,2310
29,games5425898691,0,63,0.12997568,True,True,2435
30,Sayrox-尺ㄖㄩᎶ乇,1,66,0.006069414,False,False,2748
31,enpitsu,0,71,0.00017348143,False,False,2893
32,Myxow,1,72,0.0008774398,False,False,2938
33,Sayrox-尺ㄖㄩᎶ乇,1,74,0.4377477,True,True,2977
34,Sayrox-尺ㄖㄩᎶ乇,1,75,0.0013575623,False,False,3251
35,Myxow,1,78,0.0025490907,False,False,3353
36,Myxow,1,79,0.011799979,False,False,3371
37,games5425898691,0,82,0.008397188,False,False,3441
38,Sayrox-尺ㄖㄩᎶ乇,1,84,0.059009876,False,False,3506
39,Sayrox-尺ㄖㄩᎶ乇,1,88,0.0006247027,False,False,3621
40,games5425898691,0,94,0.0007327927,False,False,3786
41,Sayrox-尺ㄖㄩᎶ乇,1,99,0.010753961,False,False,3918
42,Sayrox-尺ㄖㄩᎶ乇,1,101,0.66008997,True,True,3977
43,enpitsu,0,102,0.0013814291,False,False,4247
44,Sayrox-尺ㄖㄩᎶ乇,1,106,0.0036779586,False,False,4356
45,Sayrox-尺ㄖㄩᎶ乇,1,109,0.0073228134,True,False,4433
46,enpitsu,0,110,0.00033593763,False,False,4473
47,games5425898691,0,113,0.0011883922,False,False,4549
48,games5425898691,0,115,0.0060762092,False,False,4622
49,games5425898691,0,116,0.024104834,False,False,4643
50,games5425898691,0,117,0.4225099,False,False,4654
51,games5425898691,0,120,0.6758768,True,True,4753
52,enpitsu,0,121,0.0044099293,False,False,5024
53,Myxow,1,121,0.006751414,False,False,5029
54,Sayrox-尺ㄖㄩᎶ乇,1,125,0.028891696,True,False,5126
55,games5425898691,0,127,0.0017801921,False,False,5182
56,Myxow,1,130,0.0024896848,False,False,5261
