,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0.0,0.011536113,False,False,169
1,enpitsu,1,0.0,0.006149238,False,False,184
2,Van1exx,0,1.0,0.0013651983,False,False,211
3,games5425898691,1,4.0,0.012429696,False,False,282
4,games5425898691,1,7.0,0.69303167,True,False,370
5,Van1exx,0,10.0,0.11329233,False,False,449
6,Van1exx,0,14.0,0.0021404058,False,False,559
7,JAGROJAS007,0,16.0,0.81838846,True,True,624
8,JAGROJAS007,0,16.0,0.0036132536,True,False,890
9,games5425898691,1,17.0,0.008192516,False,False,891
10,JAGROJAS007,0,17.0,0.005459593,False,False,892
11,games5425898691,1,17.0,0.0044471486,False,True,893
12,Van1exx,0,22.0,0.0004350396,False,False,1030
13,JAGROJAS007,0,22.0,0.002779883,False,False,1289
14,enpitsu,1,27.0,0.00054421584,False,False,1441
15,Van1exx,0,29.0,0.0027155795,False,False,1484
16,games5425898691,1,32.0,0.00048612565,False,False,1560
17,Van1exx,0,34.0,0.0036175891,False,False,1608
18,Van1exx,0,37.0,0.062243845,False,False,1698
19,JAGROJAS007,0,40.0,0.0023537928,False,False,1786
20,games5425898691,1,43.0,0.00035895864,False,False,1865
21,enpitsu,1,45.0,0.0018879573,False,False,1911
22,JAGROJAS007,0,47.0,0.016551213,False,False,1986
23,Van1exx,0,50.0,0.40894672,True,False,2073
24,JAGROJAS007,0,51.0,0.5329716,True,False,2087
25,games5425898691,1,51.0,0.0007621359,False,False,2088
26,enpitsu,1,52.0,0.0002932101,False,False,2108
27,games5425898691,1,54.0,0.26153257,False,False,2172
28,Van1exx,0,57.0,0.0001219781,False,False,2239
29,games5425898691,1,59.0,0.008099704,False,False,2314
30,enpitsu,1,62.0,0.04180084,False,False,2403
31,enpitsu,1,64.0,0.12599382,False,False,2450
32,Van1exx,0,67.0,0.0103306975,False,False,2536
33,Van1exx,0,69.0,0.01709924,False,False,2569
34,Van1exx,0,69.0,0.13838837,False,False,2590
35,Van1exx,0,70.0,0.6616554,False,False,2614
