,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,2,0.08500368,False
1,enpitsu,1,7,0.3434698,False
2,alvaromp192,0,66,0.84127915,True
3,games5425898691,1,66,0.015184314,False
4,alvaromp192,0,86,0.08257872,True
5,games5425898691,1,109,0.057175823,False
6,games5425898691,1,112,0.80938214,True
7,franlg24,0,163,0.1381101,False
8,franlg24,0,163,0.06704333,False
9,franlg24,0,164,0.2196132,False
10,franlg24,0,164,0.3833756,False
11,franlg24,0,164,0.83104664,True
12,enpitsu,1,178,0.5212821,False
13,franlg24,0,192,0.4847055,True
14,enpitsu,1,268,0.30035213,False
