,shot_taker_name,is_orange,time,xg,goal
0,Deepblacknight0,0,15,0.40012553,True
1,White General,0,17,0.013481645,False
2,games5425898691,1,32,0.15322532,False
3,games5425898691,1,48,0.7771553,True
4,Deepblacknight0,0,69,0.275122,False
5,enpitsu,1,81,0.66906214,True
6,Deepblacknight0,0,98,0.28606498,False
7,games5425898691,1,132,0.30492172,True
8,White General,0,133,0.0055124126,False
9,games5425898691,1,140,0.3504866,False
10,enpitsu,1,171,0.14902748,False
11,Deepblacknight0,0,188,0.48161367,True
12,White General,0,226,0.6156545,True
13,White General,0,227,0.0098817265,False
14,White General,0,238,0.51080394,True
15,White General,0,254,0.77611125,True
16,Deepblacknight0,0,258,0.08797133,False
