,shot_taker_name,is_orange,time,xg,shot,goal
0,games5425898691,0,0,0.015405019,True,False
1,ByDbrap_,1,0,0.00048240233,False,False
2,enpitsu,0,1,0.039620273,True,False
3,BySharlex25,1,4,0.00090736814,False,False
4,enpitsu,0,7,0.015376167,False,False
5,BySharlex25,1,9,0.0033476462,False,False
6,BySharlex25,1,12,0.00557943,False,False
7,BySharlex25,1,13,0.00507796,False,False
8,enpitsu,0,16,0.055017818,False,False
9,ByDbrap_,1,17,0.00048706442,False,False
10,ByDbrap_,1,20,0.0013002905,False,False
11,ByDbrap_,1,22,0.00018084797,False,False
12,BySharlex25,1,25,0.0013280369,False,False
13,BySharlex25,1,26,0.23566307,True,True
14,BySharlex25,1,29,0.0016054759,True,False
15,games5425898691,0,29,0.0133278435,False,False
16,games5425898691,0,33,0.0022758,False,False
17,games5425898691,0,39,0.0076703266,False,False
18,BySharlex25,1,42,0.0005883143,False,False
19,BySharlex25,1,44,0.0074871513,False,False
20,BySharlex25,1,47,0.011915656,True,False
21,BySharlex25,1,48,0.47685403,True,False
22,games5425898691,0,48,0.002998289,False,False
23,ByDbrap_,1,51,0.07548748,True,False
24,games5425898691,0,51,0.01586825,False,False
25,enpitsu,0,55,0.011550449,False,False
26,BySharlex25,1,57,0.0006726233,False,False
27,ByDbrap_,1,62,0.034075588,False,False
28,games5425898691,0,64,8.585259e-05,False,False
29,games5425898691,0,68,0.005859333,False,False
30,games5425898691,0,70,0.0037546484,False,False
31,games5425898691,0,71,0.0049676234,False,False
32,ByDbrap_,1,71,0.00086114637,False,False
33,ByDbrap_,1,75,0.008222764,False,False
34,ByDbrap_,1,77,0.032407843,True,True
35,ByDbrap_,1,79,0.00061601115,False,False
36,games5425898691,0,83,0.01955889,True,True
37,BySharlex25,1,85,0.0031815853,False,False
38,games5425898691,0,86,0.012442269,False,False
39,BySharlex25,1,92,0.0003247091,False,False
40,BySharlex25,1,94,0.00012307729,False,False
41,BySharlex25,1,94,0.00023328929,False,False
42,BySharlex25,1,95,0.00010414935,False,False
43,BySharlex25,1,97,0.004762085,False,False
44,BySharlex25,1,99,0.19855984,False,False
45,BySharlex25,1,101,0.55871683,True,True
46,enpitsu,0,102,0.0049447846,False,False
47,ByDbrap_,1,102,0.00032698584,False,False
48,ByDbrap_,1,104,0.008246746,False,False
49,ByDbrap_,1,106,0.0140835885,False,False
50,ByDbrap_,1,106,0.03340531,False,False
51,ByDbrap_,1,107,0.051917356,False,False
52,ByDbrap_,1,107,0.0027619319,False,False
53,ByDbrap_,1,111,0.013445909,False,False
54,enpitsu,0,111,0.0009103531,False,False
55,ByDbrap_,1,111,0.0089588445,False,False
56,BySharlex25,1,115,0.09448831,False,False
57,BySharlex25,1,116,0.0053326404,False,False
58,ByDbrap_,1,119,0.7654689,True,True
59,games5425898691,0,119,0.0018124881,False,False
60,ByDbrap_,1,119,0.0016490308,False,False
61,enpitsu,0,122,0.005160115,False,False
62,BySharlex25,1,124,0.00046817565,False,False
63,BySharlex25,1,127,0.0006136748,False,False
64,BySharlex25,1,128,0.0015505606,False,False
65,BySharlex25,1,131,0.002321988,False,False
66,BySharlex25,1,132,0.01164802,False,False
67,BySharlex25,1,133,0.006601982,False,False
68,BySharlex25,1,133,0.108895116,True,False
69,enpitsu,0,134,0.0008248023,False,False
70,BySharlex25,1,134,0.08320515,False,False
71,enpitsu,0,134,0.00037369513,False,False
72,games5425898691,0,138,0.04564759,True,False
73,BySharlex25,1,144,0.0022950429,False,False
74,ByDbrap_,1,148,0.01721535,False,False
75,ByDbrap_,1,149,0.01085286,False,False
76,ByDbrap_,1,149,0.060289737,True,False
77,BySharlex25,1,151,0.18591687,False,False
78,games5425898691,0,154,0.0022160965,False,False
79,games5425898691,0,156,0.043485526,False,False
80,BySharlex25,1,158,0.016549755,False,False
