,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,6.0,0.011230398,False
1,KyYomi,1,13.0,0.018513571,True
2,KyYomi,1,15.0,0.002364415,False
3,enpitsu,0,34.0,0.014248099,False
4,enpitsu,0,39.0,0.84527034,True
5,games5425898691,0,85.0,0.077266045,True
6,KyYomi,1,146.0,0.89879286,True
7,KyYomi,1,171.0,0.0631368,False
8,KyYomi,1,172.0,0.3071053,False
9,KyYomi,1,172.0,0.34991178,False
10,KyYomi,1,173.0,0.85227275,True
11,KyYomi,1,184.0,0.70758873,False
12,KyYomi,1,237.0,0.07040747,False
13,KyYomi,1,237.0,0.74054056,True
14,games5425898691,0,243.0,0.2723141,False
15,enpitsu,0,298.0,0.6846175,False
