,shot_taker_name,is_orange,time,xg,goal
0,Annabelle,1,0,0.0042806915,False
1,khaledali0907,1,84,0.009614963,False
2,khaledali0907,1,127,0.197521,False
3,khaledali0907,1,128,0.13391124,False
4,khaledali0907,1,128,0.0800295,False
5,games5425898691,0,135,0.82180166,True
6,Annabelle,1,137,0.13669592,False
7,Annabelle,1,151,0.22806187,True
8,Annabelle,1,152,0.007925908,False
9,games5425898691,0,160,0.44571957,True
10,Annabelle,1,172,0.13457786,False
11,khaledali0907,1,192,0.27979866,False
12,enpitsu,0,201,0.36180785,True
13,Annabelle,1,257,0.25893012,False
14,enpitsu,0,290,0.080638535,True
