,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,NoobSlayer.2013,1,0.0,0.0027847465,False,False,167
1,enpitsu,0,0.0,0.0040623727,False,False,170
2,Stefnir97,1,2.0,0.019866146,False,True,248
3,games5425898691,0,4.0,0.00018284612,False,False,290
4,games5425898691,0,5.0,0.00020604001,False,False,329
5,games5425898691,0,6.0,0.009270881,False,False,346
6,games5425898691,0,9.0,0.40524814,True,False,416
7,NoobSlayer.2013,1,13.0,0.002296857,False,False,800
8,enpitsu,0,19.0,4.318124e-05,False,False,956
9,enpitsu,0,20.0,0.0011420954,False,False,995
10,NoobSlayer.2013,1,20.0,0.008860553,False,False,998
11,games5425898691,0,23.0,0.0015844279,False,False,1074
12,NoobSlayer.2013,1,26.0,0.0021358582,False,False,1148
13,games5425898691,0,28.0,0.00014232121,False,False,1197
14,games5425898691,0,28.0,8.934465e-05,False,False,1212
15,NoobSlayer.2013,1,30.0,0.0048303474,False,False,1253
16,NoobSlayer.2013,1,31.0,0.0015501936,False,False,1302
17,Stefnir97,1,33.0,0.00025985276,False,False,1359
18,NoobSlayer.2013,1,36.0,0.00029884637,False,False,1419
19,NoobSlayer.2013,1,37.0,0.00054469093,False,False,1466
20,NoobSlayer.2013,1,39.0,0.0018718418,False,False,1502
21,games5425898691,0,39.0,0.00013263748,False,False,1504
22,games5425898691,0,41.0,0.00078278093,False,False,1569
23,enpitsu,0,41.0,0.016687652,False,False,1573
24,NoobSlayer.2013,1,44.0,0.011577876,False,False,1661
25,NoobSlayer.2013,1,49.0,0.00026202187,False,False,1781
26,games5425898691,0,49.0,0.0013515379,False,False,1794
27,games5425898691,0,55.0,0.002175198,False,False,1949
28,Stefnir97,1,57.0,9.8611126e-05,False,False,2017
29,Stefnir97,1,58.0,0.00033593248,False,False,2040
30,Stefnir97,1,60.0,0.00032222018,False,False,2094
31,NoobSlayer.2013,1,65.0,0.00029450108,False,False,2219
32,NoobSlayer.2013,1,65.0,0.0019064923,False,False,2236
33,NoobSlayer.2013,1,66.0,0.00081773486,False,False,2252
34,NoobSlayer.2013,1,66.0,0.0024409276,False,False,2266
35,NoobSlayer.2013,1,67.0,0.024785299,False,False,2285
36,games5425898691,0,71.0,0.00021997665,False,False,2392
37,Stefnir97,1,72.0,0.110211626,False,False,2421
38,enpitsu,0,72.0,0.0005444,False,False,2422
39,enpitsu,0,75.0,0.008867507,False,False,2507
40,games5425898691,0,77.0,0.1476584,True,True,2556
41,Stefnir97,1,79.0,0.0020696928,False,False,2856
42,games5425898691,0,79.0,0.0043199332,False,False,2857
43,NoobSlayer.2013,1,81.0,9.636221e-05,False,False,2928
44,games5425898691,0,84.0,0.06371137,False,False,2994
45,games5425898691,0,85.0,0.18350519,False,False,3018
46,Stefnir97,1,85.0,5.934014e-05,False,False,3023
47,Stefnir97,1,85.0,9.2561364e-05,False,False,3040
48,Stefnir97,1,87.0,7.435579e-05,False,False,3079
49,Stefnir97,1,87.0,0.00019325335,False,False,3086
50,Stefnir97,1,88.0,0.0024261696,False,False,3098
51,Stefnir97,1,90.0,0.007818278,False,False,3153
52,Stefnir97,1,92.0,0.0006059639,False,False,3230
53,enpitsu,0,93.0,0.00039236408,False,False,3245
54,NoobSlayer.2013,1,95.0,0.0021538835,False,False,3299
55,enpitsu,0,95.0,0.0016140084,False,False,3304
56,games5425898691,0,99.0,0.23255326,False,False,3416
57,NoobSlayer.2013,1,104.0,0.00015431084,False,False,3564
58,games5425898691,0,106.0,0.004875422,False,False,3619
59,Stefnir97,1,109.0,0.00021904362,False,False,3693
60,games5425898691,0,111.0,0.0070000617,False,False,3756
61,NoobSlayer.2013,1,114.0,0.0004453368,False,False,3822
62,enpitsu,0,117.0,0.0035305626,False,False,3916
63,Stefnir97,1,119.0,0.039789483,False,False,3971
64,games5425898691,0,123.0,0.0013527805,False,False,4072
65,NoobSlayer.2013,1,125.0,0.03942285,False,False,4141
66,enpitsu,0,127.0,0.038719926,False,False,4187
67,enpitsu,0,130.0,0.0038193185,False,False,4252
68,games5425898691,0,135.0,0.044283453,False,False,4402
69,Stefnir97,1,138.0,0.00077960006,False,False,4494
70,Stefnir97,1,140.0,0.0010746036,False,False,4546
71,enpitsu,0,143.0,0.0014392649,False,False,4633
72,enpitsu,0,146.0,0.74981695,True,True,4697
73,Stefnir97,1,146.0,0.00014166467,False,False,4698
74,NoobSlayer.2013,1,146.0,0.0009672776,False,False,4966
75,enpitsu,0,146.0,0.0054883063,False,False,4967
76,NoobSlayer.2013,1,146.0,0.0034325826,False,False,4968
77,enpitsu,0,147.0,0.00036719098,False,False,4970
78,Stefnir97,1,148.0,0.0034458486,False,False,5008
79,Stefnir97,1,151.0,0.3987651,False,False,5083
80,games5425898691,0,152.0,0.0005147495,False,False,5117
81,NoobSlayer.2013,1,155.0,0.04712241,True,False,5196
82,games5425898691,0,156.0,0.016031757,False,False,5224
83,Stefnir97,1,158.0,0.001631597,False,False,5287
84,NoobSlayer.2013,1,163.0,0.2831149,True,True,5427
85,Stefnir97,1,164.0,0.0028556609,False,False,5700
86,NoobSlayer.2013,1,168.0,0.0012473156,False,False,5813
87,games5425898691,0,170.0,0.017798487,False,False,5857
