,shot_taker_name,is_orange,time,xg,goal
0,ジョセフ2245,0,0.0,0.001954143,False
1,Exp_andrea,0,4.0,0.17967829,False
2,Exp_andrea,0,17.0,0.0038997282,False
3,games5425898691,1,28.0,0.33107707,True
4,ジョセフ2245,0,58.0,0.902801,True
5,Exp_andrea,0,79.0,0.21425426,False
6,ジョセフ2245,0,91.0,0.19014269,False
7,ジョセフ2245,0,91.0,0.5679342,True
8,Exp_andrea,0,151.0,0.014400997,False
9,Exp_andrea,0,152.0,0.54610544,False
10,Exp_andrea,0,152.0,0.55567235,False
11,enpitsu,1,163.0,0.22067627,False
12,enpitsu,1,198.0,0.7346584,True
13,Exp_andrea,0,233.0,0.13084699,False
14,Exp_andrea,0,254.0,0.69794494,True
15,ジョセフ2245,0,271.0,0.133239,False
16,enpitsu,1,286.0,0.49042124,True
17,ジョセフ2245,0,286.0,0.006274132,False
