,shot_taker_name,is_orange,time,xg,shot,goal
0,enpitsu,1,0,0.0068168,True,False
1,SkyZololo,0,0,0.0007076282,False,False
2,enpitsu,1,0,0.00030600408,False,False
3,SkyZololo,0,0,0.0016308795,False,False
4,enpitsu,1,3,0.00013561825,False,False
5,games5425898691,1,4,0.0022238914,False,False
6,games5425898691,1,5,5.9189177e-05,False,False
7,enpitsu,1,6,0.00029736164,False,False
8,lilianbig1,0,9,0.002285844,False,False
9,games5425898691,1,11,0.00028025854,False,False
10,games5425898691,1,14,0.00097103894,False,False
11,games5425898691,1,15,0.00018570232,False,False
12,games5425898691,1,19,0.00025936737,False,False
13,games5425898691,1,23,0.0006210657,False,False
14,enpitsu,1,25,0.0052159354,False,False
15,SkyZololo,0,27,0.0019924338,True,True
16,lilianbig1,0,29,0.0018343095,False,False
17,enpitsu,1,32,1.1268158e-05,False,False
18,enpitsu,1,33,0.0022782614,False,False
19,SkyZololo,0,36,0.006646554,False,False
20,games5425898691,1,38,0.0010302642,False,False
21,SkyZololo,0,41,0.00069202576,False,False
22,SkyZololo,0,42,5.0110786e-05,False,False
23,games5425898691,1,42,0.022381311,False,False
24,lilianbig1,0,44,8.02083e-05,False,False
25,lilianbig1,0,50,0.049860097,False,False
26,enpitsu,1,50,7.8055185e-05,False,False
27,enpitsu,1,53,0.20666605,False,False
28,SkyZololo,0,56,0.0011743546,False,False
29,games5425898691,1,63,0.0009180379,False,False
30,lilianbig1,0,64,0.00020299644,False,False
31,enpitsu,1,67,0.0047105565,False,False
32,SkyZololo,0,69,0.0013729536,False,False
33,enpitsu,1,75,0.0002948708,False,False
34,lilianbig1,0,77,0.00045355802,False,False
35,lilianbig1,0,79,0.015925862,False,False
36,enpitsu,1,81,0.0005198385,False,False
37,enpitsu,1,86,0.04617264,False,False
38,lilianbig1,0,89,0.0003356796,False,False
39,lilianbig1,0,94,0.0019518732,False,False
40,lilianbig1,0,95,0.0038738323,False,False
41,lilianbig1,0,95,0.010852885,False,False
42,lilianbig1,0,95,0.061467268,False,False
43,lilianbig1,0,97,0.0032584174,False,False
44,enpitsu,1,98,9.334155e-05,False,False
45,enpitsu,1,100,2.9313804e-05,False,False
46,lilianbig1,0,100,0.028055016,False,False
47,enpitsu,1,104,0.0009754174,False,False
48,games5425898691,1,105,0.00045881057,False,False
49,games5425898691,1,109,0.0026857748,False,False
50,games5425898691,1,110,0.0026383558,False,False
51,games5425898691,1,111,0.0034564293,False,False
52,games5425898691,1,112,0.0011671882,False,False
53,lilianbig1,0,113,0.0009953429,False,False
54,SkyZololo,0,116,0.009715347,True,True
55,enpitsu,1,118,0.00013480253,False,False
56,games5425898691,1,121,0.008770727,False,True
57,lilianbig1,0,123,0.00075913325,False,False
58,lilianbig1,0,127,0.0022773177,False,False
59,enpitsu,1,130,0.00024622603,False,False
60,enpitsu,1,133,0.00041557854,False,False
61,enpitsu,1,135,4.4605506e-05,False,False
62,enpitsu,1,137,0.032937113,False,False
63,enpitsu,1,141,0.047813706,False,False
64,games5425898691,1,142,0.014738443,False,False
65,enpitsu,1,144,0.007257712,True,False
66,SkyZololo,0,144,0.00014255483,False,False
67,games5425898691,1,147,0.0025445023,False,False
68,enpitsu,1,149,0.0035797053,False,False
69,SkyZololo,0,152,0.004692507,False,False
70,SkyZololo,0,155,0.010949265,False,False
71,SkyZololo,0,156,0.016699411,False,False
72,SkyZololo,0,156,0.027685132,False,False
73,SkyZololo,0,157,0.018226897,False,False
74,SkyZololo,0,157,0.0060418355,False,False
75,SkyZololo,0,157,0.0023744116,False,False
76,games5425898691,1,157,8.021718e-05,False,False
77,games5425898691,1,159,0.029524641,False,False
78,games5425898691,1,163,0.40840417,True,True
79,SkyZololo,0,163,0.0002181813,False,False
80,SkyZololo,0,164,0.00018327219,False,False
81,SkyZololo,0,166,0.0008755711,False,False
82,SkyZololo,0,166,0.0059026773,False,False
83,enpitsu,1,166,0.0013878966,False,False
84,lilianbig1,0,168,0.016674137,False,False
85,SkyZololo,0,175,0.0028750694,False,False
86,lilianbig1,0,179,0.0065373722,False,False
87,SkyZololo,0,180,0.00060388114,False,False
88,lilianbig1,0,182,0.00073622115,False,False
89,games5425898691,1,182,0.0009474976,False,False
90,lilianbig1,0,182,0.0004099552,False,False
91,SkyZololo,0,186,0.0007717954,False,False
92,lilianbig1,0,191,0.00028635294,False,False
93,games5425898691,1,194,0.00514581,True,False
94,SkyZololo,0,196,0.0028047627,False,False
95,SkyZololo,0,199,0.0012715317,False,False
96,enpitsu,1,200,0.0025459186,False,False
97,SkyZololo,0,200,0.0030504672,False,False
98,SkyZololo,0,204,0.021230388,False,False
99,games5425898691,1,206,3.256428e-05,False,False
100,lilianbig1,0,208,0.0015784138,False,False
101,enpitsu,1,208,0.0013634715,False,False
102,enpitsu,1,212,0.05627642,True,False
