,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,0,0,0.0023040352,False,False,169
1,pacoterreno,1,0,0.0009378681,False,False,170
2,Cartonllu,1,2,0.00080820685,False,False,231
3,pacoterreno,1,3,0.00012074079,False,False,268
4,pacoterreno,1,4,0.0002442745,False,False,279
5,pacoterreno,1,5,0.00032693596,False,False,324
6,pacoterreno,1,7,0.005603002,False,False,381
7,pacoterreno,1,8,0.0016970921,False,False,407
8,pacoterreno,1,8,0.0013212701,False,False,410
9,games5425898691,0,9,0.0013644886,False,False,422
10,games5425898691,0,12,0.24649061,False,False,500
11,pacoterreno,1,14,0.0007521635,False,False,558
12,enpitsu,0,18,0.005894851,False,False,671
13,Cartonllu,1,21,0.0002630341,False,False,768
14,Cartonllu,1,25,0.00981066,False,False,864
15,enpitsu,0,28,0.025378784,False,False,944
16,pacoterreno,1,31,6.7040695e-05,False,False,1042
17,pacoterreno,1,36,6.197817e-05,False,False,1161
18,games5425898691,0,37,0.0061799707,False,False,1187
19,games5425898691,0,39,0.0043193446,False,False,1247
20,pacoterreno,1,41,0.0005292941,False,False,1311
21,pacoterreno,1,45,0.00064343936,False,False,1425
22,enpitsu,0,47,0.043796446,False,False,1474
23,Cartonllu,1,52,0.0004971237,False,False,1602
24,games5425898691,0,53,0.013790558,False,False,1650
25,Cartonllu,1,55,0.0005052574,False,False,1695
26,Cartonllu,1,57,0.0039084083,False,False,1757
27,pacoterreno,1,64,0.002320772,False,False,1942
28,pacoterreno,1,67,0.03995926,True,False,2011
29,enpitsu,0,68,0.00049746095,False,False,2037
30,Cartonllu,1,70,0.024602946,False,False,2095
31,pacoterreno,1,75,0.24471548,True,False,2245
32,enpitsu,0,76,0.0010366031,False,False,2268
33,Cartonllu,1,78,0.02672859,False,False,2334
34,Cartonllu,1,81,0.020210799,False,False,2420
35,enpitsu,0,84,0.0005218088,False,False,2490
36,enpitsu,0,85,0.0018125458,False,False,2511
37,enpitsu,0,85,0.0009349755,False,False,2513
38,enpitsu,0,86,0.0476767,True,False,2542
39,enpitsu,0,86,0.03518933,False,False,2552
40,pacoterreno,1,87,0.0007034232,False,False,2584
41,pacoterreno,1,92,0.006770376,False,False,2705
42,pacoterreno,1,96,0.034221835,True,False,2820
43,games5425898691,0,96,0.007402664,False,False,2822
44,Cartonllu,1,99,0.00035336096,False,False,2909
45,Cartonllu,1,102,0.000117991636,False,False,2986
46,games5425898691,0,104,0.008942353,False,False,3043
47,pacoterreno,1,107,0.00019982361,False,False,3128
48,games5425898691,0,109,0.008476626,False,False,3178
49,Cartonllu,1,111,0.00024421254,False,False,3232
50,games5425898691,0,112,0.018208155,True,False,3265
51,Cartonllu,1,112,0.0006230156,False,False,3266
52,games5425898691,0,112,0.005978768,False,False,3267
53,Cartonllu,1,112,0.0010764479,False,False,3268
54,games5425898691,0,115,0.4973371,True,True,3333
55,Cartonllu,1,115,0.0012262862,False,False,3603
56,games5425898691,0,115,0.0062443833,False,False,3605
57,pacoterreno,1,120,0.00019153318,False,False,3719
58,enpitsu,0,122,0.0351208,False,False,3777
59,games5425898691,0,123,0.0020039463,False,False,3816
60,games5425898691,0,125,0.019927224,False,False,3880
61,enpitsu,0,127,0.63008285,True,True,3911
62,enpitsu,0,128,0.0017713221,False,False,4197
63,pacoterreno,1,128,0.0020896858,False,False,4199
64,enpitsu,0,128,0.003982499,False,False,4200
