,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0,0.009125141,True,False,170
1,CrotoYT,0,1,0.0023066413,False,False,212
2,games5425898691,1,3,0.0062046815,False,False,266
3,CrotoYT,0,7,0.00021120622,False,False,375
4,games5425898691,1,9,0.006912595,False,False,434
5,LHender1649,0,11,0.0027318331,False,False,483
6,LHender1649,0,16,0.0012360418,False,False,626
7,LHender1649,0,19,0.0093795555,False,False,697
8,LHender1649,0,22,0.0010507662,False,False,781
9,LHender1649,0,22,0.0072095525,False,False,797
10,LHender1649,0,23,0.002885324,True,False,809
11,LHender1649,0,24,0.00079487887,False,False,830
12,LHender1649,0,24,0.0030248067,False,False,841
13,enpitsu,1,25,0.0018949405,False,False,884
14,CrotoYT,0,28,0.0021351958,False,False,964
15,CrotoYT,0,32,0.03656525,False,False,1064
16,CrotoYT,0,35,0.071225055,False,False,1133
17,enpitsu,1,37,0.002670296,False,False,1197
18,LHender1649,0,43,0.0047945073,False,False,1354
19,LHender1649,0,45,0.1282594,True,False,1417
20,CrotoYT,0,48,0.52877945,False,False,1497
21,LHender1649,0,50,0.002853256,False,False,1563
22,games5425898691,1,55,0.00565237,False,False,1681
23,enpitsu,1,58,0.5922685,False,False,1778
24,LHender1649,0,61,0.0112629505,False,False,1848
25,LHender1649,0,63,0.17121926,False,False,1918
26,CrotoYT,0,68,0.0049081133,False,False,2043
27,CrotoYT,0,70,0.006185754,False,False,2096
28,games5425898691,1,70,0.0021114273,False,False,2099
29,games5425898691,1,72,0.010037001,False,False,2175
30,games5425898691,1,76,0.36786976,False,False,2274
31,CrotoYT,0,76,0.0008538564,False,False,2281
32,enpitsu,1,79,0.0035609894,False,False,2350
33,games5425898691,1,80,0.01598347,False,False,2387
34,CrotoYT,0,83,0.005112902,False,False,2471
35,CrotoYT,0,85,0.0027086304,False,False,2522
36,CrotoYT,0,86,0.0046503865,False,False,2535
37,CrotoYT,0,86,0.013663248,False,False,2541
38,enpitsu,1,89,0.0047074878,False,False,2615
39,LHender1649,0,92,0.00054285955,False,False,2706
40,LHender1649,0,94,0.0065645725,False,False,2764
41,LHender1649,0,96,0.02169173,False,False,2821
42,LHender1649,0,97,0.3039408,True,False,2861
43,CrotoYT,0,101,0.8623636,True,True,2953
44,CrotoYT,0,101,0.0051370612,False,False,3224
45,enpitsu,1,101,0.00079254893,False,False,3225
46,CrotoYT,0,101,0.0010309097,False,False,3228
47,enpitsu,1,101,0.0027962402,False,False,3230
48,CrotoYT,0,102,0.0012193756,False,False,3231
49,CrotoYT,0,102,0.0032182077,False,False,3242
50,CrotoYT,0,103,0.0023756984,False,False,3262
51,CrotoYT,0,103,0.00615359,False,False,3269
52,enpitsu,1,103,0.00029722476,False,False,3284
53,games5425898691,1,105,0.00027454286,False,False,3316
54,CrotoYT,0,105,0.03463985,False,False,3318
55,CrotoYT,0,107,0.019423176,False,False,3376
56,enpitsu,1,107,0.00040287065,False,False,3381
57,enpitsu,1,113,0.0034433815,False,False,3556
58,enpitsu,1,115,0.015346322,False,False,3615
59,LHender1649,0,116,0.00036888703,False,False,3639
60,LHender1649,0,118,0.0022682673,False,False,3674
61,LHender1649,0,120,0.0045580408,False,False,3747
62,CrotoYT,0,122,0.017173732,False,False,3794
63,enpitsu,1,124,0.0008266529,False,False,3852
64,enpitsu,1,128,0.00965955,False,False,3947
65,CrotoYT,0,129,0.000769682,False,False,3983
66,LHender1649,0,131,0.00025110395,False,False,4042
67,LHender1649,0,132,0.0007920869,False,False,4065
68,LHender1649,0,132,0.0005622783,False,False,4078
69,games5425898691,1,132,0.002249711,False,False,4080
70,enpitsu,1,136,0.0007016992,False,False,4190
71,enpitsu,1,138,0.00015135393,False,False,4239
72,enpitsu,1,139,0.0002020753,False,False,4251
73,enpitsu,1,139,0.00029347328,False,False,4273
74,enpitsu,1,140,0.0014722722,False,False,4291
75,enpitsu,1,141,0.0014691539,False,False,4302
76,enpitsu,1,141,0.006934286,False,False,4307
