,shot_taker_name,is_orange,time,xg,shot,goal
0,MatzeXX,1,0.0,0.001387214,False,False
1,games5425898691,0,0.0,0.0011696127,False,False
2,New Kenny S Dumortier,1,4.0,5.2355164e-05,False,False
3,New Kenny S Dumortier,1,6.0,0.00078120345,False,False
4,New Kenny S Dumortier,1,8.0,0.0033594794,False,False
5,enpitsu,0,8.0,0.0004920191,False,False
6,enpitsu,0,9.0,0.0016799081,False,False
7,MatzeXX,1,11.0,0.009487595,False,False
8,enpitsu,0,11.0,0.012017962,False,False
9,games5425898691,0,15.0,0.23795336,False,False
10,MatzeXX,1,16.0,2.169055e-05,False,False
11,games5425898691,0,18.0,0.00036135092,False,False
12,MatzeXX,1,20.0,0.009748502,False,False
13,games5425898691,0,22.0,0.00018463786,False,False
14,New Kenny S Dumortier,1,24.0,0.00014197272,False,False
15,New Kenny S Dumortier,1,24.0,0.0004500686,False,False
16,New Kenny S Dumortier,1,25.0,0.007281091,False,False
17,enpitsu,0,27.0,0.008774102,False,False
18,enpitsu,0,29.0,0.06684395,False,False
19,MatzeXX,1,29.0,0.00016701802,False,False
20,New Kenny S Dumortier,1,33.0,0.015280411,True,False
21,games5425898691,0,34.0,0.00051881355,False,False
22,MatzeXX,1,38.0,0.000350101,False,False
23,enpitsu,0,39.0,0.0053514754,False,False
24,MatzeXX,1,40.0,0.0016147025,False,False
25,enpitsu,0,42.0,7.83272e-05,False,False
26,games5425898691,0,43.0,4.9354403e-05,False,False
27,games5425898691,0,47.0,0.00019471973,False,False
28,games5425898691,0,49.0,0.0018901413,False,False
29,New Kenny S Dumortier,1,50.0,0.04238388,True,False
30,enpitsu,0,52.0,0.0017885112,False,False
31,New Kenny S Dumortier,1,55.0,5.3123287e-05,False,False
32,enpitsu,0,57.0,0.0041013,False,False
33,New Kenny S Dumortier,1,62.0,0.00068717333,False,False
34,enpitsu,0,64.0,0.019210868,False,False
35,enpitsu,0,68.0,0.008142316,False,False
36,games5425898691,0,69.0,0.082063876,False,False
37,New Kenny S Dumortier,1,69.0,7.939603e-05,False,False
38,New Kenny S Dumortier,1,72.0,0.006864538,False,False
39,New Kenny S Dumortier,1,74.0,0.20574474,False,False
40,New Kenny S Dumortier,1,74.0,0.20574474,True,True
41,New Kenny S Dumortier,1,75.0,0.008448411,False,False
42,games5425898691,0,75.0,0.00012250205,False,False
43,New Kenny S Dumortier,1,75.0,0.00066740956,False,False
44,New Kenny S Dumortier,1,76.0,0.0006321032,False,False
45,New Kenny S Dumortier,1,76.0,0.00025637672,False,False
46,New Kenny S Dumortier,1,77.0,0.0063472767,False,False
47,enpitsu,0,80.0,0.0007013558,False,False
48,enpitsu,0,84.0,0.05429296,False,False
49,MatzeXX,1,86.0,0.007930454,False,False
50,MatzeXX,1,88.0,0.02394843,False,False
51,games5425898691,0,90.0,0.00044815088,False,False
52,New Kenny S Dumortier,1,92.0,0.0022724085,False,False
53,New Kenny S Dumortier,1,94.0,0.002092216,False,False
54,games5425898691,0,94.0,0.00246952,False,False
55,games5425898691,0,100.0,0.008118302,False,False
56,games5425898691,0,102.0,5.208228e-05,False,False
57,games5425898691,0,102.0,0.00023890863,False,False
58,games5425898691,0,103.0,0.0010946613,False,False
59,games5425898691,0,103.0,0.001198282,False,False
60,MatzeXX,1,104.0,0.00095732126,False,False
61,MatzeXX,1,107.0,0.18587805,False,False
62,enpitsu,0,109.0,3.995217e-05,False,False
63,MatzeXX,1,111.0,0.0028718805,False,False
64,games5425898691,0,112.0,0.0045593716,False,True
65,New Kenny S Dumortier,1,116.0,0.0031023459,False,False
66,enpitsu,0,116.0,0.0019452132,False,False
67,New Kenny S Dumortier,1,116.0,0.0050035734,False,False
68,games5425898691,0,120.0,0.00020409336,False,False
69,MatzeXX,1,123.0,0.05244917,False,False
70,enpitsu,0,126.0,0.0012520499,False,False
71,games5425898691,0,128.0,0.0062980945,False,True
72,MatzeXX,1,130.0,9.9158126e-05,False,False
73,enpitsu,0,131.0,0.0001104079,False,False
74,New Kenny S Dumortier,1,131.0,0.00079414825,False,False
75,New Kenny S Dumortier,1,135.0,0.0024920022,False,False
76,New Kenny S Dumortier,1,137.0,0.0061900914,False,False
77,enpitsu,0,138.0,0.0061757225,False,False
78,enpitsu,0,141.0,0.07872845,True,True
79,MatzeXX,1,143.0,0.0019954504,True,False
80,games5425898691,0,143.0,0.0015580257,False,False
81,MatzeXX,1,143.0,0.000931742,False,False
82,games5425898691,0,143.0,0.00010095284,False,False
83,MatzeXX,1,143.0,0.005058539,False,False
84,enpitsu,0,144.0,0.00017786397,False,False
85,enpitsu,0,146.0,0.008024366,True,False
