,shot_taker_name,is_orange,time,xg,goal
0,AlpHalXst,1,2.0,0.6695162,True
1,Skadoosh,1,7.0,0.120730415,False
2,Skadoosh,1,7.0,0.21395689,False
3,Skadoosh,1,7.0,0.33493486,False
4,enpitsu,0,37.0,0.18667804,False
5,Skadoosh,1,43.0,0.033345476,False
6,enpitsu,0,131.0,0.5761444,True
7,games5425898691,0,134.0,0.3554017,False
8,AlpHalXst,1,144.0,0.20939796,True
9,AlpHalXst,1,147.0,0.004352326,False
10,games5425898691,0,158.0,0.6168662,False
11,games5425898691,0,167.0,0.14156348,True
12,Skadoosh,1,191.0,0.9161407,True
13,enpitsu,0,254.0,0.22844574,False
14,games5425898691,0,269.0,0.1455839,False
15,games5425898691,0,271.0,0.25079885,False
16,AlpHalXst,1,304.0,0.22008744,True
