,shot_taker_name,is_orange,time,xg,goal
0,Smokey,0,0.0,0.016266577,False
1,enpitsu,1,0.0,0.11920532,False
2,Smokey,0,6.0,0.7270775,False
3,Smokey,0,10.0,0.24615656,False
4,enpitsu,1,14.0,0.6822248,False
5,enpitsu,1,18.0,0.48295602,False
6,Smokey,0,19.0,0.8870987,False
7,enpitsu,1,20.0,0.3606064,False
8,Smokey,0,20.0,0.7966515,False
9,enpitsu,1,31.0,0.18484828,False
10,Smokey,0,35.0,0.13237521,False
11,Smokey,0,37.0,0.5156079,False
12,enpitsu,1,46.0,0.59184986,False
13,Smokey,0,46.0,0.5845424,False
14,Smokey,0,49.0,0.6134997,False
15,enpitsu,1,50.0,0.50863284,False
16,Smokey,0,50.0,0.45438722,False
17,Smokey,0,57.0,0.87228686,False
18,Smokey,0,59.0,0.6465553,False
19,Smokey,0,64.0,0.61751497,False
20,Smokey,0,65.0,0.21014848,False
21,enpitsu,1,66.0,0.6409849,False
22,Smokey,0,69.0,0.37426627,False
23,Smokey,0,70.0,0.7222574,False
24,Smokey,0,70.0,0.77217114,False
25,Smokey,0,72.0,0.55813485,False
26,Smokey,0,77.0,0.38500112,False
27,Smokey,0,78.0,0.53581434,False
28,Smokey,0,79.0,0.38543412,False
29,Smokey,0,79.0,0.50556946,False
30,enpitsu,1,80.0,0.2777336,False
31,enpitsu,1,88.0,0.5107957,False
32,enpitsu,1,90.0,0.036624577,False
33,enpitsu,1,91.0,0.048703287,False
34,enpitsu,1,92.0,0.032773472,False
35,enpitsu,1,94.0,0.88512355,False
36,Smokey,0,95.0,0.8852204,False
37,Smokey,0,97.0,0.1833241,False
38,enpitsu,1,99.0,0.28245074,False
39,Smokey,0,101.0,0.79671854,False
40,Smokey,0,102.0,0.29838955,False
41,Smokey,0,105.0,0.83322775,False
42,enpitsu,1,114.0,0.19823335,False
43,Smokey,0,117.0,0.40906024,False
44,enpitsu,1,124.0,0.22791186,False
45,Smokey,0,127.0,0.7865672,False
46,Smokey,0,129.0,0.043831844,False
47,Smokey,0,131.0,0.68496674,True
48,Smokey,0,132.0,0.18951371,False
49,Smokey,0,135.0,0.5861836,False
50,enpitsu,1,139.0,0.4362841,False
51,enpitsu,1,142.0,0.9586767,False
52,Smokey,0,144.0,0.14990339,False
53,enpitsu,1,145.0,0.55258375,False
54,Smokey,0,145.0,0.29036304,False
55,enpitsu,1,148.0,0.9826433,False
56,enpitsu,1,151.0,0.68315923,False
57,enpitsu,1,154.0,0.8688866,False
58,enpitsu,1,158.0,0.19748928,False
59,Smokey,0,161.0,0.5116207,False
60,Smokey,0,163.0,0.1358809,False
61,Smokey,0,163.0,0.30111164,False
62,Smokey,0,164.0,0.05903046,False
63,Smokey,0,165.0,0.032871805,False
64,Smokey,0,165.0,0.092964195,False
65,Smokey,0,166.0,0.4723469,False
66,Smokey,0,171.0,0.398782,False
67,Smokey,0,174.0,0.16860424,False
68,enpitsu,1,180.0,0.85022044,False
69,Smokey,0,186.0,0.24770002,False
70,Smokey,0,188.0,0.40745738,False
71,Smokey,0,190.0,0.37539348,False
72,Smokey,0,192.0,0.94780767,False
73,Smokey,0,195.0,0.48880595,False
74,enpitsu,1,201.0,0.06571663,False
75,Smokey,0,203.0,0.355488,False
76,Smokey,0,204.0,0.24176246,False
77,Smokey,0,205.0,0.68508035,False
78,Smokey,0,205.0,0.7415329,False
79,Smokey,0,206.0,0.19674261,False
80,Smokey,0,206.0,0.5085751,False
81,Smokey,0,206.0,0.95295876,False
82,enpitsu,1,210.0,0.8464397,False
83,enpitsu,1,214.0,0.77055496,False
84,enpitsu,1,217.0,0.077383704,False
85,enpitsu,1,219.0,0.40479457,False
86,enpitsu,1,220.0,0.33782786,False
87,games5425898691,1,225.0,0.26115373,False
88,enpitsu,1,227.0,0.2682294,False
89,games5425898691,1,229.0,0.3747776,True
90,Smokey,0,230.0,0.0015944352,False
91,enpitsu,1,230.0,0.0457286,False
92,games5425898691,1,233.0,0.34807006,False
93,enpitsu,1,234.0,0.542421,True
94,sF Squaachy,0,235.0,0.10371325,False
95,enpitsu,1,238.0,0.2940813,False
96,sF Squaachy,0,240.0,0.06250808,False
97,enpitsu,1,242.0,0.6326076,False
98,games5425898691,1,244.0,0.10814505,False
99,sF Squaachy,0,245.0,0.20605177,False
100,games5425898691,1,248.0,0.685117,True
101,enpitsu,1,248.0,0.029826805,False
102,sF Squaachy,0,252.0,0.44244608,False
103,games5425898691,1,255.0,0.0591077,False
104,Smokey,0,256.0,0.48260227,False
105,Smokey,0,259.0,0.23298673,False
106,enpitsu,1,260.0,0.103430286,False
107,sF Squaachy,0,264.0,0.35376838,False
108,games5425898691,1,265.0,0.41099977,False
109,Smokey,0,268.0,0.54651994,False
110,games5425898691,1,270.0,0.0716559,False
111,sF Squaachy,0,273.0,0.88424075,False
112,games5425898691,1,274.0,0.14753127,False
113,Smokey,0,276.0,0.7602141,False
114,Smokey,0,278.0,0.62977946,False
115,Smokey,0,278.0,0.75244707,False
116,games5425898691,1,279.0,0.22339635,False
117,sF Squaachy,0,280.0,0.7469078,False
118,enpitsu,1,281.0,0.48134702,False
119,sF Squaachy,0,281.0,0.19646937,False
120,enpitsu,1,281.0,0.63119745,False
121,Smokey,0,282.0,0.79659927,False
122,Smokey,0,286.0,0.15874533,False
123,enpitsu,1,289.0,0.48653218,False
124,enpitsu,1,293.0,0.4210988,False
125,enpitsu,1,295.0,0.5681897,False
126,enpitsu,1,297.0,0.74735063,False
127,Smokey,0,297.0,0.100916795,False
128,games5425898691,1,298.0,0.04917437,False
129,enpitsu,1,300.0,0.07483359,False
130,enpitsu,1,300.0,0.035288975,False
131,games5425898691,1,,0.11952191,False
