,shot_taker_name,is_orange,time,xg,goal
0,KjellisKing,1,0,0.1394856,False
1,KjellisKing,1,6,0.043279592,False
2,BakkerBox,1,22,0.18662004,True
3,KjellisKing,1,41,0.08426387,False
4,BakkerBox,1,49,0.48462552,True
5,KjellisKing,1,97,0.18523254,False
6,enpitsu,0,107,0.37480593,True
7,KjellisKing,1,117,0.039368328,False
8,KjellisKing,1,118,0.15059128,False
9,games5425898691,0,156,0.5358933,False
10,games5425898691,0,159,0.91318125,True
11,BakkerBox,1,208,0.3243936,False
12,BakkerBox,1,208,0.9367329,False
13,BakkerBox,1,208,0.77097756,False
14,BakkerBox,1,209,0.35666725,False
15,BakkerBox,1,209,0.5391155,False
16,BakkerBox,1,210,0.7123712,False
17,BakkerBox,1,210,0.45981917,True
18,games5425898691,0,238,0.16903552,True
19,KjellisKing,1,273,0.24491185,False
