,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,1,0.0,0.022082454,False
1,DevlLCrowns,0,8.0,0.08813333,False
2,DevlLCrowns,0,46.0,0.34065363,True
3,DevlLCrowns,0,46.0,0.006928978,False
4,enpitsu,1,58.0,0.9174494,True
5,DevlLCrowns,0,66.0,0.1121738,False
6,DevlLCrowns,0,66.0,0.06706409,False
7,enpitsu,1,92.0,0.30656022,False
8,Necrotixc,0,104.0,0.37513927,True
9,Necrotixc,0,117.0,0.20443729,True
10,Necrotixc,0,120.0,0.0018272479,False
11,Necrotixc,0,156.0,0.072658695,False
12,Necrotixc,0,157.0,0.16007756,False
13,Necrotixc,0,157.0,0.07030231,False
14,Necrotixc,0,158.0,0.49086338,True
15,Necrotixc,0,200.0,0.60383433,False
16,games5425898691,1,249.0,0.46173614,True
17,DevlLCrowns,0,255.0,0.12133892,False
18,Necrotixc,0,282.0,0.53448623,True
19,DevlLCrowns,0,312.0,0.1949801,False
20,enpitsu,1,339.0,0.63192326,True
