,shot_taker_name,is_orange,time,xg,shot,goal
0,Speedfreek52,0,0,0.0020834138,False,False
1,ethernat_cable,0,3,0.0018200349,False,False
2,ethernat_cable,0,5,0.008626825,False,False
3,games5425898691,1,6,0.04279306,False,False
4,ethernat_cable,0,10,7.286692e-05,False,False
5,games5425898691,1,12,0.0078104553,False,False
6,Speedfreek52,0,14,9.399708e-05,False,False
7,Speedfreek52,0,16,0.0012107561,False,False
8,Speedfreek52,0,19,0.0025608086,False,False
9,enpitsu,1,22,0.03821728,True,False
10,ethernat_cable,0,23,0.0060853534,False,False
11,enpitsu,1,28,0.013773364,False,False
12,Speedfreek52,0,31,0.00023830848,False,False
13,games5425898691,1,33,0.5300321,False,False
14,ethernat_cable,0,36,8.188996e-05,False,False
15,Speedfreek52,0,39,0.00075542904,False,False
16,Speedfreek52,0,41,0.00041629342,False,False
17,Speedfreek52,0,44,0.002353261,False,False
18,Speedfreek52,0,45,0.035565507,False,False
19,enpitsu,1,45,0.011806576,False,False
20,Speedfreek52,0,45,0.004418156,False,False
21,Speedfreek52,0,48,0.002758105,False,False
22,Speedfreek52,0,50,0.006086028,False,False
23,games5425898691,1,52,0.00029510254,False,False
24,games5425898691,1,54,3.6782974e-05,False,False
25,Speedfreek52,0,57,0.0030537928,False,False
26,games5425898691,1,57,0.026133038,True,True
27,ethernat_cable,0,60,0.0010467577,False,False
28,Speedfreek52,0,63,0.00017643682,False,False
29,ethernat_cable,0,66,0.00015278961,False,False
30,games5425898691,1,70,0.0027471804,False,False
31,Speedfreek52,0,72,0.00016293203,False,False
32,Speedfreek52,0,74,0.0018115012,False,False
33,Speedfreek52,0,76,0.011157011,True,False
34,enpitsu,1,77,0.00016047833,False,False
35,enpitsu,1,80,0.00130139,False,False
36,ethernat_cable,0,81,0.003919702,False,False
37,games5425898691,1,84,0.0030999458,False,False
38,games5425898691,1,86,0.018100264,False,False
39,Speedfreek52,0,89,0.0002488182,False,False
40,enpitsu,1,92,0.16760653,False,False
41,Speedfreek52,0,92,0.0025745353,False,False
42,enpitsu,1,92,0.13228326,False,False
43,games5425898691,1,95,0.012109549,False,False
44,Speedfreek52,0,97,0.0004261741,False,False
45,enpitsu,1,101,0.0005609235,False,False
46,games5425898691,1,102,0.0006712833,False,False
47,Speedfreek52,0,107,0.031174814,False,False
48,ethernat_cable,0,114,0.004665568,False,False
49,enpitsu,1,116,0.00027470128,False,False
50,ethernat_cable,0,118,0.0027296254,False,False
51,games5425898691,1,119,0.00012398974,False,False
52,games5425898691,1,120,0.0001518861,False,False
53,enpitsu,1,123,0.00071654096,False,False
54,enpitsu,1,124,0.013304807,False,False
55,enpitsu,1,125,0.020380845,False,False
56,enpitsu,1,126,0.019391632,False,False
57,ethernat_cable,0,129,0.00020625249,False,False
58,Speedfreek52,0,131,0.0026784816,False,False
59,Speedfreek52,0,132,0.0029826658,False,False
60,ethernat_cable,0,136,0.0125026805,False,False
61,ethernat_cable,0,138,0.005781266,False,False
62,enpitsu,1,141,0.03506141,False,False
63,enpitsu,1,145,0.0031950348,False,False
64,enpitsu,1,145,0.0008262454,False,False
65,Speedfreek52,0,146,0.000105955165,False,False
66,enpitsu,1,149,0.0042395294,False,False
67,ethernat_cable,0,152,0.00022124355,False,False
68,ethernat_cable,0,152,0.0002364341,False,False
69,ethernat_cable,0,153,0.0013214609,False,False
70,ethernat_cable,0,155,0.042323075,False,False
71,ethernat_cable,0,156,0.11738958,True,False
72,ethernat_cable,0,159,0.891879,True,True
73,ethernat_cable,0,159,0.0011119107,True,False
74,games5425898691,1,159,0.008743115,False,False
75,games5425898691,1,164,0.0021250187,False,False
76,Speedfreek52,0,165,0.0010376598,False,False
77,Speedfreek52,0,167,0.03342843,False,False
78,enpitsu,1,168,0.00060552056,False,False
79,ethernat_cable,0,171,0.0066731805,False,False
80,enpitsu,1,173,0.0027360586,False,False
81,Speedfreek52,0,176,0.0064392984,False,False
82,enpitsu,1,177,0.0072730435,False,False
83,enpitsu,1,181,0.08248696,False,False
84,Speedfreek52,0,183,0.0014175093,False,False
85,games5425898691,1,185,0.009288294,False,False
86,ethernat_cable,0,186,0.0010683765,False,False
87,ethernat_cable,0,189,0.010836558,False,False
88,enpitsu,1,191,0.010783113,False,False
89,Speedfreek52,0,195,5.610326e-05,False,False
90,Speedfreek52,0,197,0.002470124,False,False
91,enpitsu,1,199,0.00057844864,False,False
92,enpitsu,1,200,0.00059459184,False,False
93,enpitsu,1,201,0.0032679013,False,False
94,enpitsu,1,201,0.14558265,False,False
95,games5425898691,1,203,0.64452344,True,True
96,enpitsu,1,203,0.002898412,False,False
97,Speedfreek52,0,203,0.0021703846,False,False
98,ethernat_cable,0,207,0.001183685,False,False
99,games5425898691,1,209,0.0013105053,False,False
100,Speedfreek52,0,212,0.0030178204,False,False
101,Speedfreek52,0,217,0.0020262501,False,False
102,ethernat_cable,0,224,0.0066105407,False,False
103,ethernat_cable,0,226,0.50278175,True,False
104,ethernat_cable,0,226,0.5991748,False,False
105,games5425898691,1,230,0.00017440226,False,False
106,Speedfreek52,0,230,0.00054179854,False,False
107,games5425898691,1,231,0.00010949992,False,False
108,ethernat_cable,0,233,0.009089473,False,False
109,enpitsu,1,237,0.00077867607,False,False
110,ethernat_cable,0,237,0.0027183974,False,False
111,ethernat_cable,0,239,0.5979466,True,True
112,Speedfreek52,0,240,0.0020953454,True,False
113,enpitsu,1,240,0.0034232212,False,False
114,games5425898691,1,243,0.023415627,True,False
115,games5425898691,1,248,0.49398336,False,False
116,Speedfreek52,0,248,0.0014740756,False,False
117,Speedfreek52,0,250,0.0005890474,False,False
118,enpitsu,1,250,0.0038420802,False,False
119,games5425898691,1,252,6.3651896e-05,False,False
120,Speedfreek52,0,254,0.011031888,False,False
121,games5425898691,1,255,0.0007341061,False,False
122,Speedfreek52,0,257,0.00305676,False,False
