,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0,0.017568158,False,False,169
1,ADIGA 8250,0,1,0.00067708164,False,False,219
2,enpitsu,1,1,0.034551475,False,False,221
3,games5425898691,1,5,0.17112753,True,True,318
4,ADIGA 8250,0,7,0.0037596943,False,False,632
5,killerschnulli18,0,13,0.0067969617,False,False,796
6,enpitsu,1,13,0.00806547,False,False,797
7,killerschnulli18,0,13,0.0056272657,False,False,798
8,enpitsu,1,16,0.0002343947,False,False,863
9,games5425898691,1,17,0.020168219,False,False,907
10,ADIGA 8250,0,18,0.00029578476,False,False,918
11,ADIGA 8250,0,19,0.0007209909,False,False,949
12,ADIGA 8250,0,21,0.011122013,False,False,1000
13,killerschnulli18,0,22,0.0015082483,False,False,1043
14,ADIGA 8250,0,24,0.0005878418,False,False,1101
15,games5425898691,1,24,0.0024588935,False,False,1102
16,games5425898691,1,28,0.0024850161,False,False,1191
17,enpitsu,1,31,0.73503554,True,False,1275
18,killerschnulli18,0,33,0.00015198303,False,False,1349
19,killerschnulli18,0,39,0.010487052,False,False,1503
20,enpitsu,1,41,0.00044731412,False,False,1554
21,games5425898691,1,41,0.00037141997,False,False,1558
22,ADIGA 8250,0,43,0.036782946,True,True,1614
23,killerschnulli18,0,44,0.0012091744,True,False,1904
24,games5425898691,1,44,0.010328421,False,False,1907
25,enpitsu,1,50,0.0089648375,False,False,2067
26,ADIGA 8250,0,55,0.000115642564,False,False,2194
27,enpitsu,1,60,0.00045633133,False,False,2324
28,killerschnulli18,0,60,0.00025441073,False,False,2334
29,killerschnulli18,0,61,0.00064721506,False,False,2372
30,ADIGA 8250,0,65,0.0011027298,False,False,2465
31,games5425898691,1,65,0.0062166387,False,False,2470
32,killerschnulli18,0,67,0.00059032545,False,False,2528
33,games5425898691,1,68,0.007333917,False,False,2565
34,ADIGA 8250,0,71,0.0035972602,False,False,2635
35,enpitsu,1,71,0.022553412,False,False,2636
36,killerschnulli18,0,73,9.8711695e-05,False,False,2693
37,killerschnulli18,0,75,0.00022164387,False,False,2736
38,killerschnulli18,0,76,2.4390509e-05,False,False,2782
39,killerschnulli18,0,77,0.0018025442,False,False,2798
40,killerschnulli18,0,77,0.0018225965,False,False,2812
41,killerschnulli18,0,79,0.013767244,False,False,2849
42,killerschnulli18,0,80,0.05337553,False,False,2872
43,killerschnulli18,0,80,0.032850936,False,False,2887
44,killerschnulli18,0,81,0.04061429,True,False,2903
45,enpitsu,1,81,8.441463e-05,False,False,2910
46,games5425898691,1,84,0.002884232,False,False,3001
47,enpitsu,1,86,0.0050760526,False,False,3060
48,enpitsu,1,89,0.0066781393,False,False,3127
49,enpitsu,1,89,0.000693315,False,False,3140
50,killerschnulli18,0,91,0.013718899,False,False,3175
51,killerschnulli18,0,94,0.022083556,False,False,3270
52,enpitsu,1,98,0.00080817257,False,False,3368
53,killerschnulli18,0,102,0.0038791643,False,False,3486
54,killerschnulli18,0,103,0.70611155,True,True,3517
55,ADIGA 8250,0,104,0.00089680473,False,False,3808
56,killerschnulli18,0,107,0.020961681,False,False,3892
57,enpitsu,1,107,0.20129584,False,False,3895
58,killerschnulli18,0,107,0.021082185,False,False,3896
59,games5425898691,1,111,0.00024254785,False,False,3983
60,games5425898691,1,114,0.008088097,False,False,4083
61,games5425898691,1,117,0.02002534,False,False,4169
62,ADIGA 8250,0,119,0.0033030014,False,False,4220
63,killerschnulli18,0,122,0.02544524,True,False,4291
64,enpitsu,1,124,0.00057173736,False,False,4341
65,games5425898691,1,125,0.00036550636,False,False,4384
66,games5425898691,1,129,0.031225663,False,False,4483
67,ADIGA 8250,0,129,0.007716901,False,False,4484
68,enpitsu,1,133,0.02235778,False,False,4598
69,killerschnulli18,0,136,0.0065006656,False,False,4685
70,games5425898691,1,138,0.0023010122,False,False,4732
71,games5425898691,1,142,0.0002620199,False,False,4855
72,killerschnulli18,0,143,0.05457392,True,False,4862
73,ADIGA 8250,0,148,0.11453375,False,False,5001
