,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,supahot0724,1,0,0.0019871348,False,False,165
1,games5425898691,0,0,0.0449199,False,False,169
2,enpitsu,0,3,0.00023621057,False,False,273
3,games5425898691,0,6,0.0042989613,False,False,357
4,Mashosh,1,7,0.0067610354,False,False,359
5,enpitsu,0,10,0.00025204156,False,False,440
6,games5425898691,0,13,0.039944932,False,False,536
7,enpitsu,0,18,0.46543202,True,True,672
8,Mashosh,1,19,0.0034938697,False,False,956
9,games5425898691,0,19,0.015288985,False,False,958
10,enpitsu,0,25,0.35011807,True,True,1127
11,enpitsu,0,26,0.011468602,False,False,1397
12,Mashosh,1,26,0.021888727,False,False,1399
13,enpitsu,0,29,0.00097118557,False,False,1477
14,enpitsu,0,31,0.021703899,False,False,1525
15,Mashosh,1,32,0.0006233865,False,False,1576
16,games5425898691,0,35,0.0018970924,False,False,1633
17,enpitsu,0,37,0.001481218,False,False,1691
18,games5425898691,0,38,0.014340171,False,False,1721
19,games5425898691,0,40,0.037942167,False,False,1795
20,Mashosh,1,43,0.00012683049,False,False,1879
21,Mashosh,1,44,0.0006095213,False,False,1899
22,games5425898691,0,45,0.033410322,False,False,1908
23,games5425898691,0,47,0.22380581,True,True,1973
24,enpitsu,0,48,0.025507972,True,False,2276
25,Mashosh,1,51,0.0015020058,False,False,2598
26,games5425898691,0,51,0.0006245861,False,False,2599
27,games5425898691,0,51,0.004705821,False,False,2612
28,games5425898691,0,52,0.014550108,False,False,2647
29,games5425898691,0,53,0.010966366,False,False,2666
30,games5425898691,0,54,0.0058898875,False,False,2677
31,games5425898691,0,54,0.027262107,False,False,2698
32,games5425898691,0,55,0.55002546,True,True,2718
33,Mashosh,1,56,0.004562812,True,False,3001
34,games5425898691,0,56,0.0077253557,False,False,3002
35,enpitsu,0,61,0.7068575,True,False,3145
36,games5425898691,0,65,0.016211303,False,False,3252
37,games5425898691,0,68,0.4191995,True,True,3320
38,supahot0724,1,69,0.0021712573,False,False,3594
39,enpitsu,0,70,0.01163618,False,False,3640
40,supahot0724,1,73,0.00024001593,False,False,3712
41,supahot0724,1,76,0.00028075677,False,False,3788
42,supahot0724,1,76,0.0003037795,False,False,3801
43,enpitsu,0,77,0.06721927,False,False,3824
44,games5425898691,0,79,0.080621056,False,False,3865
45,enpitsu,0,81,0.026948003,False,False,3928
46,Mashosh,1,82,0.012214811,False,False,3967
47,Mashosh,1,84,0.039477445,False,False,4006
48,Mashosh,1,85,0.4909537,False,False,4047
49,Mashosh,1,86,0.23580125,True,False,4059
50,games5425898691,0,86,8.456876e-05,False,False,4065
51,Mashosh,1,86,0.32481897,False,False,4067
52,supahot0724,1,89,0.0009787389,False,False,4149
53,supahot0724,1,91,0.009681676,False,False,4193
54,enpitsu,0,93,0.0040314747,False,False,4262
55,games5425898691,0,96,0.009982825,False,False,4329
56,Mashosh,1,97,0.00080531434,False,False,4361
57,games5425898691,0,99,0.0012774257,False,False,4433
58,Mashosh,1,100,0.0004764403,False,False,4463
59,games5425898691,0,101,0.12296645,False,False,4485
60,games5425898691,0,107,0.025354745,False,False,4649
61,enpitsu,0,112,0.38613632,True,False,4781
62,supahot0724,1,112,0.00063253526,False,False,4793
63,games5425898691,0,115,0.0006020023,False,False,4867
64,supahot0724,1,115,0.0004958712,False,False,4869
65,supahot0724,1,119,0.3486121,True,True,4964
66,supahot0724,1,121,0.0024959203,False,False,5264
67,enpitsu,0,121,0.01930374,False,False,5267
68,Mashosh,1,125,0.0015357449,False,False,5377
69,games5425898691,0,128,0.0014665681,False,False,5474
70,enpitsu,0,130,0.013235725,False,False,5522
71,games5425898691,0,133,0.017164977,False,False,5601
72,Mashosh,1,134,0.011740422,False,False,5630
73,enpitsu,0,135,0.0019521093,False,False,5668
74,supahot0724,1,139,0.000107468586,False,False,5770
75,supahot0724,1,140,0.024121301,False,False,5804
76,supahot0724,1,140,0.007915024,False,False,5808
77,games5425898691,0,142,0.008652387,False,False,5859
78,games5425898691,0,149,0.018327339,False,False,6052
79,Mashosh,1,152,0.004747885,False,False,6138
80,games5425898691,0,152,0.21476743,False,False,6139
81,supahot0724,1,158,0.0073351534,False,False,6291
82,supahot0724,1,160,0.2324419,False,False,6348
83,Mashosh,1,163,0.114784524,True,True,6425
84,enpitsu,0,164,0.004985356,False,False,6710
85,supahot0724,1,164,0.0023290662,False,False,6711
86,Mashosh,1,166,0.021457616,False,False,6768
87,Mashosh,1,169,0.04300693,False,False,6855
88,enpitsu,0,169,0.00028582543,False,False,6866
89,games5425898691,0,174,0.008383882,False,False,6992
90,games5425898691,0,176,0.4153266,True,True,7039
91,Mashosh,1,177,0.0045469706,False,False,7331
92,games5425898691,0,177,0.011272061,False,False,7332
93,enpitsu,0,179,0.010354016,False,False,7392
94,games5425898691,0,181,0.0022865443,False,False,7441
95,games5425898691,0,183,0.005658918,False,False,7507
96,enpitsu,0,185,0.092245854,True,False,7548
97,games5425898691,0,186,0.8495416,True,True,7581
