,shot_taker_name,is_orange,time,xg,shot,goal
0,enpitsu,1,0.0,0.01023049,True,False
1,imhyy_,0,1.0,0.0010338145,False,False
2,enpitsu,1,8.0,0.16596422,False,False
3,imhyy_,0,8.0,0.015878173,False,False
4,games5425898691,1,11.0,0.22528467,True,False
5,kuuriz_54,0,13.0,0.0012573256,False,False
6,imhyy_,0,15.0,0.04791336,False,False
7,enpitsu,1,17.0,0.012595803,False,False
8,kuuriz_54,0,21.0,0.00055950665,False,False
9,enpitsu,1,21.0,0.028076166,False,False
10,kuuriz_54,0,24.0,0.0004275336,False,False
11,enpitsu,1,28.0,0.007800259,False,False
12,games5425898691,1,30.0,0.00997179,False,False
13,imhyy_,0,32.0,0.026935335,False,False
14,imhyy_,0,37.0,0.0025482955,False,False
15,kuuriz_54,0,39.0,0.008996586,False,False
16,enpitsu,1,41.0,8.073988e-05,False,False
17,imhyy_,0,44.0,0.02021617,False,False
18,games5425898691,1,47.0,0.0040254365,False,False
19,enpitsu,1,47.0,0.0004764507,False,False
20,games5425898691,1,53.0,0.56032366,False,False
21,imhyy_,0,53.0,9.455878e-05,False,False
22,imhyy_,0,54.0,0.0012140735,False,False
23,imhyy_,0,54.0,0.0071930285,False,False
24,enpitsu,1,54.0,0.4948228,False,False
25,enpitsu,1,60.0,0.0009555098,False,False
26,enpitsu,1,65.0,0.0066788383,False,False
27,imhyy_,0,67.0,0.0004312628,False,False
28,enpitsu,1,68.0,0.0010515768,False,False
29,imhyy_,0,68.0,0.004461375,False,False
30,enpitsu,1,68.0,0.0009463527,False,False
31,games5425898691,1,71.0,0.5883901,False,False
32,enpitsu,1,76.0,0.052404344,False,False
33,enpitsu,1,79.0,0.689055,False,False
34,kuuriz_54,0,83.0,0.05763281,False,False
35,enpitsu,1,85.0,0.09440931,True,False
36,games5425898691,1,88.0,0.79959416,True,True
37,kuuriz_54,0,91.0,0.0021747437,False,False
38,enpitsu,1,96.0,0.0029487312,False,False
39,enpitsu,1,101.0,0.012382338,False,False
40,kuuriz_54,0,102.0,0.0006987266,False,False
41,imhyy_,0,104.0,0.00010296741,False,False
42,enpitsu,1,104.0,0.008323005,False,False
43,imhyy_,0,105.0,0.00023820373,False,False
44,imhyy_,0,107.0,0.31743526,False,False
45,games5425898691,1,109.0,0.00022315513,False,False
46,kuuriz_54,0,111.0,0.35308823,True,True
47,imhyy_,0,112.0,0.0028841016,False,False
48,enpitsu,1,112.0,0.013584776,False,False
49,kuuriz_54,0,116.0,0.00042230953,False,False
50,games5425898691,1,121.0,0.004454068,False,False
51,games5425898691,1,125.0,0.20003274,True,True
52,kuuriz_54,0,127.0,0.010341633,False,False
53,imhyy_,0,130.0,0.033514593,False,True
54,imhyy_,0,133.0,0.0031063966,False,False
55,enpitsu,1,133.0,0.012462622,False,False
56,kuuriz_54,0,137.0,0.0001554557,False,False
57,enpitsu,1,141.0,0.059821818,False,False
58,games5425898691,1,142.0,0.08149669,False,False
59,imhyy_,0,145.0,0.031973522,False,False
60,imhyy_,0,148.0,0.055635147,False,False
61,imhyy_,0,149.0,0.076105125,False,False
62,enpitsu,1,152.0,0.0009714415,False,False
63,imhyy_,0,153.0,0.00016582962,False,False
64,kuuriz_54,0,156.0,0.00030334076,False,False
65,kuuriz_54,0,157.0,0.28361848,False,False
66,games5425898691,1,159.0,0.0013311228,False,False
67,games5425898691,1,162.0,0.037192788,False,False
68,imhyy_,0,165.0,0.005035927,False,False
69,imhyy_,0,169.0,0.005855343,False,False
70,imhyy_,0,169.0,0.003997961,False,False
71,imhyy_,0,171.0,0.014426575,False,False
72,games5425898691,1,173.0,0.00024337272,False,False
73,kuuriz_54,0,176.0,0.00053804176,False,False
74,enpitsu,1,176.0,0.0027483094,False,False
75,kuuriz_54,0,176.0,0.000331411,False,False
76,imhyy_,0,180.0,0.07414566,False,False
77,kuuriz_54,0,185.0,0.12071882,True,True
78,enpitsu,1,187.0,0.002604394,False,False
79,kuuriz_54,0,191.0,0.0036987807,False,False
80,enpitsu,1,194.0,0.012930772,False,False
81,games5425898691,1,197.0,0.005417727,False,False
82,imhyy_,0,197.0,0.0003434329,False,False
83,imhyy_,0,199.0,0.0023072152,False,False
84,enpitsu,1,202.0,0.014302436,False,False
85,kuuriz_54,0,205.0,0.0021889368,False,False
86,enpitsu,1,205.0,0.29052344,False,False
87,games5425898691,1,210.0,4.3990818e-05,False,False
88,kuuriz_54,0,211.0,0.06807594,True,False
89,games5425898691,1,213.0,0.0014554358,False,False
90,games5425898691,1,216.0,0.0020873563,False,False
91,kuuriz_54,0,218.0,0.00029659434,False,False
92,kuuriz_54,0,220.0,0.01719865,False,False
93,games5425898691,1,225.0,0.029844446,False,False
94,games5425898691,1,226.0,0.0020490512,False,False
95,kuuriz_54,0,228.0,0.00018061498,False,False
96,games5425898691,1,230.0,0.0018061118,False,False
97,games5425898691,1,232.0,0.013936707,False,False
98,imhyy_,0,233.0,0.0008506974,False,False
99,imhyy_,0,237.0,0.0012985256,False,False
100,imhyy_,0,239.0,0.0043053813,False,False
101,imhyy_,0,240.0,0.019438958,False,False
102,enpitsu,1,243.0,0.00031153372,False,False
103,enpitsu,1,243.0,0.00033926315,False,False
104,enpitsu,1,245.0,0.00015111583,False,False
105,enpitsu,1,246.0,0.00028468212,False,False
106,kuuriz_54,0,246.0,0.082134806,False,False
107,games5425898691,1,248.0,0.01277034,False,False
108,imhyy_,0,251.0,0.00046341945,False,False
109,imhyy_,0,252.0,0.00030641627,False,False
