,shot_taker_name,is_orange,time,xg,shot,goal
0,ivy,1,0.0,0.0028358207,True,False
1,games5425898691,0,0.0,0.001646653,False,False
2,enpitsu,0,3.0,0.031903006,False,False
3,enpitsu,0,7.0,0.047550455,True,False
4,ivy,1,8.0,0.001221125,False,False
5,enpitsu,0,11.0,0.0008313527,False,False
6,enpitsu,0,14.0,0.003016822,False,False
7,enpitsu,0,17.0,0.0136388615,True,False
8,ivy,1,18.0,0.015551531,False,False
9,games5425898691,0,21.0,0.0067637544,False,False
10,games5425898691,0,23.0,0.016689312,False,False
11,MyTHYQUE,1,23.0,0.012094465,False,False
12,ivy,1,26.0,0.0014719849,False,False
13,enpitsu,0,29.0,0.00081163156,False,False
14,ivy,1,31.0,0.007606395,False,False
15,games5425898691,0,36.0,0.0008251415,False,False
16,MyTHYQUE,1,39.0,0.00064480555,False,False
17,ivy,1,41.0,0.0068132794,False,False
18,ivy,1,45.0,0.036299415,True,False
19,MyTHYQUE,1,49.0,0.00057601026,False,False
20,games5425898691,0,50.0,0.0009984899,False,False
21,games5425898691,0,52.0,0.00091021607,False,False
22,enpitsu,0,54.0,0.13113749,False,False
23,ivy,1,56.0,0.008581363,False,False
24,games5425898691,0,61.0,3.9615235e-05,False,False
25,games5425898691,0,63.0,0.00094872573,False,False
26,games5425898691,0,66.0,0.00026817585,False,False
27,MyTHYQUE,1,68.0,0.0019151843,False,False
28,MyTHYQUE,1,69.0,0.0067873406,False,False
29,enpitsu,0,69.0,0.00024087472,False,False
30,games5425898691,0,71.0,0.0011312433,False,False
31,enpitsu,0,74.0,0.009838465,False,False
32,enpitsu,0,79.0,0.0029751922,False,False
33,enpitsu,0,82.0,0.00025052475,False,False
34,ivy,1,84.0,0.082067765,True,False
35,games5425898691,0,86.0,2.8413102e-05,False,False
36,ivy,1,90.0,0.008718865,False,False
37,MyTHYQUE,1,93.0,0.22071043,True,False
38,enpitsu,0,94.0,0.00056220836,False,False
39,games5425898691,0,96.0,9.253948e-05,False,False
40,games5425898691,0,98.0,5.6073473e-05,False,False
41,games5425898691,0,100.0,0.029651206,False,False
42,MyTHYQUE,1,103.0,0.010411124,False,False
43,MyTHYQUE,1,109.0,0.5857997,False,False
44,games5425898691,0,110.0,3.10945e-05,False,False
45,ivy,1,113.0,0.3918256,True,False
46,games5425898691,0,114.0,0.0074031893,False,False
47,MyTHYQUE,1,116.0,0.02340044,True,False
48,games5425898691,0,121.0,0.008064494,False,False
49,ivy,1,121.0,0.031075917,False,False
50,enpitsu,0,127.0,0.0003589831,False,False
51,MyTHYQUE,1,129.0,0.0047958614,False,False
52,ivy,1,133.0,0.08004659,False,False
53,enpitsu,0,136.0,0.00063611876,False,False
54,games5425898691,0,139.0,0.0005104632,False,False
55,MyTHYQUE,1,141.0,0.025056534,False,False
56,games5425898691,0,146.0,0.00030442458,False,False
57,games5425898691,0,148.0,0.0034297328,False,False
58,games5425898691,0,149.0,0.00033717518,False,False
59,MyTHYQUE,1,149.0,0.08957496,False,False
60,enpitsu,0,152.0,0.00015539049,False,False
61,MyTHYQUE,1,152.0,0.0063804686,False,False
62,ivy,1,154.0,0.00843954,False,False
63,MyTHYQUE,1,161.0,0.49324036,True,True
64,MyTHYQUE,1,161.0,0.0014398812,False,False
65,games5425898691,0,161.0,0.0025190616,False,False
66,MyTHYQUE,1,161.0,0.0007351741,False,False
67,games5425898691,0,161.0,0.005137768,False,False
68,enpitsu,0,168.0,0.03748124,True,False
69,MyTHYQUE,1,169.0,0.00015555741,False,False
70,games5425898691,0,172.0,0.0012529745,False,False
71,ivy,1,175.0,0.00051464257,False,False
72,MyTHYQUE,1,175.0,0.00052766094,False,False
73,ivy,1,175.0,0.010483051,False,False
74,games5425898691,0,177.0,0.017385567,False,False
75,MyTHYQUE,1,178.0,0.00027876857,False,False
76,MyTHYQUE,1,181.0,2.2060902e-05,False,False
77,MyTHYQUE,1,183.0,4.196609e-05,False,False
78,games5425898691,0,183.0,0.0029786245,False,False
79,enpitsu,0,187.0,0.08038587,False,False
80,games5425898691,0,189.0,0.12551874,False,False
81,games5425898691,0,190.0,0.23560946,False,False
82,enpitsu,0,191.0,0.35123184,False,False
83,enpitsu,0,193.0,0.11964227,False,False
84,MyTHYQUE,1,197.0,0.0019781713,False,False
85,ivy,1,201.0,0.28649092,True,False
86,games5425898691,0,202.0,0.00028499658,False,False
87,games5425898691,0,205.0,0.0016389429,False,False
88,games5425898691,0,205.0,0.0013098158,False,False
89,ivy,1,209.0,0.0020280848,False,False
90,ivy,1,213.0,0.0011713336,False,False
91,MyTHYQUE,1,215.0,0.099734895,False,False
92,enpitsu,0,216.0,0.0003170493,False,False
93,enpitsu,0,220.0,0.04982768,False,False
94,games5425898691,0,222.0,0.01856223,False,False
95,enpitsu,0,225.0,0.04798735,True,False
96,ivy,1,225.0,0.0040092515,False,False
97,MyTHYQUE,1,229.0,0.00052173174,False,False
98,MyTHYQUE,1,230.0,0.0054453015,False,False
99,games5425898691,0,230.0,0.0013405177,False,False
100,games5425898691,0,232.0,0.021502,False,False
101,ivy,1,235.0,6.4789056e-05,False,False
102,ivy,1,237.0,0.00018896369,False,False
103,enpitsu,0,241.0,0.00036184816,False,False
104,ivy,1,241.0,0.01832594,False,False
105,enpitsu,0,241.0,0.00014117437,False,False
106,games5425898691,0,243.0,0.0033202337,False,False
107,games5425898691,0,247.0,0.004989506,False,False
108,games5425898691,0,248.0,0.024856618,False,False
109,games5425898691,0,248.0,0.01659457,False,False
110,MyTHYQUE,1,249.0,0.0006799718,False,False
111,MyTHYQUE,1,250.0,0.00021558466,False,False
112,MyTHYQUE,1,252.0,4.0425566e-05,False,False
113,enpitsu,0,252.0,0.004020423,False,False
114,MyTHYQUE,1,252.0,2.7848044e-05,False,False
115,ivy,1,254.0,4.176129e-05,False,False
116,enpitsu,0,256.0,0.01336728,False,False
117,games5425898691,0,258.0,0.053362537,False,False
118,enpitsu,0,261.0,0.0098915,False,False
119,MyTHYQUE,1,262.0,0.111829594,False,True
120,enpitsu,0,266.0,1.0374547e-05,False,False
121,ivy,1,266.0,0.01685448,False,False
122,enpitsu,0,266.0,0.005155657,False,False
123,games5425898691,0,271.0,0.093468204,False,False
124,enpitsu,0,273.0,0.0029990487,False,False
125,enpitsu,0,275.0,0.0024035892,False,False
126,games5425898691,0,278.0,0.01657516,False,False
127,MyTHYQUE,1,279.0,0.000453534,False,False
128,games5425898691,0,281.0,0.0010386152,False,False
129,MyTHYQUE,1,282.0,0.0024543563,False,False
130,enpitsu,0,287.0,0.018081104,False,False
131,MyTHYQUE,1,290.0,0.0039504077,False,False
132,games5425898691,0,292.0,0.004961353,False,False
133,ivy,1,294.0,2.4592939e-05,False,False
134,MyTHYQUE,1,296.0,6.811083e-06,False,False
135,MyTHYQUE,1,298.0,0.008401902,False,False
136,MyTHYQUE,1,300.0,0.0004003996,False,False
137,MyTHYQUE,1,,0.0023017598,False,False
138,MyTHYQUE,1,,0.0058335797,False,False
139,games5425898691,0,,0.006436099,False,False
