,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,JaimeQuint96,1,0,0.0052273683,False,False,166
1,games5425898691,0,0,0.023776138,False,False,169
2,JaimeQuint96,1,0,0.013201387,False,False,170
3,JaimeQuint96,1,3,0.22197539,False,False,259
4,CiJey .-,1,5,0.30166188,False,False,314
5,enpitsu,0,8,0.15531224,False,False,395
6,JaimeQuint96,1,10,0.005070707,False,False,450
7,games5425898691,0,14,0.0035997427,False,False,550
8,games5425898691,0,15,0.00038823596,False,False,589
9,games5425898691,0,16,0.011474632,False,False,609
10,games5425898691,0,16,0.0037711295,False,False,625
11,CiJey .-,1,17,0.049297538,True,False,639
12,enpitsu,0,18,0.02853777,False,False,677
13,games5425898691,0,20,0.010556987,False,False,729
14,JaimeQuint96,1,24,0.00017072019,False,False,841
15,JaimeQuint96,1,26,6.192854e-05,False,False,888
16,CiJey .-,1,26,7.801611e-05,False,False,892
17,CiJey .-,1,29,0.10593225,False,False,976
18,JaimeQuint96,1,31,0.011686184,False,False,1039
19,JaimeQuint96,1,33,0.059477665,False,False,1093
20,CiJey .-,1,37,0.006314389,False,False,1199
21,games5425898691,0,39,0.008197019,False,False,1249
22,JaimeQuint96,1,42,0.00073679985,False,False,1345
23,games5425898691,0,44,0.0276412,False,False,1387
24,CiJey .-,1,46,0.0008276993,False,False,1444
25,enpitsu,0,46,0.08500298,False,False,1447
26,JaimeQuint96,1,50,0.022883384,False,False,1565
27,games5425898691,0,54,0.00032804933,False,False,1671
28,JaimeQuint96,1,58,0.017190278,False,False,1777
29,games5425898691,0,60,0.00021004284,False,False,1827
30,enpitsu,0,62,0.051862076,False,False,1887
31,JaimeQuint96,1,64,0.004412505,False,False,1946
32,enpitsu,0,67,0.6080514,False,False,2028
33,JaimeQuint96,1,69,0.008676015,False,False,2070
34,JaimeQuint96,1,70,0.0035251514,False,False,2100
35,games5425898691,0,70,0.0014028657,False,False,2107
36,CiJey .-,1,73,0.68921876,True,False,2185
37,games5425898691,0,73,0.002613515,False,False,2190
38,games5425898691,0,76,0.0025293315,False,False,2280
39,enpitsu,0,79,0.033125516,False,False,2353
40,JaimeQuint96,1,79,0.025570365,False,False,2356
41,games5425898691,0,85,0.004610879,False,False,2525
42,JaimeQuint96,1,88,0.014177163,False,False,2590
43,JaimeQuint96,1,92,0.60738003,False,False,2705
44,CiJey .-,1,95,0.006369124,False,False,2800
45,games5425898691,0,100,0.0014274822,False,False,2913
46,JaimeQuint96,1,101,0.006401695,False,False,2966
47,games5425898691,0,104,0.0003373818,False,False,3048
48,games5425898691,0,107,0.0024768396,False,False,3110
49,JaimeQuint96,1,108,0.0002971032,False,False,3136
50,CiJey .-,1,109,0.00039154093,False,False,3170
51,CiJey .-,1,111,0.014826118,False,False,3232
52,enpitsu,0,117,0.0003381712,False,False,3402
53,CiJey .-,1,118,0.063391194,False,False,3412
54,JaimeQuint96,1,121,0.11726764,True,False,3506
55,games5425898691,0,122,0.0004093175,False,False,3526
56,games5425898691,0,125,0.00023528631,False,False,3613
57,CiJey .-,1,127,0.053183693,False,False,3658
58,CiJey .-,1,128,0.06081598,False,False,3692
59,games5425898691,0,128,0.0031449595,False,False,3706
60,games5425898691,0,131,0.0053030318,False,False,3778
61,games5425898691,0,133,0.0041133366,False,False,3823
62,JaimeQuint96,1,134,0.0031895968,False,False,3864
63,enpitsu,0,136,0.00042964955,False,False,3926
64,JaimeQuint96,1,138,0.013707684,False,False,3972
65,JaimeQuint96,1,139,0.04872711,False,False,3992
66,JaimeQuint96,1,139,0.09034544,False,False,4004
67,games5425898691,0,140,0.00018806907,False,False,4023
68,CiJey .-,1,144,0.00014694812,False,False,4128
69,games5425898691,0,145,0.17920737,True,True,4163
70,JaimeQuint96,1,146,0.0029122445,False,False,4443
71,enpitsu,0,146,0.0071466216,False,False,4444
72,JaimeQuint96,1,146,0.002757166,False,False,4445
73,games5425898691,0,148,0.015306887,False,False,4504
74,JaimeQuint96,1,155,0.0063523944,False,False,4690
75,games5425898691,0,161,0.00027076944,False,False,4838
76,JaimeQuint96,1,166,0.0062597855,False,False,4998
77,enpitsu,0,168,0.024717804,False,False,5035
78,games5425898691,0,170,0.013102588,False,False,5097
79,CiJey .-,1,171,0.005927241,False,False,5136
80,CiJey .-,1,173,0.3563363,True,False,5186
81,enpitsu,0,175,0.00029614707,False,False,5221
82,JaimeQuint96,1,176,0.47761944,True,True,5258
83,games5425898691,0,177,0.006722247,True,False,5549
84,CiJey .-,1,177,0.0008829474,False,False,5550
85,games5425898691,0,177,0.009055192,False,False,5551
86,JaimeQuint96,1,179,0.10130034,False,False,5615
87,enpitsu,0,183,0.00016145495,False,False,5707
88,enpitsu,0,183,0.00018352801,False,False,5719
89,JaimeQuint96,1,184,0.00095760997,False,False,5740
90,JaimeQuint96,1,187,0.00014663179,False,False,5822
91,JaimeQuint96,1,187,0.0002632067,False,False,5826
92,JaimeQuint96,1,191,0.00010235713,False,False,5921
93,games5425898691,0,192,0.02512168,False,False,5948
94,CiJey .-,1,194,0.018032812,False,False,6011
95,enpitsu,0,194,0.43283552,True,False,6021
96,JaimeQuint96,1,195,0.002743366,False,False,6032
97,CiJey .-,1,200,0.05652204,False,False,6187
98,games5425898691,0,202,0.056935444,False,False,6238
99,JaimeQuint96,1,204,0.025226146,False,False,6301
100,games5425898691,0,207,0.0025905087,False,False,6366
101,JaimeQuint96,1,208,0.17787953,False,False,6405
102,enpitsu,0,212,0.0009820453,False,False,6503
103,games5425898691,0,214,0.009479546,False,False,6566
104,CiJey .-,1,215,0.0016160143,False,False,6593
105,games5425898691,0,217,0.003954667,False,False,6652
