,shot_taker_name,is_orange,time,xg,goal
0,Nigel_OwNz,0,23.0,0.04615705,True
1,Dammer__,0,71.0,0.110262014,True
2,Dammer__,0,112.0,0.830992,True
3,enpitsu,1,139.0,0.06611922,False
4,enpitsu,1,146.0,0.08826773,False
5,games5425898691,1,164.0,0.34832472,True
6,Dammer__,0,187.0,0.24811496,False
7,enpitsu,1,214.0,0.3801756,False
8,Nigel_OwNz,0,222.0,0.7278654,False
9,Dammer__,0,224.0,0.98881966,True
10,games5425898691,1,266.0,0.49686867,True
11,enpitsu,1,289.0,0.74354964,True
12,enpitsu,1,300.0,0.38447008,True
13,games5425898691,1,314.0,0.08562478,False
14,enpitsu,1,318.0,0.5160839,False
15,games5425898691,1,325.0,0.062473636,True
