,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,6,0.01811073,False
1,games5425898691,0,7,0.064684585,False
2,enpitsu,0,10,0.68983275,True
3,enpitsu,0,17,0.6422938,True
4,games5425898691,0,42,0.01429382,True
5,aZù,1,47,0.5009922,False
6,aptalis,1,64,0.915453,True
7,aptalis,1,65,0.003338125,False
8,games5425898691,0,75,0.8171628,True
9,games5425898691,0,85,0.17957273,True
10,aptalis,1,121,0.22829638,True
11,aptalis,1,139,0.7400955,True
12,aZù,1,145,0.018374149,False
13,enpitsu,0,157,0.6126942,False
14,games5425898691,0,160,0.9799288,True
15,games5425898691,0,212,0.6437383,False
