,shot_taker_name,is_orange,time,xg,shot,goal
0,Outer Heaven,0,0,0.0016607028,False,False
1,games5425898691,1,4,0.022352878,True,False
2,Cool boi,0,6,0.00059702713,False,False
3,Outer Heaven,0,9,0.0036486243,False,False
4,enpitsu,1,13,0.00034820603,False,False
5,Cool boi,0,16,0.2977206,True,True
6,Cool boi,0,18,0.0014141762,False,False
7,enpitsu,1,18,0.007048858,True,False
8,Cool boi,0,18,0.00083187886,False,False
9,Outer Heaven,0,19,0.016691355,False,False
10,Outer Heaven,0,24,0.08954417,False,False
11,enpitsu,1,26,0.0001479084,False,False
12,games5425898691,1,30,0.0054834466,False,False
13,Cool boi,0,32,0.015896393,False,False
14,Outer Heaven,0,37,0.12563543,False,False
15,enpitsu,1,37,0.0020011703,False,False
16,enpitsu,1,39,0.0002353534,False,False
17,Outer Heaven,0,45,0.0006858348,False,False
18,games5425898691,1,47,0.00021639545,False,False
19,Cool boi,0,49,0.002689493,False,False
20,games5425898691,1,52,0.00073088147,False,False
21,games5425898691,1,57,0.007153378,False,False
22,Cool boi,0,59,0.0029872623,False,False
23,Cool boi,0,60,0.0006460586,False,False
24,Cool boi,0,60,0.0006646582,False,False
25,games5425898691,1,61,0.0010516805,False,False
26,games5425898691,1,64,0.004747335,False,False
27,Outer Heaven,0,66,6.355127e-05,False,False
28,enpitsu,1,68,0.05625543,False,False
29,Outer Heaven,0,68,0.0010433949,False,False
30,Cool boi,0,70,0.011278983,False,False
31,Cool boi,0,75,0.0012889906,False,False
32,Outer Heaven,0,77,0.424368,True,False
33,games5425898691,1,77,0.000895555,False,False
34,Cool boi,0,80,0.013721416,False,False
35,Outer Heaven,0,82,0.007606849,False,False
36,enpitsu,1,84,0.00013099144,False,False
37,Outer Heaven,0,85,0.2036311,False,False
38,Cool boi,0,87,0.6845286,True,True
39,games5425898691,1,88,0.0025917066,False,False
40,Cool boi,0,89,0.0024111234,False,False
41,Cool boi,0,91,0.16978103,False,False
42,games5425898691,1,92,0.0019504125,False,False
43,Outer Heaven,0,95,0.011513656,False,False
44,enpitsu,1,97,0.012443997,False,False
45,Cool boi,0,99,0.0012043385,False,False
46,enpitsu,1,101,0.020949516,True,False
47,Outer Heaven,0,102,0.0025395898,False,False
48,Cool boi,0,104,0.00069351355,False,False
49,enpitsu,1,107,0.001700601,False,False
50,Cool boi,0,109,0.015294293,False,False
51,Outer Heaven,0,112,0.010672445,False,False
52,Outer Heaven,0,118,0.06291765,False,False
53,enpitsu,1,120,0.0025462515,False,False
54,enpitsu,1,124,0.0014305449,False,False
55,Cool boi,0,124,0.0116832,False,False
56,Outer Heaven,0,126,0.00065291114,False,False
57,Cool boi,0,131,0.003632342,False,False
58,enpitsu,1,135,0.0020675675,False,False
59,enpitsu,1,137,0.02992106,False,False
60,Cool boi,0,138,0.0003426998,False,False
61,enpitsu,1,142,0.0043313806,False,False
62,games5425898691,1,144,0.06823207,False,False
63,Cool boi,0,144,0.00012697619,False,False
64,enpitsu,1,147,0.008330475,False,False
65,Outer Heaven,0,148,0.0018726705,False,False
66,enpitsu,1,151,0.0007587236,False,False
67,enpitsu,1,152,0.0007585786,False,False
68,Outer Heaven,0,152,9.9940895e-05,False,False
69,Cool boi,0,155,0.000100974125,False,False
70,Cool boi,0,155,0.00037793556,False,False
71,Cool boi,0,156,0.0002826303,False,False
72,games5425898691,1,156,0.0018751374,False,False
73,enpitsu,1,158,0.6254867,True,True
74,Outer Heaven,0,159,0.0010968513,False,False
75,games5425898691,1,159,0.0021287703,False,False
76,Cool boi,0,163,0.00093191565,False,False
77,games5425898691,1,166,0.005022527,False,False
78,Cool boi,0,169,0.0009949356,False,False
79,enpitsu,1,172,0.0028020514,False,False
80,enpitsu,1,174,0.08588465,True,False
81,Cool boi,0,175,0.020407395,False,False
