,shot_taker_name,is_orange,time,xg,shot,goal
0,taykow.fn,0,0,0.001587219,True,False
1,enpitsu,1,0,0.0032129392,False,False
2,ASH_SMURF_EU,0,3,0.00017547548,False,False
3,ASH_SMURF_EU,0,5,0.00046773223,False,False
4,ASH_SMURF_EU,0,7,0.0011817912,False,False
5,ASH_SMURF_EU,0,9,0.0056490395,False,False
6,ASH_SMURF_EU,0,14,0.014811644,False,False
7,games5425898691,1,14,0.00019263373,False,False
8,enpitsu,1,17,0.0008406114,False,False
9,taykow.fn,0,17,0.096997574,False,False
10,games5425898691,1,19,0.01798434,False,False
11,taykow.fn,0,23,8.019033e-05,False,False
12,taykow.fn,0,24,0.00016546193,False,False
13,taykow.fn,0,24,0.00015381387,False,False
14,taykow.fn,0,25,0.0001797964,False,False
15,taykow.fn,0,25,0.000106436375,False,False
16,ASH_SMURF_EU,0,26,0.0010094575,False,False
17,taykow.fn,0,27,0.00036529265,False,False
18,taykow.fn,0,31,0.0015645042,False,False
19,enpitsu,1,33,0.0011720625,False,False
20,ASH_SMURF_EU,0,36,0.00040968502,False,False
21,enpitsu,1,41,0.017778141,False,False
22,enpitsu,1,43,0.0021657764,False,False
23,taykow.fn,0,44,0.0017942805,False,False
24,enpitsu,1,45,0.004630472,False,False
25,taykow.fn,0,49,0.00019912313,False,False
26,taykow.fn,0,55,0.0023390662,False,False
27,games5425898691,1,57,0.004081075,False,False
28,taykow.fn,0,62,0.00035458844,False,False
29,enpitsu,1,67,0.011031504,False,False
30,ASH_SMURF_EU,0,67,0.0013492717,False,False
31,games5425898691,1,70,0.0010142863,False,False
32,enpitsu,1,70,0.00013337053,False,False
33,games5425898691,1,72,0.00968035,False,False
34,enpitsu,1,75,0.30863315,True,False
35,ASH_SMURF_EU,0,75,0.0004430144,False,False
36,ASH_SMURF_EU,0,77,0.00014158932,False,False
37,taykow.fn,0,78,0.00019787076,False,False
38,ASH_SMURF_EU,0,79,0.0016845664,False,False
39,ASH_SMURF_EU,0,79,0.0012369462,False,False
40,ASH_SMURF_EU,0,80,0.00092859677,False,False
41,taykow.fn,0,80,0.03471219,False,False
42,taykow.fn,0,80,0.042748533,False,False
43,taykow.fn,0,81,0.0012565887,False,False
44,taykow.fn,0,82,0.048587322,False,False
45,taykow.fn,0,82,0.106354445,False,False
46,taykow.fn,0,82,0.106354445,False,False
47,enpitsu,1,83,0.00024908714,False,False
48,ASH_SMURF_EU,0,88,0.020969657,False,False
49,games5425898691,1,90,0.0064095003,False,False
50,taykow.fn,0,93,0.00019791682,False,False
51,enpitsu,1,96,0.0013096536,False,False
52,taykow.fn,0,97,0.00044312383,False,False
53,ASH_SMURF_EU,0,100,0.0037680406,False,False
54,ASH_SMURF_EU,0,101,0.03427497,False,False
55,games5425898691,1,103,0.00035102456,False,False
56,games5425898691,1,106,0.11709182,False,False
57,taykow.fn,0,108,5.6576217e-05,False,False
58,taykow.fn,0,113,0.00044035056,False,False
59,taykow.fn,0,115,0.00081541535,False,False
60,games5425898691,1,117,0.004447252,False,False
61,taykow.fn,0,123,0.000107511834,False,False
62,games5425898691,1,125,0.0058216928,False,False
63,games5425898691,1,129,0.0010552288,False,False
64,ASH_SMURF_EU,0,130,0.0017426667,False,False
65,taykow.fn,0,132,0.030471224,False,False
66,ASH_SMURF_EU,0,135,0.050866164,False,False
67,taykow.fn,0,137,0.296695,False,False
68,enpitsu,1,140,0.0010249902,False,False
69,enpitsu,1,146,0.019649565,False,False
70,ASH_SMURF_EU,0,146,0.000776421,False,False
71,games5425898691,1,147,0.12783885,True,False
72,taykow.fn,0,148,0.00017436036,False,False
73,taykow.fn,0,151,0.02584618,False,False
74,taykow.fn,0,152,0.003715381,False,False
75,taykow.fn,0,152,0.014992274,False,False
