,shot_taker_name,is_orange,time,xg,goal
0,JeànPastaga,1,3.0,0.6237866,True
1,games5425898691,0,16.0,0.7451678,True
2,enpitsu,0,61.0,0.5062219,False
3,FNC Jade,1,72.0,0.39442992,True
4,FNC Jade,1,161.0,0.52013165,True
5,JeànPastaga,1,163.0,0.003554466,False
6,enpitsu,0,171.0,0.15058163,False
7,games5425898691,0,187.0,0.81074136,True
8,JeànPastaga,1,188.0,0.0032357941,False
9,JeànPastaga,1,201.0,0.4576918,False
10,FNC Jade,1,218.0,0.23974542,True
11,enpitsu,0,231.0,0.6810894,False
12,enpitsu,0,256.0,0.701534,True
