,shot_taker_name,is_orange,time,xg,shot,goal
0,Stiver,0,0,0.0016745364,True,False
1,games5425898691,1,0,0.003086317,False,False
2,enpitsu,1,7,0.014405403,False,False
3,Stiver,0,9,0.00044865615,False,False
4,enpitsu,1,12,0.0018916244,False,False
5,squishy_is_op,0,12,0.0004459594,False,False
6,Stiver,0,14,0.0005874696,False,False
7,squishy_is_op,0,16,0.0018256302,True,False
8,games5425898691,1,18,0.00017812126,False,False
9,games5425898691,1,24,0.0065033976,True,False
10,Stiver,0,26,0.00031467967,False,False
11,Stiver,0,29,0.0017208182,False,False
12,Stiver,0,31,0.036426432,False,False
13,enpitsu,1,34,0.01073014,False,False
14,enpitsu,1,38,0.4289742,True,True
15,enpitsu,1,39,0.0013366,False,False
16,Stiver,0,47,0.0001326008,False,False
17,Stiver,0,47,0.00026742773,False,False
18,Stiver,0,48,0.0029836104,False,False
19,Stiver,0,49,0.005381953,False,False
20,Stiver,0,53,0.00046150116,False,False
21,squishy_is_op,0,56,0.0196115,True,False
22,enpitsu,1,56,0.039763186,False,False
23,squishy_is_op,0,60,0.71256304,False,False
24,Stiver,0,61,0.025713796,False,False
25,games5425898691,1,63,0.013936169,False,False
26,enpitsu,1,66,0.021132696,False,False
27,Stiver,0,66,0.0010315139,False,False
28,enpitsu,1,66,0.026179343,False,False
29,games5425898691,1,69,0.11199354,True,False
30,games5425898691,1,70,0.29182515,True,True
31,squishy_is_op,0,70,0.0035125532,False,False
32,enpitsu,1,74,0.0016463294,False,False
33,Stiver,0,76,0.0007773249,False,False
34,Stiver,0,77,0.004656971,False,False
35,Stiver,0,81,0.00455063,False,False
36,enpitsu,1,83,0.0005713266,False,False
37,enpitsu,1,86,0.012737354,False,False
38,enpitsu,1,89,0.13473319,True,False
39,enpitsu,1,89,0.20210938,True,True
40,Stiver,0,90,0.0013814028,False,False
41,enpitsu,1,90,0.0004983532,False,False
42,squishy_is_op,0,94,0.030939681,False,False
43,enpitsu,1,99,0.00017252665,False,False
44,Stiver,0,102,0.0010798933,False,False
45,games5425898691,1,102,0.006623683,False,False
46,Stiver,0,104,0.0016181091,False,False
47,Stiver,0,105,0.00452719,False,False
48,Stiver,0,106,0.014770634,False,False
49,Stiver,0,106,0.017382814,False,False
50,Stiver,0,106,0.031080823,False,False
51,Stiver,0,107,0.038807634,False,False
52,Stiver,0,108,0.023696365,False,False
53,Stiver,0,108,0.011441841,False,False
54,Stiver,0,108,0.05900661,False,False
55,Stiver,0,109,0.010522748,False,False
56,squishy_is_op,0,111,0.0066989055,False,False
57,enpitsu,1,111,0.0009559582,False,False
58,enpitsu,1,115,0.066971585,True,False
59,Stiver,0,115,0.00077795296,False,False
60,games5425898691,1,117,0.005211676,False,False
61,games5425898691,1,119,0.0008012456,False,False
62,squishy_is_op,0,120,0.022967942,False,False
63,Stiver,0,122,0.0053522196,False,False
64,Stiver,0,123,0.00848187,False,False
65,Stiver,0,124,0.3412196,True,False
66,Stiver,0,125,0.13440895,True,False
67,enpitsu,1,125,0.0006884627,False,False
68,games5425898691,1,127,0.067407414,True,True
69,squishy_is_op,0,130,0.0021296144,False,False
70,games5425898691,1,130,0.0017702819,False,False
71,Stiver,0,135,0.00011154943,False,False
72,Stiver,0,137,7.6498e-05,False,False
73,games5425898691,1,139,0.004193129,False,False
74,Stiver,0,139,0.0029710706,False,False
75,squishy_is_op,0,142,0.0004601179,False,False
76,enpitsu,1,146,0.010394866,False,False
77,Stiver,0,147,0.00026976244,False,False
78,squishy_is_op,0,151,0.0058738887,False,False
79,games5425898691,1,152,0.000434926,False,False
80,enpitsu,1,157,0.0004909128,False,False
81,enpitsu,1,157,0.00023939589,False,False
82,enpitsu,1,158,0.002161641,False,False
83,games5425898691,1,159,0.0033824167,False,False
84,Stiver,0,163,5.0207887e-05,False,False
85,enpitsu,1,167,0.0026221466,False,False
86,Stiver,0,170,0.0005216671,False,False
87,games5425898691,1,171,0.25527564,False,False
88,squishy_is_op,0,173,0.012039501,False,False
89,enpitsu,1,175,0.0036583499,False,False
90,games5425898691,1,179,0.49440038,False,False
91,games5425898691,1,180,0.8331602,True,True
92,squishy_is_op,0,180,0.0024261407,False,False
93,games5425898691,1,180,0.002873185,False,False
94,games5425898691,1,186,0.00095521397,False,False
95,Stiver,0,187,0.008872206,False,False
96,Stiver,0,189,0.003050096,False,False
97,Stiver,0,190,0.18714786,True,False
98,Stiver,0,191,0.70296246,True,True
99,enpitsu,1,192,0.0017263909,False,False
100,squishy_is_op,0,196,0.3136411,False,False
101,games5425898691,1,198,0.01894406,False,False
102,Stiver,0,202,0.0001191968,False,False
103,games5425898691,1,203,0.003910005,False,False
104,squishy_is_op,0,206,0.0040635923,False,False
105,enpitsu,1,206,0.4455696,False,False
106,Stiver,0,209,0.0005433386,False,False
107,Stiver,0,211,0.042081982,False,False
108,enpitsu,1,212,0.00013064218,False,False
109,enpitsu,1,214,0.000983708,False,False
110,games5425898691,1,217,0.17170757,True,True
