,shot_taker_name,is_orange,time,xg,shot,goal
0,enpitsu,1,0,0.0041702976,True,False
1,cyris.ES,0,1,0.012009784,False,False
2,DaFake,0,4,0.083968826,True,True
3,cyris.ES,0,6,0.0018477893,False,False
4,games5425898691,1,6,0.0019509661,False,False
5,enpitsu,1,10,0.0058894604,True,False
6,DaFake,0,11,0.0004216175,False,False
7,cyris.ES,0,14,7.324918e-05,False,False
8,cyris.ES,0,16,0.0054272832,False,False
9,cyris.ES,0,18,0.0012002587,False,False
10,cyris.ES,0,19,0.0021815049,False,False
11,cyris.ES,0,20,0.14481325,True,False
12,enpitsu,1,22,0.000115088886,False,False
13,DaFake,0,25,0.017892139,False,False
14,games5425898691,1,27,0.0013727759,False,False
15,cyris.ES,0,30,0.0025783696,False,False
16,games5425898691,1,31,0.006423965,False,False
17,DaFake,0,34,4.269504e-05,False,False
18,cyris.ES,0,37,0.00020085667,False,False
19,cyris.ES,0,40,0.0005210628,False,False
20,cyris.ES,0,41,0.0003947653,False,False
21,cyris.ES,0,42,0.0029297557,False,False
22,cyris.ES,0,44,0.00056869787,False,False
23,enpitsu,1,47,0.0023660394,False,False
24,DaFake,0,50,3.332613e-05,False,False
25,DaFake,0,51,0.0010642658,False,False
26,DaFake,0,53,0.00018906027,False,False
27,enpitsu,1,54,0.007932551,False,False
28,enpitsu,1,54,0.0015338172,False,False
29,games5425898691,1,56,0.0469285,False,False
30,DaFake,0,59,0.002712838,False,False
31,DaFake,0,60,0.00038939837,False,False
32,DaFake,0,62,0.003542091,False,False
33,games5425898691,1,66,0.06371725,False,False
34,cyris.ES,0,70,0.0026395794,False,False
35,cyris.ES,0,71,0.00085313426,False,False
36,cyris.ES,0,72,0.00027797927,False,False
37,games5425898691,1,72,0.00093764736,False,False
38,DaFake,0,76,0.0690967,False,False
39,enpitsu,1,78,0.0065336665,False,False
40,cyris.ES,0,79,0.007377162,False,False
41,cyris.ES,0,82,0.00089008,False,False
42,games5425898691,1,84,0.002065834,False,False
43,games5425898691,1,87,0.005289431,False,False
44,enpitsu,1,89,0.0775044,False,False
45,enpitsu,1,93,0.7657858,True,True
46,enpitsu,1,94,0.0037474814,False,False
47,enpitsu,1,97,0.08647283,False,False
48,cyris.ES,0,102,0.00078419916,False,False
49,DaFake,0,104,0.00068170816,False,False
50,DaFake,0,104,0.028511668,False,False
51,DaFake,0,104,0.008850329,False,False
52,DaFake,0,105,0.0036409015,False,False
53,enpitsu,1,106,0.001493069,False,False
54,cyris.ES,0,106,0.017262885,False,False
55,cyris.ES,0,109,0.00050240615,False,False
56,cyris.ES,0,112,0.13345638,False,False
57,games5425898691,1,114,0.00094881747,False,False
58,cyris.ES,0,114,0.14016768,False,False
59,enpitsu,1,116,0.0034010054,False,False
60,games5425898691,1,120,0.09965608,True,False
61,games5425898691,1,121,0.22311884,True,True
62,cyris.ES,0,122,0.0038404583,True,False
63,games5425898691,1,122,0.015653042,False,False
64,enpitsu,1,125,0.3663295,False,False
65,games5425898691,1,128,0.0005609024,False,False
66,cyris.ES,0,130,0.00024051947,False,False
67,DaFake,0,133,0.0060444907,False,False
68,enpitsu,1,136,0.03689383,False,False
69,enpitsu,1,140,0.5765999,True,True
70,DaFake,0,141,0.0031752882,False,False
71,cyris.ES,0,146,0.010504821,False,False
72,games5425898691,1,149,5.456731e-05,False,False
73,DaFake,0,151,0.074598424,False,False
74,games5425898691,1,153,0.0772514,True,False
75,cyris.ES,0,155,0.00067877374,False,False
76,games5425898691,1,159,0.00053863466,False,False
77,cyris.ES,0,161,0.006882128,False,False
78,games5425898691,1,162,0.0016321571,False,False
79,games5425898691,1,163,0.011599062,False,False
80,DaFake,0,164,0.0014406102,False,False
81,DaFake,0,165,0.0008766025,False,False
82,DaFake,0,165,0.00039490697,False,False
83,DaFake,0,166,0.00022054474,False,False
84,DaFake,0,167,0.00096139783,False,False
85,DaFake,0,169,0.001423624,False,False
86,games5425898691,1,171,0.021893088,True,True
87,cyris.ES,0,173,0.00045220036,False,False
88,DaFake,0,173,0.00041852688,False,False
89,DaFake,0,174,0.0013695373,False,False
90,enpitsu,1,175,0.0017233831,False,False
91,enpitsu,1,176,0.00035585937,False,False
92,enpitsu,1,176,0.005476033,False,False
93,enpitsu,1,178,0.012648778,False,False
94,enpitsu,1,178,0.12974203,False,False
95,cyris.ES,0,179,0.00032164992,False,False
96,enpitsu,1,179,0.16943198,False,False
97,cyris.ES,0,179,0.00016021778,False,False
98,DaFake,0,181,0.00041433529,False,False
99,games5425898691,1,182,0.0054651136,False,False
100,enpitsu,1,185,0.0047005354,False,False
101,enpitsu,1,188,0.0004228985,False,False
102,DaFake,0,189,3.569735e-05,False,False
103,DaFake,0,189,0.00046680516,False,False
104,cyris.ES,0,193,0.008892053,False,False
105,games5425898691,1,195,0.000432807,False,False
106,cyris.ES,0,196,0.05360346,False,False
107,games5425898691,1,200,0.0012988212,False,False
108,DaFake,0,203,0.00029456287,False,False
109,DaFake,0,204,0.0015441183,False,False
110,cyris.ES,0,207,0.7624286,True,True
111,cyris.ES,0,208,0.0032726964,False,False
112,games5425898691,1,208,0.0030870524,False,False
113,DaFake,0,213,0.0011810558,False,False
114,DaFake,0,216,0.0007125492,False,False
115,DaFake,0,217,0.0013747338,False,False
116,enpitsu,1,217,0.000119754804,False,False
117,DaFake,0,218,0.00021243619,False,False
118,enpitsu,1,221,0.011131703,False,False
119,DaFake,0,223,0.00025534656,False,False
120,DaFake,0,224,0.0059327367,False,False
121,DaFake,0,228,0.0005740525,False,False
122,DaFake,0,229,0.0071308487,False,False
123,games5425898691,1,231,0.0005450649,False,False
124,cyris.ES,0,234,0.00025456722,False,False
125,cyris.ES,0,235,0.0004447582,False,False
126,DaFake,0,238,0.04791024,False,False
127,enpitsu,1,241,0.00015723298,False,False
128,games5425898691,1,243,0.013553738,False,False
