,shot_taker_name,is_orange,time,xg,goal
0,TerraMW,0,12.0,0.41406032,True
1,TerraMW,0,26.0,0.72756714,True
2,TerraMW,0,31.0,0.59891415,False
3,games5425898691,1,43.0,0.12447107,True
4,games5425898691,1,44.0,0.011661455,False
5,games5425898691,1,49.0,0.04449319,False
6,TerraMW,0,61.0,0.79655176,True
7,enpitsu,1,86.0,0.7571095,True
8,enpitsu,1,86.0,0.0063884454,False
9,:(,0,101.0,0.5698599,False
10,:(,0,112.0,0.07448398,False
11,enpitsu,1,149.0,0.25450793,False
12,TerraMW,0,181.0,0.0017263456,False
13,:(,0,213.0,0.8531634,True
14,games5425898691,1,218.0,0.71536607,True
15,TerraMW,0,222.0,0.36091873,False
16,:(,0,226.0,0.29368445,False
17,games5425898691,1,247.0,0.43504748,True
18,enpitsu,1,261.0,0.13634531,True
19,:(,0,300.0,0.6774513,True
