,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,Advenger31,1,0.0,0.004772076,True,False,178
1,enpitsu,0,1.0,0.00031933904,False,False,226
2,Bibz,1,4.0,0.10966065,True,False,314
3,games5425898691,0,5.0,0.019767772,False,False,316
4,Advenger31,1,9.0,0.00089690083,False,False,427
5,enpitsu,0,11.0,0.0015131776,False,False,506
6,enpitsu,0,15.0,0.10319921,False,False,599
7,games5425898691,0,17.0,0.05856598,False,False,649
8,Advenger31,1,19.0,0.00015190421,False,False,713
9,Advenger31,1,22.0,0.03849743,False,False,791
10,enpitsu,0,25.0,0.002902,False,False,885
11,enpitsu,0,28.0,0.007047616,False,False,970
12,enpitsu,0,32.0,0.016928684,False,False,1058
13,Bibz,1,33.0,0.029366141,False,False,1102
14,Bibz,1,38.0,0.048150405,False,False,1227
15,Advenger31,1,40.0,0.021498138,True,False,1295
16,enpitsu,0,42.0,0.00016298922,False,False,1337
17,Bibz,1,44.0,0.026550828,False,False,1411
18,Bibz,1,46.0,0.11823459,False,False,1464
19,enpitsu,0,52.0,0.00026997906,False,False,1614
20,enpitsu,0,52.0,0.005273604,False,False,1630
21,Advenger31,1,53.0,0.047998607,False,False,1641
22,Advenger31,1,56.0,0.3880324,False,False,1717
23,Bibz,1,58.0,0.00034472137,False,False,1798
24,enpitsu,0,61.0,0.05614106,False,False,1865
25,Advenger31,1,64.0,0.00012845107,False,False,1942
26,games5425898691,0,66.0,0.29156142,True,False,1996
27,enpitsu,0,68.0,0.005430223,False,False,2055
28,Bibz,1,72.0,0.02625132,False,False,2177
29,games5425898691,0,74.0,0.0011745564,False,False,2224
30,games5425898691,0,78.0,7.283641e-05,False,False,2327
31,enpitsu,0,79.0,0.0009982217,False,False,2369
32,Advenger31,1,81.0,0.004445215,False,False,2420
33,enpitsu,0,81.0,0.007488827,False,False,2421
34,Advenger31,1,81.0,0.010615512,False,False,2422
35,games5425898691,0,84.0,0.0001689681,False,False,2511
36,Bibz,1,91.0,0.00020184922,False,False,2692
37,games5425898691,0,92.0,0.0022112317,False,False,2720
38,enpitsu,0,96.0,0.3619011,False,False,2827
39,games5425898691,0,99.0,0.0015803117,False,False,2922
40,Advenger31,1,103.0,0.00064984686,False,False,3011
41,Advenger31,1,103.0,0.00022881625,False,False,3024
42,Advenger31,1,105.0,0.0010678621,False,False,3075
43,Advenger31,1,107.0,6.796097e-05,False,False,3126
44,Bibz,1,108.0,0.000638564,False,False,3163
45,enpitsu,0,108.0,0.002332244,False,False,3167
46,Advenger31,1,111.0,0.060178697,False,False,3233
47,Bibz,1,114.0,0.61117536,True,True,3326
48,Bibz,1,115.0,0.0015336281,True,False,3594
49,games5425898691,0,115.0,0.010727484,False,False,3596
50,enpitsu,0,121.0,0.22692329,True,False,3766
51,Advenger31,1,121.0,0.005472453,False,False,3767
52,enpitsu,0,121.0,0.33714488,False,False,3769
53,games5425898691,0,125.0,0.13052258,True,False,3876
54,Bibz,1,125.0,0.0014228481,False,False,3878
55,games5425898691,0,125.0,0.011229981,False,False,3887
56,games5425898691,0,126.0,0.009679367,False,False,3902
57,games5425898691,0,127.0,0.002193764,False,False,3923
58,Advenger31,1,127.0,0.006796878,False,False,3934
59,games5425898691,0,127.0,0.0043214965,False,False,3936
60,Bibz,1,129.0,5.448105e-05,False,False,3988
61,Bibz,1,131.0,0.0050450866,False,False,4040
62,Bibz,1,134.0,0.010153772,False,False,4116
63,Bibz,1,140.0,0.00016653712,False,False,4277
64,Bibz,1,141.0,6.112672e-05,False,False,4306
65,Bibz,1,142.0,0.00023288147,False,False,4331
66,games5425898691,0,142.0,0.0016860684,False,False,4332
67,Advenger31,1,144.0,0.00024581156,False,False,4407
68,Advenger31,1,147.0,0.009249874,False,False,4478
69,enpitsu,0,148.0,0.011919407,False,False,4508
70,Bibz,1,151.0,4.2716707e-05,False,False,4584
71,enpitsu,0,151.0,0.009557892,False,False,4586
72,Bibz,1,154.0,0.010088896,False,False,4677
73,enpitsu,0,156.0,0.0013962634,False,False,4733
74,Advenger31,1,158.0,0.014029781,False,False,4777
75,games5425898691,0,160.0,0.017968297,False,False,4843
76,Bibz,1,164.0,0.034591176,False,False,4962
77,Advenger31,1,167.0,0.2950316,True,False,5037
78,games5425898691,0,171.0,0.0052386206,False,False,5147
79,games5425898691,0,173.0,0.02228976,False,False,5210
80,games5425898691,0,177.0,0.14118649,True,False,5298
