,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,1,0,0.0043221037,False,False,169
1,CoYoTeSB99,0,1,0.001996938,False,False,212
2,CoYoTeSB99,0,2,0.011385375,False,False,245
3,CoYoTeSB99,0,3,0.6950178,False,False,279
4,CoYoTeSB99,0,4,0.24151695,False,False,292
5,games5425898691,1,5,0.029615497,False,False,317
6,games5425898691,1,9,0.014107689,False,False,436
7,games5425898691,1,11,0.019697014,False,False,478
8,Kiyûmi,0,12,0.011426905,False,False,514
9,enpitsu,1,14,0.0047545456,False,False,564
10,enpitsu,1,17,0.00445009,False,False,658
11,enpitsu,1,19,0.13038297,False,False,703
12,CoYoTeSB99,0,24,0.0034123978,False,False,853
13,CoYoTeSB99,0,28,0.07167452,False,False,956
14,enpitsu,1,32,0.00022981262,False,False,1057
15,Kiyûmi,0,32,0.0015780847,False,False,1061
16,enpitsu,1,32,0.0001873896,False,False,1063
17,games5425898691,1,35,0.86619264,True,True,1157
18,CoYoTeSB99,0,37,0.0036633534,False,False,1462
19,games5425898691,1,37,0.010092058,False,False,1463
20,enpitsu,1,43,0.00041603396,False,False,1616
21,games5425898691,1,44,0.0039422787,False,False,1638
22,Kiyûmi,0,46,0.008578771,False,False,1691
23,Kiyûmi,0,46,0.013189788,False,False,1699
24,games5425898691,1,48,0.00018741265,False,False,1745
25,games5425898691,1,49,0.027095353,False,False,1785
26,CoYoTeSB99,0,50,0.007653878,False,False,1808
27,games5425898691,1,50,0.019363843,False,False,1813
28,Kiyûmi,0,54,0.0010031912,False,False,1930
29,CoYoTeSB99,0,59,0.0098864725,False,False,2054
30,CoYoTeSB99,0,60,0.14543815,False,False,2097
31,games5425898691,1,64,0.0010853151,False,False,2202
32,Kiyûmi,0,66,0.0034342145,False,False,2253
33,games5425898691,1,66,0.098727904,False,False,2255
34,enpitsu,1,71,0.0006511419,False,False,2399
35,CoYoTeSB99,0,71,0.062895596,False,False,2401
36,Kiyûmi,0,76,0.24839938,False,False,2524
37,enpitsu,1,78,0.005529039,False,False,2583
38,enpitsu,1,81,0.0030949912,False,False,2676
39,CoYoTeSB99,0,82,0.080338284,False,False,2680
40,enpitsu,1,82,0.0006983132,False,False,2681
41,games5425898691,1,85,0.1574178,False,False,2785
42,Kiyûmi,0,89,0.009377455,False,False,2871
43,enpitsu,1,90,0.6063229,True,True,2922
44,CoYoTeSB99,0,92,0.0036357294,False,False,3216
45,games5425898691,1,92,0.0055354587,False,False,3218
46,games5425898691,1,97,0.008573921,False,False,3355
47,CoYoTeSB99,0,98,0.0008608744,False,False,3397
48,CoYoTeSB99,0,102,0.0031493772,False,False,3493
49,games5425898691,1,102,0.0044099563,False,False,3495
50,CoYoTeSB99,0,102,0.002561865,False,False,3496
51,games5425898691,1,102,0.00862813,False,False,3497
52,enpitsu,1,105,0.037743546,False,False,3585
53,games5425898691,1,107,0.21684125,True,True,3640
54,CoYoTeSB99,0,108,0.0012213867,False,False,3917
55,games5425898691,1,108,0.0062608477,False,False,3920
56,Kiyûmi,0,112,0.0018223893,False,False,4030
57,games5425898691,1,118,0.037574384,False,False,4181
58,Kiyûmi,0,121,0.0004852532,False,False,4272
59,CoYoTeSB99,0,124,0.0023716558,False,False,4351
60,enpitsu,1,125,0.0555679,False,False,4392
61,enpitsu,1,128,0.3716235,True,True,4471
62,CoYoTeSB99,0,129,0.009600267,False,False,4746
63,games5425898691,1,129,0.022009565,False,False,4749
64,games5425898691,1,132,0.0045878277,False,False,4827
65,games5425898691,1,138,0.01022488,True,False,5004
66,games5425898691,1,139,0.08875652,True,False,5020
67,CoYoTeSB99,0,139,0.027976168,False,False,5030
68,enpitsu,1,143,0.0003296052,False,False,5131
69,enpitsu,1,145,0.0002134931,False,False,5188
70,games5425898691,1,147,0.000109038956,False,False,5240
71,games5425898691,1,148,0.0022404513,False,False,5269
72,games5425898691,1,151,0.029549181,False,False,5341
73,Kiyûmi,0,157,0.0139197,False,False,5513
74,Kiyûmi,0,158,0.0029270907,False,False,5527
75,enpitsu,1,159,0.009433375,False,False,5571
76,CoYoTeSB99,0,162,0.0003354392,False,False,5645
77,CoYoTeSB99,0,164,0.13010387,False,False,5709
78,CoYoTeSB99,0,167,0.0077645094,False,False,5787
79,games5425898691,1,169,0.0010364886,False,False,5851
80,Kiyûmi,0,173,0.27786627,False,False,5954
81,enpitsu,1,178,0.008883035,False,False,6098
82,games5425898691,1,182,0.1023086,False,False,6211
83,games5425898691,1,185,0.750254,True,True,6287
