,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,0,0,0.00043327222,False,False,170
1,ellcryse29,1,2,7.611003e-05,False,False,245
2,ellcryse29,1,4,0.0028923894,False,False,299
3,games5425898691,0,6,0.020398974,True,True,347
4,ellcryse29,1,9,0.00083104183,False,False,684
5,enpitsu,0,9,0.005500631,False,False,686
6,enpitsu,0,12,0.0005930671,False,False,774
7,STR_Valevlk,1,15,0.0023628091,False,False,841
8,games5425898691,0,15,0.0004418523,False,False,842
9,ellcryse29,1,17,0.0009476583,False,False,908
10,games5425898691,0,19,0.015387548,True,False,961
11,STR_Valevlk,1,20,0.0006273833,False,False,986
12,ellcryse29,1,21,0.0052214954,False,False,1027
13,ellcryse29,1,23,0.010933439,False,False,1066
14,ellcryse29,1,24,0.39761674,True,True,1099
15,STR_Valevlk,1,25,0.0066417265,False,False,1385
16,enpitsu,0,32,0.006798121,False,False,1554
17,enpitsu,0,35,0.02651628,False,False,1655
18,ellcryse29,1,37,0.0019535301,False,False,1694
19,ellcryse29,1,38,0.0237042,False,False,1742
20,ellcryse29,1,41,0.003920302,False,False,1819
21,games5425898691,0,42,9.586389e-05,False,False,1846
22,games5425898691,0,43,0.00062766916,False,False,1860
23,ellcryse29,1,43,0.069913864,False,False,1871
24,enpitsu,0,43,0.0005066794,False,False,1874
25,STR_Valevlk,1,47,0.00073354313,False,False,1971
26,games5425898691,0,49,0.028966844,False,False,2024
27,STR_Valevlk,1,49,0.0003132041,False,False,2043
28,ellcryse29,1,51,0.001527744,False,False,2078
29,enpitsu,0,52,0.14748815,True,True,2108
30,games5425898691,0,53,0.028345143,True,False,2144
31,ellcryse29,1,54,0.0008525622,False,False,2408
32,ellcryse29,1,54,0.00037165816,False,False,2419
33,enpitsu,0,56,0.0007739722,False,False,2468
34,games5425898691,0,56,0.01316133,False,False,2475
35,ellcryse29,1,56,0.0010373949,False,False,2476
36,STR_Valevlk,1,58,0.009149915,False,False,2543
37,games5425898691,0,60,0.00025369858,False,False,2581
