,shot_taker_name,is_orange,time,xg,shot,goal
0,Wokko00,0,0.0,0.0035121944,False,False
1,enpitsu,1,0.0,0.000662922,False,False
2,games5425898691,1,3.0,0.0033401356,False,False
3,sky-Pandi,0,5.0,0.009015038,False,False
4,enpitsu,1,8.0,0.00046798313,False,False
5,sky-Pandi,0,12.0,0.0012143574,False,False
6,sky-Pandi,0,14.0,5.9964445e-05,False,False
7,sky-Pandi,0,15.0,0.00037097797,False,False
8,Wokko00,0,19.0,0.015692597,False,False
9,games5425898691,1,22.0,0.0010641067,False,False
10,Wokko00,0,24.0,0.013941111,False,False
11,games5425898691,1,24.0,0.0032147083,False,False
12,games5425898691,1,31.0,0.034788687,True,False
13,sky-Pandi,0,32.0,0.00027399792,False,False
14,Wokko00,0,34.0,0.021411978,False,False
15,enpitsu,1,37.0,0.00044300515,False,False
16,enpitsu,1,40.0,0.0018676682,False,False
17,sky-Pandi,0,40.0,0.0011570437,False,False
18,enpitsu,1,40.0,0.00086045574,False,False
19,sky-Pandi,0,40.0,0.010159248,False,False
20,Wokko00,0,43.0,0.21247323,True,True
21,Wokko00,0,44.0,0.0027832321,False,False
22,enpitsu,1,44.0,0.0011677659,False,False
23,Wokko00,0,44.0,0.0067881863,False,False
24,Wokko00,0,50.0,0.010501382,False,False
25,games5425898691,1,52.0,0.018614126,True,False
26,sky-Pandi,0,53.0,0.00013118958,False,False
27,enpitsu,1,58.0,0.0115630375,False,False
28,Wokko00,0,59.0,0.0003400667,False,False
29,Wokko00,0,60.0,0.00095258193,False,False
30,Wokko00,0,60.0,0.0037393048,False,False
31,Wokko00,0,61.0,0.00063901144,False,False
32,Wokko00,0,61.0,0.0020078449,False,False
33,Wokko00,0,62.0,0.0009655415,False,False
34,games5425898691,1,62.0,0.00019513867,False,False
35,Wokko00,0,65.0,0.017447365,True,False
36,enpitsu,1,66.0,0.00014641034,False,False
37,games5425898691,1,70.0,0.00096930994,False,False
38,games5425898691,1,71.0,0.006086504,False,False
39,Wokko00,0,71.0,0.01977534,False,False
40,enpitsu,1,75.0,0.0050658206,False,False
41,sky-Pandi,0,77.0,5.5914938e-05,False,False
42,sky-Pandi,0,78.0,0.0022393612,False,False
43,games5425898691,1,79.0,0.00075179554,False,False
44,enpitsu,1,83.0,0.0025569652,False,False
45,Wokko00,0,86.0,0.003019007,False,False
46,enpitsu,1,87.0,0.00324711,False,False
47,enpitsu,1,88.0,0.00031519282,False,False
48,enpitsu,1,89.0,0.00034275322,False,False
49,games5425898691,1,91.0,0.0012072392,False,False
50,Wokko00,0,93.0,0.011428532,False,False
51,games5425898691,1,95.0,0.0004546933,False,False
52,games5425898691,1,97.0,4.9967013e-05,False,False
53,sky-Pandi,0,99.0,0.008166115,False,False
54,sky-Pandi,0,101.0,0.016027402,False,False
55,games5425898691,1,103.0,0.0005654872,False,False
56,Wokko00,0,105.0,0.010572887,False,False
57,Wokko00,0,107.0,0.0005299498,False,False
58,Wokko00,0,108.0,0.00964957,False,False
59,Wokko00,0,110.0,0.112935916,True,False
60,Wokko00,0,111.0,0.3247732,True,False
61,games5425898691,1,111.0,0.00021077611,False,False
62,enpitsu,1,115.0,2.6265505e-05,False,False
63,sky-Pandi,0,116.0,0.0008717426,False,False
64,sky-Pandi,0,119.0,0.013135747,False,False
65,games5425898691,1,121.0,0.009577973,False,False
66,Wokko00,0,121.0,0.24769297,False,False
67,sky-Pandi,0,124.0,3.0715462e-05,False,False
68,sky-Pandi,0,126.0,0.001528882,False,False
69,games5425898691,1,127.0,0.026404705,False,False
70,Wokko00,0,130.0,0.0019481065,False,False
71,Wokko00,0,134.0,0.018226799,False,False
72,enpitsu,1,134.0,0.00015904955,False,False
73,games5425898691,1,136.0,0.00039301565,False,False
74,games5425898691,1,138.0,0.0013847064,False,False
75,games5425898691,1,139.0,0.02975013,False,False
76,Wokko00,0,140.0,0.0038626792,False,False
77,enpitsu,1,143.0,0.0013171366,False,False
78,Wokko00,0,146.0,0.021232234,False,False
79,sky-Pandi,0,149.0,0.15234017,True,True
80,sky-Pandi,0,149.0,0.0038530934,False,False
81,games5425898691,1,149.0,0.0088918265,False,False
82,enpitsu,1,154.0,0.16287921,False,False
83,sky-Pandi,0,156.0,0.032572083,False,False
84,games5425898691,1,158.0,0.00259625,False,False
85,Wokko00,0,160.0,0.12856314,True,True
86,Wokko00,0,162.0,0.0012757618,False,False
87,Wokko00,0,166.0,0.00089015334,False,False
88,enpitsu,1,168.0,0.0018052473,False,False
89,enpitsu,1,171.0,0.09307117,False,False
90,Wokko00,0,172.0,0.000887821,False,False
91,games5425898691,1,176.0,0.031740803,False,False
92,Wokko00,0,178.0,0.0059634084,False,False
93,Wokko00,0,180.0,0.029730305,False,False
94,Wokko00,0,182.0,0.105755605,False,False
95,sky-Pandi,0,184.0,0.19344185,True,True
96,sky-Pandi,0,184.0,0.0023279318,False,False
97,games5425898691,1,184.0,0.015322641,False,False
98,sky-Pandi,0,185.0,0.005011021,False,True
99,Wokko00,0,189.0,0.0023579057,True,False
100,enpitsu,1,189.0,0.003936585,False,False
101,games5425898691,1,192.0,0.0028731946,False,False
102,sky-Pandi,0,195.0,0.014610253,False,False
103,sky-Pandi,0,196.0,0.016219709,False,False
104,games5425898691,1,197.0,0.001635233,False,False
105,Wokko00,0,199.0,0.007043473,True,False
106,enpitsu,1,201.0,0.0022849056,False,False
107,sky-Pandi,0,203.0,0.003515104,False,False
108,sky-Pandi,0,206.0,0.024320085,True,False
109,enpitsu,1,207.0,0.0006354519,False,False
110,Wokko00,0,211.0,0.00054458715,False,False
111,enpitsu,1,214.0,0.00020303595,False,False
112,enpitsu,1,214.0,0.0015477254,False,False
113,enpitsu,1,214.0,0.00043439234,False,False
114,sky-Pandi,0,216.0,0.018362409,False,False
115,games5425898691,1,218.0,0.006442359,False,False
116,games5425898691,1,218.0,0.008875418,False,False
117,sky-Pandi,0,218.0,0.0005386447,False,False
118,games5425898691,1,224.0,0.09729242,False,False
119,sky-Pandi,0,226.0,0.00021024581,False,False
120,sky-Pandi,0,227.0,0.00013396972,False,False
121,sky-Pandi,0,229.0,0.0015444219,False,False
122,enpitsu,1,231.0,0.010097905,False,False
123,enpitsu,1,232.0,0.0089027295,False,False
124,Wokko00,0,232.0,0.0006488811,False,False
125,enpitsu,1,232.0,0.007110294,False,False
126,games5425898691,1,237.0,0.0008036807,False,False
127,sky-Pandi,0,239.0,0.012598603,False,False
128,games5425898691,1,241.0,0.00084671134,False,False
129,Wokko00,0,243.0,0.5569753,True,True
130,enpitsu,1,244.0,0.00997567,False,False
131,sky-Pandi,0,246.0,0.0035898874,False,False
132,sky-Pandi,0,252.0,0.041919,False,False
133,sky-Pandi,0,254.0,0.0020654348,False,False
134,Wokko00,0,255.0,0.0038708986,False,False
135,sky-Pandi,0,258.0,0.0029931688,False,False
136,sky-Pandi,0,258.0,0.0006022976,False,False
137,games5425898691,1,260.0,0.00010489338,False,False
138,Wokko00,0,262.0,0.006256983,False,False
139,games5425898691,1,267.0,0.0008596621,False,False
140,Wokko00,0,268.0,0.0014459677,True,False
141,enpitsu,1,271.0,0.0015143798,False,False
142,games5425898691,1,272.0,0.0002190313,False,False
