,shot_taker_name,is_orange,time,xg,shot,goal
0,buuuuqa.,0,0.0,0.00082075753,False,False
1,enpitsu,1,0.0,0.0058108126,False,False
2,buuuuqa.,0,0.0,0.0041965228,False,False
3,TTV-Levi_1690,0,4.0,0.39654124,True,True
4,TTV-Levi_1690,0,5.0,0.0015622423,True,False
5,games5425898691,1,5.0,0.0037323677,False,False
6,games5425898691,1,7.0,0.011038191,False,False
7,buuuuqa.,0,7.0,6.216208e-05,False,False
8,buuuuqa.,0,11.0,0.000115155744,False,False
9,buuuuqa.,0,13.0,8.452934e-05,False,False
10,buuuuqa.,0,14.0,0.0056440705,False,False
11,games5425898691,1,17.0,0.0044030235,False,False
12,TTV-Levi_1690,0,21.0,6.256678e-05,False,False
13,buuuuqa.,0,24.0,0.00044614964,False,False
14,buuuuqa.,0,27.0,0.075771496,False,False
15,enpitsu,1,30.0,0.00037923234,False,False
16,buuuuqa.,0,33.0,0.00025236976,False,False
17,enpitsu,1,33.0,0.0062779593,False,False
18,TTV-Levi_1690,0,37.0,8.125297e-05,False,False
19,buuuuqa.,0,38.0,3.9378247e-05,False,False
20,buuuuqa.,0,39.0,0.0027574177,False,False
21,buuuuqa.,0,43.0,0.028979918,False,False
22,enpitsu,1,43.0,0.00014470154,False,False
23,TTV-Levi_1690,0,45.0,0.0030069307,False,False
24,TTV-Levi_1690,0,50.0,0.079583466,True,False
25,enpitsu,1,50.0,8.655022e-05,False,False
26,TTV-Levi_1690,0,50.0,0.030107014,False,False
27,enpitsu,1,50.0,7.4013966e-05,False,False
28,games5425898691,1,52.0,0.14757484,True,True
29,TTV-Levi_1690,0,55.0,0.00075431546,False,False
30,games5425898691,1,55.0,0.020682296,False,True
31,buuuuqa.,0,59.0,0.0002687971,False,False
32,TTV-Levi_1690,0,59.0,0.0024660667,False,False
33,enpitsu,1,65.0,0.017775012,False,False
34,TTV-Levi_1690,0,67.0,0.0004972218,False,False
35,TTV-Levi_1690,0,69.0,0.0015172072,False,False
36,TTV-Levi_1690,0,71.0,0.0066819135,False,False
37,TTV-Levi_1690,0,72.0,0.00034367183,False,False
38,games5425898691,1,73.0,0.0008960403,False,False
39,buuuuqa.,0,76.0,0.15659617,False,False
40,games5425898691,1,78.0,0.0014399422,False,False
41,TTV-Levi_1690,0,80.0,0.0023775955,False,False
42,TTV-Levi_1690,0,83.0,0.006362651,False,False
43,enpitsu,1,85.0,0.009212643,False,False
44,buuuuqa.,0,86.0,0.0069083385,False,False
45,enpitsu,1,88.0,0.00011098297,False,False
46,games5425898691,1,94.0,0.008353669,False,False
47,TTV-Levi_1690,0,99.0,0.00032204972,False,False
48,enpitsu,1,106.0,0.006063359,False,False
49,enpitsu,1,106.0,0.0057400214,False,False
50,TTV-Levi_1690,0,106.0,0.0009788871,False,False
51,games5425898691,1,108.0,0.005924615,False,False
52,TTV-Levi_1690,0,108.0,0.10549552,False,False
53,buuuuqa.,0,110.0,0.0059154667,False,False
54,enpitsu,1,112.0,0.00064686383,False,False
55,TTV-Levi_1690,0,115.0,0.0008200509,False,False
56,TTV-Levi_1690,0,117.0,0.0034648785,False,False
57,enpitsu,1,119.0,0.0013934697,False,False
58,games5425898691,1,119.0,0.00012779245,False,False
59,games5425898691,1,121.0,0.028818551,False,False
60,games5425898691,1,123.0,0.0068897684,False,False
61,buuuuqa.,0,123.0,0.0010492097,False,False
62,enpitsu,1,126.0,0.0005065632,False,False
63,buuuuqa.,0,129.0,0.00011189887,False,False
64,buuuuqa.,0,132.0,0.0002652905,False,False
65,buuuuqa.,0,133.0,0.0008051966,False,False
66,buuuuqa.,0,134.0,0.031912293,False,False
67,enpitsu,1,136.0,2.2059303e-05,False,False
68,enpitsu,1,137.0,0.00033783042,False,False
69,TTV-Levi_1690,0,139.0,0.003565786,False,False
70,enpitsu,1,139.0,1.6739228e-05,False,False
71,buuuuqa.,0,143.0,0.045220625,False,False
72,games5425898691,1,145.0,0.0007444456,False,False
73,TTV-Levi_1690,0,149.0,0.0007401105,False,False
74,buuuuqa.,0,150.0,1.1472563e-05,False,False
75,games5425898691,1,152.0,0.0009282363,False,False
76,games5425898691,1,154.0,0.007295377,False,False
77,games5425898691,1,154.0,0.0008750628,False,False
78,games5425898691,1,155.0,0.001470023,False,False
79,games5425898691,1,155.0,0.00223437,False,False
80,buuuuqa.,0,156.0,0.00011294699,False,False
81,TTV-Levi_1690,0,157.0,0.0006470605,False,False
82,buuuuqa.,0,157.0,0.006599027,False,False
83,buuuuqa.,0,163.0,0.00080629566,False,False
84,buuuuqa.,0,164.0,0.015498104,True,False
85,games5425898691,1,165.0,0.0023405957,False,False
86,games5425898691,1,168.0,0.0019243264,False,False
87,TTV-Levi_1690,0,175.0,0.00080233207,False,False
88,buuuuqa.,0,176.0,0.060129087,False,False
89,enpitsu,1,176.0,0.08108872,False,False
90,games5425898691,1,179.0,0.0052770246,False,False
91,buuuuqa.,0,182.0,0.00055552705,False,False
92,TTV-Levi_1690,0,187.0,0.0034285593,False,False
93,buuuuqa.,0,189.0,0.16563474,False,False
94,TTV-Levi_1690,0,191.0,0.010610079,False,False
95,games5425898691,1,195.0,0.009792417,False,False
96,games5425898691,1,199.0,0.00295789,False,False
97,TTV-Levi_1690,0,199.0,0.0003200959,False,False
