,shot_taker_name,is_orange,time,xg,shot,goal
0,CarlFozzer_,0,0,0.0013307178,False,False
1,games5425898691,1,0,0.007752239,False,False
2,CarlFozzer_,0,0,0.0003743671,False,False
3,games5425898691,1,0,0.0011560374,False,False
4,Bobby_LFC96,0,2,0.00012957126,False,False
5,Bobby_LFC96,0,3,0.00047751807,False,False
6,Bobby_LFC96,0,4,0.004091669,False,False
7,Bobby_LFC96,0,4,0.02393353,False,False
8,Bobby_LFC96,0,5,0.010210408,False,False
9,games5425898691,1,5,0.001993462,False,False
10,enpitsu,1,7,0.0022779081,False,False
11,enpitsu,1,10,0.40712652,True,True
12,Bobby_LFC96,0,11,0.00080637867,False,False
13,enpitsu,1,11,0.00010969158,False,False
14,Bobby_LFC96,0,11,0.0007103484,False,False
15,games5425898691,1,14,0.0008534038,False,False
16,enpitsu,1,18,0.018028373,False,False
17,Bobby_LFC96,0,21,0.017227093,False,False
18,enpitsu,1,28,6.3463885e-05,False,False
19,enpitsu,1,29,0.00046081783,False,False
20,enpitsu,1,30,0.0002479108,False,False
21,enpitsu,1,30,0.0010325994,False,False
22,CarlFozzer_,0,31,0.00055736746,False,False
23,CarlFozzer_,0,34,0.0007413183,False,False
24,enpitsu,1,37,0.0022600526,False,False
25,CarlFozzer_,0,39,0.0023893383,False,False
26,games5425898691,1,41,0.0057463166,False,False
27,games5425898691,1,41,0.05526958,False,False
28,Bobby_LFC96,0,42,0.0019222989,False,False
29,games5425898691,1,42,0.0095280595,False,False
30,CarlFozzer_,0,45,0.00711386,False,False
31,CarlFozzer_,0,45,0.0027394367,False,False
32,CarlFozzer_,0,48,0.0210361,False,False
33,Bobby_LFC96,0,49,0.00017763721,False,False
34,Bobby_LFC96,0,51,0.0013459533,False,False
35,Bobby_LFC96,0,52,0.008231187,False,False
36,Bobby_LFC96,0,52,0.0031357375,False,False
37,games5425898691,1,52,0.0016864601,False,False
38,enpitsu,1,57,0.0017115069,False,False
39,Bobby_LFC96,0,59,6.809552e-05,False,False
40,CarlFozzer_,0,63,0.014544891,False,False
41,CarlFozzer_,0,68,0.050885655,True,False
42,enpitsu,1,70,4.5641395e-05,False,False
43,enpitsu,1,76,0.00043096257,False,False
44,Bobby_LFC96,0,78,0.021645293,False,False
45,games5425898691,1,81,0.00013866613,False,False
46,CarlFozzer_,0,83,0.005978488,False,False
47,games5425898691,1,86,0.0019048651,False,False
48,Bobby_LFC96,0,88,6.5708655e-06,False,False
49,Bobby_LFC96,0,89,3.4271263e-06,False,False
50,Bobby_LFC96,0,90,0.00032762522,False,False
51,games5425898691,1,95,0.00063120015,False,False
52,CarlFozzer_,0,95,0.00016680827,False,False
53,CarlFozzer_,0,97,0.0062826285,False,False
54,enpitsu,1,99,0.017137855,False,False
55,enpitsu,1,103,0.07499612,False,False
56,Bobby_LFC96,0,103,0.00038989852,False,False
57,games5425898691,1,105,0.0022038857,False,False
58,enpitsu,1,114,0.0004084629,False,False
59,enpitsu,1,119,0.0003132504,False,False
60,enpitsu,1,121,0.00840982,False,False
61,Bobby_LFC96,0,122,2.8291566e-05,False,False
62,enpitsu,1,124,0.00037825387,False,False
63,games5425898691,1,125,0.013056541,False,False
64,games5425898691,1,128,0.0012754191,False,False
65,Bobby_LFC96,0,130,0.002093156,False,False
66,Bobby_LFC96,0,133,0.01156416,False,False
67,CarlFozzer_,0,134,0.06307627,False,False
68,games5425898691,1,134,3.709557e-05,False,False
69,CarlFozzer_,0,134,0.029449336,False,False
70,games5425898691,1,134,0.00067918433,False,False
71,Bobby_LFC96,0,136,0.0016632352,False,False
72,games5425898691,1,138,0.0012073951,False,False
73,games5425898691,1,142,0.008551063,False,False
74,games5425898691,1,143,0.015038299,False,False
75,CarlFozzer_,0,145,0.0042717964,False,False
76,enpitsu,1,146,0.0030598072,False,False
77,games5425898691,1,148,0.00043978947,False,False
78,Bobby_LFC96,0,154,3.658263e-05,False,False
79,enpitsu,1,155,0.058727942,False,False
80,games5425898691,1,157,0.0123239,False,False
81,enpitsu,1,161,0.010512943,False,False
82,enpitsu,1,168,0.02743061,False,False
83,enpitsu,1,170,0.01768389,False,False
84,CarlFozzer_,0,171,0.0003095743,False,False
85,games5425898691,1,174,0.00044796063,False,False
86,CarlFozzer_,0,175,0.01058167,False,False
87,enpitsu,1,178,4.3353382e-05,False,False
88,CarlFozzer_,0,181,0.00071126356,False,False
89,enpitsu,1,181,0.004726202,False,False
90,games5425898691,1,185,0.0029991912,False,False
91,enpitsu,1,190,0.29862446,False,False
92,Bobby_LFC96,0,192,0.0044111665,False,False
93,Bobby_LFC96,0,196,0.00446725,False,False
94,CarlFozzer_,0,199,0.008544274,False,False
95,enpitsu,1,199,0.00055408577,False,False
96,Bobby_LFC96,0,204,0.00010045877,False,False
97,enpitsu,1,204,0.061100744,False,False
98,games5425898691,1,205,0.0016512469,False,False
99,enpitsu,1,212,0.002233543,False,False
100,Bobby_LFC96,0,212,0.23213871,False,False
101,enpitsu,1,212,0.00027078905,False,False
102,enpitsu,1,214,0.010342389,False,False
103,games5425898691,1,221,0.005278549,False,False
104,CarlFozzer_,0,223,7.536914e-05,False,False
105,games5425898691,1,224,0.0032224138,False,False
106,games5425898691,1,226,0.002401901,False,False
107,games5425898691,1,226,0.00010441426,False,False
108,games5425898691,1,228,0.008513138,False,False
109,Bobby_LFC96,0,228,0.0003235916,False,False
110,enpitsu,1,231,0.02462981,True,False
111,CarlFozzer_,0,233,0.012447748,False,False
112,games5425898691,1,235,0.016945587,False,False
113,games5425898691,1,243,0.03056225,False,False
114,enpitsu,1,244,0.37687123,False,False
115,CarlFozzer_,0,246,0.0018935086,False,False
116,CarlFozzer_,0,248,0.02679318,False,False
117,Bobby_LFC96,0,252,0.001679092,False,False
118,games5425898691,1,255,8.685415e-05,False,False
119,CarlFozzer_,0,259,0.0027323593,False,False
120,enpitsu,1,262,0.00024704885,False,False
