,shot_taker_name,is_orange,time,xg,shot,goal
0,High_Tester_Vega,0,0,0.0018739589,False,False
1,games5425898691,1,0,0.0069802757,True,False
2,High_Tester_Vega,0,9,0.007838088,False,False
3,GooseXRebound,0,11,0.0791658,False,False
4,games5425898691,1,12,0.006512974,False,False
5,GooseXRebound,0,14,0.0014506805,False,False
6,GooseXRebound,0,15,0.00024016407,False,False
7,GooseXRebound,0,16,8.734127e-05,False,False
8,GooseXRebound,0,16,4.482161e-05,False,False
9,GooseXRebound,0,17,0.00038332012,False,False
10,enpitsu,1,23,0.0002962812,False,False
11,enpitsu,1,24,0.0015853824,False,False
12,enpitsu,1,25,0.003798452,False,False
13,enpitsu,1,25,0.011726141,False,False
14,enpitsu,1,26,0.019737918,True,False
15,GooseXRebound,0,26,0.001954209,False,False
16,enpitsu,1,30,0.00028228614,False,False
17,GooseXRebound,0,30,0.007880411,False,False
18,enpitsu,1,30,0.0003404902,False,False
19,GooseXRebound,0,30,0.007880411,False,False
20,games5425898691,1,34,0.00014000057,False,False
21,games5425898691,1,35,0.0028325203,False,False
22,High_Tester_Vega,0,38,0.0023602645,False,False
23,games5425898691,1,38,0.06505737,False,False
24,High_Tester_Vega,0,38,0.0008908088,False,False
25,High_Tester_Vega,0,42,0.109807834,False,False
26,GooseXRebound,0,46,0.1805501,True,False
27,games5425898691,1,47,0.0040170928,False,False
28,GooseXRebound,0,54,0.0006948387,False,False
29,GooseXRebound,0,55,0.007413902,False,False
30,enpitsu,1,55,0.00011395341,False,False
31,High_Tester_Vega,0,57,0.015732383,False,False
32,games5425898691,1,61,0.012403302,False,False
33,GooseXRebound,0,63,0.0009837755,False,False
34,GooseXRebound,0,67,0.0022900684,False,False
35,High_Tester_Vega,0,71,0.012080486,False,False
36,games5425898691,1,73,0.001271407,False,False
37,games5425898691,1,77,0.011222078,False,False
38,High_Tester_Vega,0,81,0.00016429821,False,False
39,High_Tester_Vega,0,83,0.0035845067,False,False
40,enpitsu,1,87,0.020969614,False,False
41,GooseXRebound,0,89,0.0010762746,False,False
42,GooseXRebound,0,91,0.0057693203,False,False
43,enpitsu,1,91,0.0060090474,False,False
44,High_Tester_Vega,0,95,0.020248791,False,False
45,games5425898691,1,96,0.00032106932,False,False
46,games5425898691,1,99,0.0021446734,False,False
47,games5425898691,1,100,0.0049771876,False,False
48,games5425898691,1,101,0.007912414,False,False
49,GooseXRebound,0,101,0.014258672,False,False
50,GooseXRebound,0,104,0.0019893886,False,False
51,GooseXRebound,0,106,0.00062113145,False,False
52,enpitsu,1,107,0.00035216822,False,False
53,High_Tester_Vega,0,111,0.00046390184,False,False
54,games5425898691,1,114,0.017254675,False,False
55,GooseXRebound,0,119,0.004673353,False,False
56,High_Tester_Vega,0,123,0.001038825,False,False
57,High_Tester_Vega,0,125,0.0067669847,False,False
58,High_Tester_Vega,0,126,0.0020788496,False,False
59,games5425898691,1,126,0.00016178335,False,False
60,games5425898691,1,129,0.055870447,False,False
61,GooseXRebound,0,131,0.00083773985,False,False
62,enpitsu,1,137,0.008699549,False,False
63,High_Tester_Vega,0,139,0.00060585997,False,False
64,games5425898691,1,143,0.064262666,False,False
65,GooseXRebound,0,146,0.00025172695,False,False
66,GooseXRebound,0,148,0.003282354,False,False
67,High_Tester_Vega,0,155,0.014521979,False,False
68,High_Tester_Vega,0,156,0.08735456,False,False
69,games5425898691,1,156,0.00059575646,False,False
70,games5425898691,1,162,0.002938103,False,False
71,GooseXRebound,0,164,0.0019051743,False,False
72,games5425898691,1,170,0.0011438113,False,False
73,High_Tester_Vega,0,171,0.020911388,False,False
74,games5425898691,1,174,0.0003776869,False,False
75,games5425898691,1,176,0.0186289,True,True
76,enpitsu,1,179,0.00024179052,False,False
77,games5425898691,1,184,0.086469606,False,False
78,GooseXRebound,0,186,0.0002207088,False,False
79,games5425898691,1,188,0.008777263,False,False
80,enpitsu,1,193,0.31398606,True,False
81,High_Tester_Vega,0,194,0.00070272,False,False
82,High_Tester_Vega,0,197,0.057646967,False,False
83,games5425898691,1,202,0.001103621,False,False
84,High_Tester_Vega,0,204,0.0005136866,False,False
85,GooseXRebound,0,206,0.00493632,False,False
86,enpitsu,1,210,6.1688945e-05,False,False
87,High_Tester_Vega,0,214,0.002864289,False,False
88,GooseXRebound,0,217,0.027354298,False,False
89,High_Tester_Vega,0,219,0.00062462565,False,False
90,High_Tester_Vega,0,222,0.07073485,False,False
91,GooseXRebound,0,226,0.0011981707,False,False
92,GooseXRebound,0,228,0.09928693,True,True
93,games5425898691,1,230,0.0015794173,False,False
94,High_Tester_Vega,0,230,0.001748003,False,False
95,games5425898691,1,230,0.00016062544,False,False
96,enpitsu,1,234,0.004700779,False,False
97,High_Tester_Vega,0,234,0.0042349645,False,False
98,enpitsu,1,234,0.0014461626,False,False
99,games5425898691,1,236,0.030932076,False,False
100,games5425898691,1,238,0.1836103,False,False
101,games5425898691,1,240,0.0008707257,False,False
102,High_Tester_Vega,0,242,0.016433833,False,False
103,High_Tester_Vega,0,244,0.18576565,True,True
104,High_Tester_Vega,0,245,0.003473028,False,False
105,enpitsu,1,252,0.025371425,False,False
106,High_Tester_Vega,0,252,0.051365897,False,False
107,games5425898691,1,255,0.00033232375,False,False
108,High_Tester_Vega,0,255,0.12977666,False,False
109,enpitsu,1,258,0.009236119,False,False
110,enpitsu,1,261,0.0008115736,False,False
111,enpitsu,1,261,0.0015052833,False,False
112,GooseXRebound,0,261,0.00066629867,False,False
113,enpitsu,1,265,0.0015307298,False,False
114,games5425898691,1,268,0.0013892647,False,False
115,games5425898691,1,272,0.00392268,False,False
116,GooseXRebound,0,273,0.00015090533,False,False
117,GooseXRebound,0,276,0.03604551,False,False
118,GooseXRebound,0,279,0.04010681,False,False
119,games5425898691,1,280,0.0008060702,False,False
120,High_Tester_Vega,0,282,0.003452757,False,False
