,shot_taker_name,is_orange,time,xg,goal
0,games5425898691,0,0,0.008626385,False
1,DJulien2411,1,0,0.013085488,False
2,games5425898691,0,0,0.0438271,False
3,DJulien2411,1,0,0.016953152,False
4,games5425898691,0,1,0.50592476,False
5,namsoa,1,4,0.26331213,False
6,games5425898691,0,6,0.4958706,False
7,DJulien2411,1,7,0.8213782,False
8,enpitsu,0,10,0.2349589,False
9,namsoa,1,10,0.23787744,False
10,games5425898691,0,13,0.39963207,False
11,enpitsu,0,17,0.23581722,False
12,namsoa,1,17,0.4718187,False
13,games5425898691,0,21,0.017935403,False
14,DJulien2411,1,23,0.10856561,False
15,DJulien2411,1,27,0.7590525,True
16,namsoa,1,28,0.052308016,False
17,enpitsu,0,28,0.09921229,False
18,enpitsu,0,29,0.121214926,False
19,DJulien2411,1,29,0.0223699,False
20,enpitsu,0,30,0.370459,False
21,enpitsu,0,33,0.65895665,False
22,enpitsu,0,33,0.8656672,False
23,enpitsu,0,33,0.124097474,False
24,enpitsu,0,35,0.28252444,False
25,enpitsu,0,36,0.15374027,False
26,namsoa,1,37,0.018462244,False
27,games5425898691,0,39,0.24385704,False
28,namsoa,1,41,0.22545016,False
29,games5425898691,0,47,0.40079665,False
30,DJulien2411,1,49,0.12287443,False
31,DJulien2411,1,50,0.027615288,False
32,DJulien2411,1,51,0.15437074,False
33,enpitsu,0,52,0.24345544,False
34,games5425898691,0,53,0.6617565,False
35,enpitsu,0,57,0.39974397,False
36,DJulien2411,1,59,0.7145802,False
37,DJulien2411,1,62,0.06365196,False
38,DJulien2411,1,63,0.03553559,False
39,DJulien2411,1,64,0.025377445,False
40,DJulien2411,1,64,0.08764011,False
41,DJulien2411,1,65,0.5445108,False
42,games5425898691,0,65,0.28250757,False
43,namsoa,1,68,0.1533703,False
44,games5425898691,0,71,0.45338506,False
45,namsoa,1,74,0.28758767,False
46,DJulien2411,1,76,0.46252587,False
47,enpitsu,0,78,0.07869399,False
48,DJulien2411,1,82,0.2851911,False
49,DJulien2411,1,84,0.04855568,False
50,games5425898691,0,84,0.5435392,False
51,games5425898691,0,87,0.083420135,False
52,games5425898691,0,87,0.053314537,False
53,games5425898691,0,88,0.18432419,False
54,games5425898691,0,89,0.3110767,False
55,namsoa,1,89,0.084540606,False
56,games5425898691,0,89,0.2167577,False
57,DJulien2411,1,89,0.066066176,False
58,DJulien2411,1,92,0.5591835,False
59,games5425898691,0,95,0.22122917,False
60,namsoa,1,96,0.58972293,False
