,shot_taker_name,is_orange,time,xg,shot,goal
0,FlasH_Ball,0,0.0,0.0028466417,True,False
1,enpitsu,1,0.0,0.00043627035,False,False
2,enpitsu,1,2.0,0.010831428,False,False
3,enpitsu,1,4.0,0.0012678112,False,False
4,enpitsu,1,4.0,0.10709314,False,False
5,EasyNayzl,0,5.0,0.0015868231,False,False
6,FlasH_Ball,0,7.0,0.002719067,False,False
7,FlasH_Ball,0,10.0,0.0036478944,False,False
8,games5425898691,1,10.0,0.014472587,False,False
9,EasyNayzl,0,16.0,0.00062826916,False,False
10,games5425898691,1,16.0,0.031932455,False,False
11,FlasH_Ball,0,19.0,0.007172076,False,False
12,EasyNayzl,0,25.0,0.1902173,True,False
13,games5425898691,1,25.0,0.0022652908,False,False
14,FlasH_Ball,0,28.0,0.0011454315,False,False
15,enpitsu,1,30.0,0.028426884,False,False
16,FlasH_Ball,0,30.0,0.0009936838,False,False
17,games5425898691,1,34.0,0.026358314,False,False
18,enpitsu,1,38.0,0.029904235,False,False
19,enpitsu,1,40.0,0.0012803595,False,False
20,enpitsu,1,42.0,0.06864206,False,False
21,EasyNayzl,0,42.0,0.0007257378,False,False
22,EasyNayzl,0,45.0,0.0014351495,False,False
23,games5425898691,1,47.0,0.002963395,False,False
24,EasyNayzl,0,47.0,0.006623175,False,False
25,FlasH_Ball,0,52.0,0.013856036,False,False
26,enpitsu,1,54.0,0.00015478284,False,False
27,EasyNayzl,0,56.0,0.0030753128,False,False
28,games5425898691,1,59.0,0.0003236737,False,False
29,FlasH_Ball,0,63.0,0.0068485755,False,False
30,FlasH_Ball,0,66.0,0.020033456,False,False
31,games5425898691,1,66.0,0.0015948837,False,False
32,enpitsu,1,69.0,0.0011169289,False,False
33,EasyNayzl,0,71.0,0.0025958167,False,False
34,enpitsu,1,72.0,0.00044493476,False,False
35,EasyNayzl,0,74.0,0.0054138075,False,False
36,FlasH_Ball,0,76.0,0.1399618,False,False
37,games5425898691,1,78.0,0.0069259508,False,False
38,games5425898691,1,80.0,0.0060758865,False,False
39,games5425898691,1,80.0,0.005101495,False,False
40,games5425898691,1,82.0,0.0011077896,False,False
41,EasyNayzl,0,84.0,0.0015208161,False,False
42,enpitsu,1,86.0,0.0014755222,False,False
43,EasyNayzl,0,86.0,0.08223888,False,False
44,games5425898691,1,87.0,0.00068078074,False,False
45,FlasH_Ball,0,89.0,0.034330603,False,False
46,enpitsu,1,92.0,0.0015284278,False,False
47,EasyNayzl,0,94.0,0.0058451514,False,False
48,games5425898691,1,99.0,0.015875535,False,False
49,FlasH_Ball,0,102.0,0.009595413,False,False
50,enpitsu,1,105.0,0.08688773,False,False
51,games5425898691,1,107.0,0.0023457154,False,False
52,games5425898691,1,109.0,0.31665063,True,False
53,FlasH_Ball,0,109.0,0.0007273261,False,False
54,games5425898691,1,109.0,0.39102182,False,False
55,EasyNayzl,0,110.0,0.00080516934,False,False
56,enpitsu,1,114.0,0.005234815,False,False
57,enpitsu,1,117.0,0.21223913,True,False
58,enpitsu,1,119.0,0.5853559,True,True
59,FlasH_Ball,0,119.0,0.0017529731,False,False
60,games5425898691,1,119.0,0.0032371741,False,False
61,EasyNayzl,0,124.0,0.0004315307,False,False
62,EasyNayzl,0,125.0,0.0005598734,False,False
63,EasyNayzl,0,126.0,0.00016221385,False,False
64,EasyNayzl,0,126.0,0.0005372152,False,False
65,EasyNayzl,0,127.0,6.44478e-05,False,False
66,EasyNayzl,0,127.0,8.1838276e-05,False,False
67,FlasH_Ball,0,127.0,0.06898717,False,False
68,FlasH_Ball,0,131.0,0.09207903,True,False
69,games5425898691,1,132.0,0.0008819569,False,False
70,enpitsu,1,133.0,0.0012757642,False,False
71,FlasH_Ball,0,135.0,0.23600858,False,False
72,EasyNayzl,0,137.0,0.5315314,True,True
73,enpitsu,1,138.0,0.000444143,False,False
74,enpitsu,1,138.0,0.00035055587,False,False
75,FlasH_Ball,0,139.0,0.00094784395,False,False
76,FlasH_Ball,0,140.0,0.021801464,False,False
77,FlasH_Ball,0,142.0,0.28216153,False,False
78,games5425898691,1,143.0,0.0002596977,False,False
79,games5425898691,1,147.0,0.0027136921,False,False
80,games5425898691,1,148.0,0.17669936,False,False
81,games5425898691,1,152.0,0.0051536523,False,False
82,FlasH_Ball,0,153.0,0.00019020954,False,False
83,FlasH_Ball,0,155.0,0.00012687319,False,False
84,FlasH_Ball,0,156.0,0.00070940127,False,False
85,FlasH_Ball,0,156.0,0.010926511,False,False
86,FlasH_Ball,0,157.0,0.034142323,False,False
87,games5425898691,1,160.0,0.0001750642,False,False
88,EasyNayzl,0,163.0,0.013406301,False,False
89,games5425898691,1,163.0,0.020226473,False,False
90,FlasH_Ball,0,167.0,3.5641497e-05,False,False
91,games5425898691,1,168.0,0.027705455,False,False
92,FlasH_Ball,0,168.0,0.001134235,False,False
93,FlasH_Ball,0,171.0,0.00017602682,False,False
94,FlasH_Ball,0,172.0,0.0001012104,False,False
95,games5425898691,1,172.0,0.0033138427,False,False
96,EasyNayzl,0,175.0,0.025830006,False,False
97,enpitsu,1,175.0,0.019473908,False,False
98,enpitsu,1,177.0,0.22890194,False,False
99,FlasH_Ball,0,179.0,0.0001522483,False,False
100,enpitsu,1,183.0,0.00080783415,False,False
101,EasyNayzl,0,186.0,0.00070507487,False,False
102,enpitsu,1,188.0,0.006122558,False,False
103,enpitsu,1,191.0,0.026722513,False,False
104,games5425898691,1,195.0,0.017943736,False,False
105,FlasH_Ball,0,197.0,0.0017534206,False,False
106,enpitsu,1,199.0,0.0040770653,False,False
107,FlasH_Ball,0,200.0,0.0029143612,False,False
108,EasyNayzl,0,203.0,0.00020180072,False,False
109,games5425898691,1,206.0,0.0073110266,False,False
110,FlasH_Ball,0,209.0,0.002549486,False,False
111,FlasH_Ball,0,210.0,0.0035690062,False,False
112,games5425898691,1,210.0,0.00020167859,False,False
113,games5425898691,1,211.0,8.0339356e-05,False,False
114,enpitsu,1,212.0,0.00019270832,False,False
115,enpitsu,1,214.0,0.0015108178,False,False
116,enpitsu,1,215.0,0.0011340556,False,False
117,enpitsu,1,215.0,0.0093866205,False,False
118,enpitsu,1,216.0,0.07302872,False,False
119,enpitsu,1,216.0,0.007389326,False,False
120,enpitsu,1,219.0,0.003949275,False,False
121,enpitsu,1,221.0,0.0023097983,False,False
122,games5425898691,1,222.0,0.037899703,False,False
123,EasyNayzl,0,225.0,0.031842638,False,False
124,enpitsu,1,226.0,0.0013780673,False,False
125,EasyNayzl,0,228.0,0.0015441219,False,False
126,enpitsu,1,228.0,0.029875621,False,False
127,enpitsu,1,230.0,0.0006386242,False,False
128,enpitsu,1,230.0,0.0001459196,False,False
129,enpitsu,1,231.0,0.0002342421,False,False
130,games5425898691,1,231.0,0.004104593,False,False
131,FlasH_Ball,0,233.0,9.135756e-05,False,False
132,enpitsu,1,239.0,0.0007832723,False,False
133,EasyNayzl,0,239.0,0.030775212,False,False
134,games5425898691,1,243.0,0.00020713263,False,False
135,games5425898691,1,244.0,0.00058577216,False,False
136,EasyNayzl,0,244.0,0.00047638736,False,False
137,games5425898691,1,248.0,0.0059434804,False,False
138,FlasH_Ball,0,249.0,0.0019004623,False,False
139,FlasH_Ball,0,253.0,0.0051232334,False,False
140,games5425898691,1,257.0,0.0009783524,False,False
