,shot_taker_name,is_orange,time,xg,shot,goal,frame
0,enpitsu,0,0,0.0037578102,True,False,170
1,GD-xTony851,1,2,0.0057277097,False,False,227
2,enpitsu,0,2,0.33555904,False,False,229
3,games5425898691,0,8,0.005031218,False,False,408
4,Caiezz10,1,10,0.0006625155,False,False,450
5,Caiezz10,1,11,0.00038702833,False,False,475
6,games5425898691,0,11,0.02094584,False,False,484
7,enpitsu,0,15,0.016971167,False,False,587
8,GD-xTony851,1,18,0.028327733,False,False,666
9,enpitsu,0,18,0.031458136,False,False,667
10,games5425898691,0,23,0.000446761,False,False,812
11,Caiezz10,1,26,0.0016081072,False,False,891
12,Caiezz10,1,27,0.046652522,False,False,925
13,enpitsu,0,30,0.0060944417,False,False,1019
14,games5425898691,0,33,0.0681729,False,False,1095
15,enpitsu,0,40,0.09355753,False,False,1277
16,games5425898691,0,42,0.46769497,True,True,1346
17,Caiezz10,1,43,0.0063215913,False,False,1627
18,games5425898691,0,43,0.004984653,False,False,1630
19,Caiezz10,1,46,0.0021270218,False,False,1693
20,enpitsu,0,46,0.009429771,False,False,1694
21,GD-xTony851,1,50,0.24684082,True,False,1799
22,enpitsu,0,52,0.025495876,False,False,1875
23,Caiezz10,1,54,0.012529301,False,False,1920
24,enpitsu,0,57,0.08357326,True,True,2006
25,Caiezz10,1,58,0.00015058235,False,False,2032
26,GD-xTony851,1,59,0.00051489624,False,False,2307
27,enpitsu,0,59,0.0012354761,False,False,2308
28,GD-xTony851,1,59,0.00132836,False,False,2309
29,enpitsu,0,59,0.0011064669,False,False,2310
30,GD-xTony851,1,59,0.0005326421,False,False,2311
31,Caiezz10,1,61,0.016202811,False,False,2368
32,GD-xTony851,1,67,0.040113635,False,False,2516
33,games5425898691,0,68,0.16167404,False,False,2555
34,Caiezz10,1,71,0.00068217615,False,False,2652
35,games5425898691,0,74,0.0033112026,False,False,2718
36,games5425898691,0,75,0.066172615,False,False,2749
37,enpitsu,0,77,0.43499884,True,True,2796
38,enpitsu,0,77,0.01764944,True,False,3078
39,games5425898691,0,79,0.05773834,True,False,3128
40,Caiezz10,1,83,0.0006295323,False,False,3219
41,enpitsu,0,87,0.0010457425,False,False,3333
42,enpitsu,0,89,0.0752449,True,False,3400
43,GD-xTony851,1,91,0.071769856,False,False,3447
44,games5425898691,0,96,0.0034520074,False,False,3577
45,GD-xTony851,1,97,0.013549416,False,False,3625
46,GD-xTony851,1,100,0.06399823,False,False,3706
47,Caiezz10,1,103,0.0021512122,False,False,3787
48,GD-xTony851,1,107,0.4203278,True,False,3883
49,games5425898691,0,107,0.0006752676,False,False,3884
50,Caiezz10,1,111,0.0021474008,False,False,3995
51,games5425898691,0,114,0.00032463882,False,False,4070
52,Caiezz10,1,115,0.009344133,False,False,4120
53,Caiezz10,1,116,0.0009565582,False,False,4135
54,enpitsu,0,118,0.0010377102,False,False,4181
55,games5425898691,0,122,0.02696664,False,False,4292
56,GD-xTony851,1,124,0.0010403245,False,False,4353
57,enpitsu,0,128,0.26968706,False,False,4459
58,Caiezz10,1,129,0.0038241292,False,False,4507
59,GD-xTony851,1,132,0.64973664,True,True,4582
60,Caiezz10,1,134,0.0035672619,False,False,4890
61,games5425898691,0,134,0.040821586,False,False,4893
62,enpitsu,0,138,0.030087518,False,False,4987
63,GD-xTony851,1,143,0.000275584,False,False,5140
64,GD-xTony851,1,144,0.0004360248,False,False,5165
65,games5425898691,0,145,0.033242352,False,False,5192
66,Caiezz10,1,148,0.032028876,False,False,5255
67,Caiezz10,1,152,0.09607691,False,False,5378
68,games5425898691,0,156,0.017228514,False,False,5496
69,games5425898691,0,158,0.05884646,True,False,5530
70,games5425898691,0,158,0.07948125,True,False,5552
71,GD-xTony851,1,159,0.0014286464,False,False,5559
72,games5425898691,0,159,0.26804402,False,False,5560
73,Caiezz10,1,162,0.0009298964,False,False,5660
74,GD-xTony851,1,163,0.0003502454,False,False,5674
75,enpitsu,0,164,0.067568995,False,False,5694
76,enpitsu,0,166,0.0070111514,False,False,5755
77,Caiezz10,1,168,0.00017787551,False,False,5830
78,enpitsu,0,171,0.12164898,False,False,5893
79,Caiezz10,1,172,0.0035266043,False,False,5940
80,Caiezz10,1,175,0.00012298414,False,False,6013
81,enpitsu,0,175,0.0017297881,False,False,6020
82,games5425898691,0,179,0.21554132,True,False,6122
83,Caiezz10,1,180,0.0005567465,False,False,6150
84,GD-xTony851,1,183,0.0010557601,False,False,6216
85,enpitsu,0,183,0.051435012,False,False,6217
86,GD-xTony851,1,183,0.0003892629,False,False,6219
87,GD-xTony851,1,185,0.2654402,False,False,6294
88,games5425898691,0,188,0.0027561423,False,True,6364
89,enpitsu,0,192,0.019430347,False,False,6721
90,GD-xTony851,1,192,0.006249596,False,False,6722
91,enpitsu,0,192,0.012456397,False,False,6723
92,games5425898691,0,196,0.008288964,False,False,6851
93,games5425898691,0,200,0.1798754,False,False,6962
94,Caiezz10,1,205,7.706545e-05,False,False,7074
95,Caiezz10,1,207,0.0006575214,False,False,7136
96,Caiezz10,1,208,0.00067612506,False,False,7169
97,Caiezz10,1,208,0.0034541273,False,False,7182
98,Caiezz10,1,209,0.0022295127,False,False,7193
99,Caiezz10,1,209,0.008159189,False,False,7207
100,Caiezz10,1,210,0.055858526,False,False,7233
101,Caiezz10,1,211,0.15181229,False,True,7251
102,Caiezz10,1,212,0.0014393452,False,False,7527
103,games5425898691,0,212,0.0086392835,False,False,7529
104,games5425898691,0,215,0.078441925,True,False,7601
105,GD-xTony851,1,216,0.00016219514,False,False,7639
106,GD-xTony851,1,221,0.00542276,False,False,7771
107,GD-xTony851,1,224,0.0022857157,False,False,7861
108,Caiezz10,1,226,0.29250854,False,False,7925
109,enpitsu,0,232,0.0041249124,True,False,8084
110,GD-xTony851,1,234,0.0019006098,False,False,8136
111,games5425898691,0,237,0.018205773,False,False,8202
112,Caiezz10,1,239,0.00030750962,False,False,8257
113,games5425898691,0,240,0.001664535,False,False,8292
114,games5425898691,0,242,0.09352896,False,False,8350
115,GD-xTony851,1,244,0.012800795,False,False,8407
116,GD-xTony851,1,247,0.17693399,False,False,8484
117,games5425898691,0,249,0.011222676,False,False,8539
118,games5425898691,0,252,0.09245808,False,False,8636
119,Caiezz10,1,254,0.000632996,False,False,8676
120,Caiezz10,1,262,0.076246336,False,False,8901
121,Caiezz10,1,265,0.48282248,True,False,8991
122,enpitsu,0,265,0.012882944,False,False,8996
123,games5425898691,0,269,7.537827e-05,False,False,9091
124,games5425898691,0,271,0.030701922,False,False,9157
125,games5425898691,0,272,0.014006688,False,False,9173
126,games5425898691,0,272,0.026147032,False,False,9185
127,games5425898691,0,273,0.053171217,False,False,9202
128,enpitsu,0,278,0.00033324413,False,False,9343
129,GD-xTony851,1,281,0.0076710493,True,False,9413
130,games5425898691,0,282,0.0010950357,False,False,9454
131,Caiezz10,1,285,0.115626775,False,False,9523
132,enpitsu,0,285,0.0004850534,False,False,9537
133,games5425898691,0,289,0.0002911243,False,False,9649
134,games5425898691,0,293,0.0014812709,False,False,9758
135,games5425898691,0,294,0.00063458615,False,False,9792
136,GD-xTony851,1,294,0.076576844,False,False,9793
137,GD-xTony851,1,298,0.029111788,False,False,9894
138,Caiezz10,1,300,0.49718088,True,False,9959
